fold,suite,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
libero_goal_20260907,libero_goal,knn10,episode,0.01,seen,560,12,548,12,5,1.0,0.009124087591240875,0.7058823529411765,0.9954379562043796,0.48333333333333345,13.0,12,1.0,5,12,1.0,4,12,1.0,4,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,0,0.0,0,0.0,0.0,0.0,0.0036496350364963502,0.75,0.009124087591240875,1.0,0.009124087591240875,1.0,0.009124087591240875,1.0,0.009124087591240875,1.0,0.009124087591240875
libero_goal_20260907,libero_goal,knn10,episode,0.01,unseen,1200,78,1122,77,23,0.9871794871794872,0.020499108734402853,0.77,0.9833401892225422,0.6294871794871796,17.0,77,0.9871794871794872,23,76,0.9743589743589743,14,72,0.9230769230769231,11,70,0.8974358974358975,4,51,0.6538461538461539,2,19,0.24358974358974358,1,2,0.02564102564102564,0,0.0,0.0,0.02564102564102564,0.0017825311942959,0.24358974358974358,0.00980392156862745,0.7307692307692307,0.020499108734402853,0.9871794871794872,0.020499108734402853,0.9871794871794872,0.020499108734402853,0.9871794871794872,0.020499108734402853
libero_goal_20260907,libero_goal,knn10,episode,0.03,seen,560,12,548,12,9,1.0,0.016423357664233577,0.5714285714285714,0.9917883211678832,0.4305555555555556,11.0,12,1.0,9,12,1.0,7,12,1.0,4,12,1.0,1,12,1.0,0,11,0.9166666666666666,0,2,0.16666666666666666,0,0.0,0.0,0.16666666666666666,0.0036496350364963502,0.9166666666666666,0.009124087591240875,1.0,0.016423357664233577,1.0,0.016423357664233577,1.0,0.016423357664233577,1.0,0.016423357664233577
libero_goal_20260907,libero_goal,knn10,episode,0.03,unseen,1200,78,1122,78,76,1.0,0.0677361853832442,0.5064935064935064,0.966131907308378,0.5764957264957266,17.0,78,1.0,76,77,0.9871794871794872,43,76,0.9743589743589743,30,76,0.9743589743589743,14,59,0.7564102564102564,2,25,0.32051282051282054,1,7,0.08974358974358974,0,0.0,0.0,0.08974358974358974,0.004456327985739751,0.32051282051282054,0.024955436720142603,0.8461538461538461,0.0677361853832442,1.0,0.0677361853832442,1.0,0.0677361853832442,1.0,0.0677361853832442
libero_goal_20260907,libero_goal,knn10,episode,0.05,seen,560,12,548,12,25,1.0,0.04562043795620438,0.32432432432432434,0.9771897810218978,0.40277777777777773,10.5,12,1.0,25,12,1.0,15,12,1.0,8,12,1.0,3,12,1.0,0,12,1.0,0,6,0.5,0,0.0,0.0,0.5,0.010948905109489052,1.0,0.0364963503649635,1.0,0.04562043795620438,1.0,0.04562043795620438,1.0,0.04562043795620438,1.0,0.04562043795620438
libero_goal_20260907,libero_goal,knn10,episode,0.05,unseen,1200,78,1122,78,147,1.0,0.13101604278074866,0.3466666666666667,0.9344919786096256,0.5384615384615384,15.5,78,1.0,147,78,1.0,102,77,0.9871794871794872,56,77,0.9871794871794872,32,68,0.8717948717948718,3,28,0.358974358974359,1,11,0.14102564102564102,0,0.0,0.0,0.14102564102564102,0.01871657754010695,0.358974358974359,0.04634581105169341,0.9102564102564102,0.13101604278074866,1.0,0.13101604278074866,1.0,0.13101604278074866,1.0,0.13101604278074866
libero_goal_20260907,libero_goal,knn10,episode,0.1,seen,560,12,548,12,77,1.0,0.14051094890510948,0.1348314606741573,0.9297445255474452,0.39166666666666666,10.0,12,1.0,77,12,1.0,33,12,1.0,16,12,1.0,7,12,1.0,0,12,1.0,0,7,0.5833333333333334,0,0.0,0.0,0.5833333333333334,0.060218978102189784,1.0,0.13138686131386862,1.0,0.14051094890510948,1.0,0.14051094890510948,1.0,0.14051094890510948,1.0,0.14051094890510948
libero_goal_20260907,libero_goal,knn10,episode,0.1,unseen,1200,78,1122,78,264,1.0,0.23529411764705882,0.22807017543859648,0.8823529411764706,0.47735042735042743,14.5,78,1.0,264,78,1.0,219,78,1.0,141,78,1.0,111,76,0.9743589743589743,5,39,0.5,1,24,0.3076923076923077,0,0.0,0.0,0.3076923076923077,0.09180035650623886,0.5,0.11497326203208556,1.0,0.23529411764705882,1.0,0.23529411764705882,1.0,0.23529411764705882,1.0,0.23529411764705882
libero_goal_20260907,libero_goal,knn10,episode,0.15,seen,560,12,548,12,120,1.0,0.21897810218978103,0.09090909090909091,0.8905109489051095,0.36666666666666664,9.5,12,1.0,120,12,1.0,57,12,1.0,19,12,1.0,9,12,1.0,0,12,1.0,0,8,0.6666666666666666,0,0.0,0.0036496350364963502,0.6666666666666666,0.11131386861313869,1.0,0.21532846715328466,1.0,0.21897810218978103,1.0,0.21897810218978103,1.0,0.21897810218978103,1.0,0.21897810218978103
libero_goal_20260907,libero_goal,knn10,episode,0.15,unseen,1200,78,1122,78,304,1.0,0.2709447415329768,0.20418848167539266,0.8645276292335116,0.45,12.0,78,1.0,304,78,1.0,264,78,1.0,193,78,1.0,161,77,0.9871794871794872,7,47,0.6025641025641025,1,29,0.3717948717948718,1,0.01282051282051282,0.0017825311942959,0.3717948717948718,0.13903743315508021,0.6025641025641025,0.16755793226381463,1.0,0.2709447415329768,1.0,0.2709447415329768,1.0,0.2709447415329768,1.0,0.2709447415329768
libero_goal_20260907,libero_goal,knn10,episode,0.2,seen,560,12,548,12,152,1.0,0.2773722627737226,0.07317073170731707,0.8613138686131387,0.35833333333333334,9.0,12,1.0,152,12,1.0,77,12,1.0,30,12,1.0,11,12,1.0,0,12,1.0,0,10,0.8333333333333334,0,0.0,0.0036496350364963502,0.8333333333333334,0.15693430656934307,1.0,0.2773722627737226,1.0,0.2773722627737226,1.0,0.2773722627737226,1.0,0.2773722627737226,1.0,0.2773722627737226
libero_goal_20260907,libero_goal,knn10,episode,0.2,unseen,1200,78,1122,78,352,1.0,0.3137254901960784,0.1813953488372093,0.8431372549019608,0.4222222222222221,10.0,78,1.0,352,78,1.0,314,78,1.0,248,78,1.0,217,78,1.0,11,53,0.6794871794871795,1,42,0.5384615384615384,1,0.01282051282051282,0.0071301247771836,0.5384615384615384,0.19964349376114082,0.6794871794871795,0.23083778966131907,1.0,0.3137254901960784,1.0,0.3137254901960784,1.0,0.3137254901960784,1.0,0.3137254901960784
