scope,view,method,task_macro_auc,within_init_macro_auc,scorable_fraction
seen,common_horizon,knn10,0.6691979475132617,0.5775864748677249,0.9404761904761904
seen,common_horizon,knn10_delta_q7,0.6440101108702501,0.5724171626984127,0.9404761904761904
seen,common_horizon,knn10_persist3,0.5615863551803313,0.4878955026455027,0.7023809523809524
seen,common_horizon,knn12_v8,0.6834456152207017,0.6224141865079366,0.9404761904761904
seen,common_horizon,knn_and_v7,0.475956110084663,0.44852480158730157,0.9404761904761904
seen,common_horizon,knn_and_v8,0.6784553263694946,0.6396268187830688,0.9404761904761904
seen,common_horizon,knn_or_v8,0.6628495176999437,0.5395079365079365,1.0
seen,common_horizon,v7_guard,0.43967337797586464,0.41792840608465615,1.0
seen,common_horizon,v82_guard,0.6637778781501927,0.5994181547619047,1.0
seen,common_horizon,v8_guard,0.6475589083159823,0.5822938161375661,1.0
seen,full,knn10,0.9938549608677594,0.9699556878306878,0.9952380952380953
seen,full,knn10_delta_q7,0.9943423969247207,0.9697076719576719,0.9952380952380953
seen,full,knn10_persist3,0.9941550694813616,0.9726455026455026,0.8238095238095239
seen,full,knn12_v8,0.9944567184149702,0.974666335978836,0.9952380952380953
seen,full,knn_and_v7,0.8805655585647555,0.8681999007936508,0.9952380952380953
seen,full,knn_and_v8,0.9941551665294392,0.9734222883597884,0.9952380952380953
seen,full,knn_or_v8,0.9942204579437827,0.9699556878306878,1.0
seen,full,v7_guard,0.8774446300841231,0.8667415674603175,1.0
seen,full,v82_guard,0.9963326628376038,0.9812688492063493,1.0
seen,full,v8_guard,0.9942416941707016,0.9736213624338624,1.0
unseen,common_horizon,knn10,0.6802636235288612,0.6675172703410769,0.8888888888888888
unseen,common_horizon,knn10_delta_q7,0.6727073605894677,0.6421625989410916,0.8888888888888888
unseen,common_horizon,knn10_persist3,0.6339239115581664,0.6084536125406953,0.6944444444444445
unseen,common_horizon,knn12_v8,0.6695652432639729,0.6766873578485827,0.8888888888888888
unseen,common_horizon,knn_and_v7,0.5137840330539866,0.49234202445708924,0.8888888888888888
unseen,common_horizon,knn_and_v8,0.6557146058062419,0.6010148877522389,0.8888888888888888
unseen,common_horizon,knn_or_v8,0.6832056313239806,0.6466238545783072,1.0
unseen,common_horizon,v7_guard,0.47644127932287206,0.4521375167280717,1.0
unseen,common_horizon,v82_guard,0.6292202168652409,0.6061832434643329,1.0
unseen,common_horizon,v8_guard,0.6225622248710326,0.6204527228610299,1.0
unseen,full,knn10,0.9951041503837598,0.9799272158709162,0.9827083333333334
unseen,full,knn10_delta_q7,0.9958916847027696,0.9807229334635088,0.9827083333333334
unseen,full,knn10_persist3,0.9957626177933719,0.9842780244813976,0.7871527777777777
unseen,full,knn12_v8,0.9946258918241065,0.9898659926933737,0.9827083333333334
unseen,full,knn_and_v7,0.921763951924027,0.9163247739822641,0.9827083333333334
unseen,full,knn_and_v8,0.9941135236275493,0.9857667758461409,0.9827083333333334
unseen,full,knn_or_v8,0.9956628783938766,0.9805782575375829,1.0
unseen,full,v7_guard,0.9220995575766775,0.9206237157812058,1.0
unseen,full,v82_guard,0.994452602587053,0.989264455782313,1.0
unseen,full,v8_guard,0.9937220874928824,0.9853552532123961,1.0
