method,baseline,metric,difference,low,high,tasks,bootstrap_samples,unit
knn10,knn10,recall,0.0,0.0,0.0,28,2000,"task with all fold appearances, stratified by suite"
knn10_persist3,knn10,recall,0.018329938900203624,-0.007093040885429838,0.03458235912493424,28,2000,"task with all fold appearances, stratified by suite"
knn10_delta_q7,knn10,recall,-0.04073319755600824,-0.06887862914996948,4.440497335677278e-05,28,2000,"task with all fold appearances, stratified by suite"
v7_guard,knn10,recall,-0.22199592668024448,-0.3142068457857931,-0.13970547476196693,28,2000,"task with all fold appearances, stratified by suite"
v8_guard,knn10,recall,-0.09572301425661922,-0.17488511165303539,0.019165262270907826,28,2000,"task with all fold appearances, stratified by suite"
v82_guard,knn10,recall,-0.07331975560081472,-0.1812016463084993,0.09607521788556257,28,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,recall,0.012219959266802416,-0.024926680483322257,0.06312477614889644,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v7,knn10,recall,-0.20162932790224042,-0.2952025081057583,-0.12295081967213117,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v8,knn10,recall,-0.08146639511201637,-0.15962021525946604,0.03234728943836672,28,2000,"task with all fold appearances, stratified by suite"
knn_or_v8,knn10,recall,0.0,0.0,0.0,28,2000,"task with all fold appearances, stratified by suite"
knn10,knn10,fpr,0.0,0.0,0.0,28,2000,"task with all fold appearances, stratified by suite"
knn10_persist3,knn10,fpr,-0.0009346466316773328,-0.013122675182498832,0.012960471518851921,28,2000,"task with all fold appearances, stratified by suite"
knn10_delta_q7,knn10,fpr,-0.005032712632108707,-0.012780285077857369,0.0016570599778309623,28,2000,"task with all fold appearances, stratified by suite"
v7_guard,knn10,fpr,-0.02358185347616651,-0.04595839552926459,-0.004857258749849119,28,2000,"task with all fold appearances, stratified by suite"
v8_guard,knn10,fpr,-0.027176648213387014,-0.04433693030884012,-0.01308938186184083,28,2000,"task with all fold appearances, stratified by suite"
v82_guard,knn10,fpr,-0.025882522107987638,-0.04160166899964994,-0.012231492530348848,28,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,fpr,0.010424904737939465,-0.004787226312153867,0.0322388289689958,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v7,knn10,fpr,-0.02307858221295564,-0.04565683022299935,-0.004336317339809455,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v8,knn10,fpr,-0.01854914084405781,-0.03487136887850408,-0.003916401834375844,28,2000,"task with all fold appearances, stratified by suite"
knn_or_v8,knn10,fpr,-7.189589474441288e-05,-0.00044288424672695223,0.0001579329793988327,28,2000,"task with all fold appearances, stratified by suite"
knn10,knn10,recall_lead4,0.0,0.0,0.0,28,2000,"task with all fold appearances, stratified by suite"
knn10_persist3,knn10,recall_lead4,0.02851323828920571,0.004081632653061273,0.042857142857142816,28,2000,"task with all fold appearances, stratified by suite"
knn10_delta_q7,knn10,recall_lead4,-0.042769857433808456,-0.0706848627872142,-0.0029483605299504305,28,2000,"task with all fold appearances, stratified by suite"
v7_guard,knn10,recall_lead4,-0.25458248472505085,-0.34576508499380837,-0.18417006443538378,28,2000,"task with all fold appearances, stratified by suite"
v8_guard,knn10,recall_lead4,-0.1283095723014256,-0.19923099661642024,-0.01727972471248756,28,2000,"task with all fold appearances, stratified by suite"
v82_guard,knn10,recall_lead4,-0.10590631364562109,-0.20300882595919567,0.047631779984721144,28,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,recall_lead4,0.012219959266802527,-0.0261200126816895,0.0632465811750337,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v7,knn10,recall_lead4,-0.22810590631364558,-0.329900716063176,-0.15453282828282836,28,2000,"task with all fold appearances, stratified by suite"
knn_and_v8,knn10,recall_lead4,-0.10386965376782076,-0.17569572015356674,5.319148936141333e-05,28,2000,"task with all fold appearances, stratified by suite"
knn_or_v8,knn10,recall_lead4,0.0,0.0,0.0,28,2000,"task with all fold appearances, stratified by suite"
