fold,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
libero_goal_20260907,seen,v7_frozen_or_knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.488888888888889,13.0,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,11,0.9166666666666666,0,8,0.6666666666666666,0,0,0.0,0,0.0,0.0,0.0,0.0018248175182481751,0.6666666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
libero_goal_20260907,seen,v7_frozen_and_knn10,560,12,548,6,0,0.5,0.0,1.0,0.75,0.8416666666666668,19.0,6,0.5,0,6,0.5,0,5,0.4166666666666667,0,3,0.25,0,3,0.25,0,2,0.16666666666666666,0,0,0.0,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0
libero_goal_20260907,seen,v8_frozen_or_knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.4750000000000001,13.0,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,0,0.0,0,0.0,0.0,0.0,0.0018248175182481751,0.75,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
libero_goal_20260907,seen,v8_frozen_and_knn10,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.6583333333333333,21.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,5,0.4166666666666667,0,2,0.16666666666666666,0,0,0.0,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0018248175182481751,0.8333333333333334,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
libero_goal_20260907,seen,v82_frozen_or_knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.4666666666666668,13.0,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,11,0.9166666666666666,0,9,0.75,0,2,0.16666666666666666,0,0.0,0.0,0.16666666666666666,0.0018248175182481751,0.75,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
libero_goal_20260907,seen,v82_frozen_and_knn10,560,12,548,12,1,1.0,0.0018248175182481751,0.9230769230769231,0.9990875912408759,0.625,18.0,12,1.0,1,12,1.0,1,12,1.0,1,11,0.9166666666666666,0,6,0.5,0,3,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0018248175182481751,0.9166666666666666,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751,1.0,0.0018248175182481751
libero_goal_20260907,seen,v83_frozen_or_knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.42777777777777776,11.5,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,12,1.0,0,11,0.9166666666666666,0,4,0.3333333333333333,0,0.0,0.0,0.3333333333333333,0.0018248175182481751,0.9166666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
libero_goal_20260907,seen,v83_frozen_and_knn10,560,12,548,12,0,1.0,0.0,1.0,1.0,0.6111111111111112,17.0,12,1.0,0,12,1.0,0,12,1.0,0,11,0.9166666666666666,0,7,0.5833333333333334,0,3,0.25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.9166666666666666,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,unseen,v7_frozen_or_knn10,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901,0.6457264957264959,17.0,77,0.9871794871794872,21,76,0.9743589743589743,12,72,0.9230769230769231,11,69,0.8846153846153846,4,47,0.6025641025641025,2,16,0.20512820512820512,1,1,0.01282051282051282,0,0.0,0.0,0.01282051282051282,0.0017825311942959,0.20512820512820512,0.00980392156862745,0.6923076923076923,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695
libero_goal_20260907,unseen,v7_frozen_and_knn10,1200,78,1122,51,1,0.6538461538461539,0.00089126559714795,0.9807692307692307,0.8264774441245029,0.9012820512820513,24.0,51,0.6538461538461539,1,44,0.5641025641025641,1,42,0.5384615384615384,1,8,0.10256410256410256,0,1,0.01282051282051282,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.6538461538461539,0.00089126559714795,0.6538461538461539,0.00089126559714795,0.6538461538461539,0.00089126559714795
