scope,method,recall,fpr,precision,recall_lead4,recall_by_q10,recall_by_q14,recall_by_q21,fpr_by_q14
seen,knn10,0.847761629904487,0.010724816987405093,0.7364661579204951,0.8439737511166082,0.0,0.3960320074450509,0.6123360938578329,0.006304531010687231
seen,knn10_delta_q7,0.8634542705971278,0.011334654492288999,0.7259136773251039,0.8588246409674981,0.0,0.43344077420164373,0.6687072589246502,0.007220237271413775
seen,knn10_persist3,0.8606728330330814,0.011299467121742885,0.7512725108130965,0.8606728330330814,0.0,0.28530308258569126,0.5659239914674697,0.006746056358465501
seen,knn12_v8,0.8444736480450766,0.01045917930764662,0.7596929469375705,0.8349137634851921,0.06032608695652173,0.41101647949474035,0.6168815484032876,0.0046222600778702905
seen,knn_and_v7,0.6281241130620012,0.013935128788919426,0.5752123430017168,0.5718237910008096,0.0036231884057971015,0.11841552167639124,0.3469064349499132,0.010612365689525559
seen,knn_and_v8,0.8690476190476191,0.013534901066160801,0.6942333115761108,0.8317049898571637,0.050250172532781225,0.2984966120835686,0.6098011690402995,0.008435460324681458
seen,knn_or_v8,0.847761629904487,0.010417313912374345,0.7416835492248429,0.8439737511166082,0.0,0.3960320074450509,0.6123360938578329,0.0059970279356564805
seen,v7_guard,0.6211796686175568,0.0144117065168139,0.569658220768028,0.567657124334143,0.0036231884057971015,0.09877031181379008,0.3469064349499132,0.011088943417420033
seen,v82_guard,0.9004157218442933,0.010934378750113855,0.7824824182687086,0.8377518530468842,0.0632936507936508,0.24810318505970677,0.6181381621599012,0.005512268423701211
seen,v8_guard,0.854488765203051,0.009224191424509136,0.7962958759673032,0.8255636444301041,0.0632936507936508,0.21400495639626074,0.5849621996361126,0.0046002525422954915
unseen,knn10,0.9226630823269479,0.05988528052410238,0.4885131802558045,0.910587739369252,0.08746406371406372,0.4094261974409033,0.710245636716225,0.05475448018241814
unseen,knn10_delta_q7,0.9129168761521703,0.054736782802981644,0.5129496314637709,0.8888627712157123,0.08601232101232102,0.4147467565114624,0.7004596710479064,0.05050616955577757
unseen,knn10_persist3,0.927438069244792,0.05978029673609162,0.477379682875089,0.9235079715646943,0.013737789987789987,0.3594901966225496,0.6981523378582203,0.05370855126034222
unseen,knn12_v8,0.9069901464859448,0.07086929942481422,0.5061504567211391,0.8943043029177483,0.10338189588189588,0.4719073954368072,0.7183168139050492,0.0616961254926686
unseen,knn_and_v7,0.6881857684798861,0.036979881612692674,0.6077184542203995,0.6505293970735148,0.04635989010989011,0.09625477463712757,0.466741635271047,0.03404840325481998
unseen,knn_and_v8,0.9024403265579736,0.04151808053488155,0.6363694941691126,0.8666234473587414,0.06344322344322344,0.21998543939720414,0.6504128061481003,0.03691667275238799
unseen,knn_or_v8,0.9226630823269479,0.05980979787701063,0.48964910858567756,0.910587739369252,0.08746406371406372,0.4094261974409033,0.710245636716225,0.054678997535326394
unseen,v7_guard,0.6723758376699553,0.03647718839810498,0.6153607427353954,0.6321126286567463,0.04635989010989011,0.09034235372470667,0.4339139999434117,0.03370184202925461
unseen,v82_guard,0.9276439678435476,0.034230619776352215,0.6948901473544904,0.886513253319976,0.06326465201465202,0.18358726785197374,0.6487039730422083,0.029106683596134737
unseen,v8_guard,0.8895240190093131,0.032950451923651564,0.7305127709435921,0.8480416125269067,0.06028846153846154,0.17325449876920465,0.6281504524886877,0.029083599311673064
