fold,suite,scope,method,view,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,seen,knn10,full,560,12,1.0,1.0,1.0,1.0,0.9482142857142857,3
libero_goal_20260907,libero_goal,seen,knn10,common_horizon,560,12,0.4400851581508516,0.019177864051017735,0.38106892082366767,0.2507936507936508,0.8571428571428571,3
libero_goal_20260907,libero_goal,unseen,knn10,full,1200,78,0.9980917775035422,0.9671235270651236,0.9977977369358261,0.9920634920634921,0.9908333333333333,3
libero_goal_20260907,libero_goal,unseen,knn10,common_horizon,1200,78,0.6837492572786691,0.17963955466684203,0.6146186088183317,0.6482936507936508,0.6666666666666666,3
libero_goal_20260907,libero_goal,seen,knn10_persist3,full,560,12,1.0,1.0,1.0,1.0,0.5642857142857143,3
libero_goal_20260907,libero_goal,seen,knn10_persist3,common_horizon,560,12,0.3115115571776156,0.02005952380952381,0.37974683544303794,0.38095238095238093,0.42857142857142855,3
libero_goal_20260907,libero_goal,unseen,knn10_persist3,full,1200,78,0.9956122309063485,0.9489007973672722,0.9937712935026743,0.9892857142857143,0.3908333333333333,3
libero_goal_20260907,libero_goal,unseen,knn10_persist3,common_horizon,1200,78,0.6524578362813657,0.10524917334737895,0.4689589302769819,0.5151322751322751,0.3333333333333333,3
libero_goal_20260907,libero_goal,seen,knn10_delta_q7,full,560,12,1.0,1.0,1.0,1.0,0.9482142857142857,3
libero_goal_20260907,libero_goal,seen,knn10_delta_q7,common_horizon,560,12,0.31599756690997566,0.02320804195804196,0.3333333333333333,0.3333333333333333,0.8571428571428571,3
libero_goal_20260907,libero_goal,unseen,knn10_delta_q7,full,1200,78,0.9976118652589241,0.9615413008052975,0.9978726475113265,0.9920634920634921,0.9908333333333333,3
libero_goal_20260907,libero_goal,unseen,knn10_delta_q7,common_horizon,1200,78,0.6858688696923991,0.2202178992392808,0.557428319943068,0.5803571428571428,0.6666666666666666,3
libero_goal_20260907,libero_goal,seen,v7_guard,full,560,12,0.8952250608272506,0.6052464838537845,0.9994212962962963,1.0,1.0,3
libero_goal_20260907,libero_goal,seen,v7_guard,common_horizon,560,12,0.2760036496350365,0.01834891204879532,0.43371630713402864,0.23174603174603173,1.0,3
libero_goal_20260907,libero_goal,unseen,v7_guard,full,1200,78,0.9978861008272772,0.9752974246770002,0.9998501788489991,0.9972222222222222,1.0,3
libero_goal_20260907,libero_goal,unseen,v7_guard,common_horizon,1200,78,0.6414369943781708,0.11633950689265299,0.42521788662985244,0.45003401360544215,1.0,3
libero_goal_20260907,libero_goal,seen,v8_guard,full,560,12,1.0,1.0,1.0,1.0,1.0,3
libero_goal_20260907,libero_goal,seen,v8_guard,common_horizon,560,12,0.6998175182481752,0.0369132161480729,0.7294338997266211,0.5650793650793651,1.0,3
libero_goal_20260907,libero_goal,unseen,v8_guard,full,1200,78,0.9990516019927784,0.9851673517359815,0.9988102063109806,0.9972222222222222,1.0,3
libero_goal_20260907,libero_goal,unseen,v8_guard,common_horizon,1200,78,0.6942273412861648,0.25877182757994704,0.5232087904232317,0.5583805744520031,1.0,3
