baseline,method,failure,episodes,both,added,removed,earlier,same,later
knn10,knn10,False,13909,847,0,0,0,847,0
knn10,knn10,True,491,441,0,0,0,441,0
knn10,knn10_persist3,False,13909,665,169,182,25,44,596
knn10,knn10_persist3,True,491,438,12,3,86,70,282
knn10,knn10_delta_q7,False,13909,707,70,140,43,502,162
knn10,knn10_delta_q7,True,491,419,2,22,37,240,142
knn10,v7_guard,False,13909,433,86,414,349,60,24
knn10,v7_guard,True,491,329,3,112,36,73,220
knn10,v8_guard,False,13909,422,47,425,42,304,76
knn10,v8_guard,True,491,381,13,60,48,74,259
knn10,v82_guard,False,13909,416,71,431,11,272,133
knn10,v82_guard,True,491,380,25,61,41,69,270
knn10,knn12_v8,False,13909,695,297,152,375,251,69
knn10,knn12_v8,True,491,433,14,8,189,163,81
knn10,knn_and_v7,False,13909,435,91,412,318,91,26
knn10,knn_and_v7,True,491,337,5,104,50,77,210
knn10,knn_and_v8,False,13909,473,116,374,222,203,48
knn10,knn_and_v8,True,491,388,13,53,62,90,236
knn10,knn_or_v8,False,13909,844,2,3,0,843,1
knn10,knn_or_v8,True,491,441,0,0,6,432,3
v7_guard,knn10,False,13909,433,414,86,24,60,349
v7_guard,knn10,True,491,329,112,3,220,73,36
v7_guard,knn10_persist3,False,13909,423,411,96,16,13,394
v7_guard,knn10_persist3,True,491,329,121,3,203,51,75
v7_guard,knn10_delta_q7,False,13909,421,356,98,15,53,353
v7_guard,knn10_delta_q7,True,491,325,96,7,174,95,56
v7_guard,v7_guard,False,13909,519,0,0,0,519,0
v7_guard,v7_guard,True,491,332,0,0,0,332,0
v7_guard,v8_guard,False,13909,401,68,118,3,60,338
v7_guard,v8_guard,True,491,327,67,5,36,203,88
v7_guard,v82_guard,False,13909,376,111,143,3,30,343
v7_guard,v82_guard,True,491,319,86,13,47,109,163
v7_guard,knn12_v8,False,13909,434,558,85,50,281,103
v7_guard,knn12_v8,True,491,328,119,4,242,49,37
v7_guard,knn_and_v7,False,13909,516,10,3,8,408,100
v7_guard,knn_and_v7,True,491,332,10,0,64,267,1
v7_guard,knn_and_v8,False,13909,467,122,52,7,208,252
v7_guard,knn_and_v8,True,491,332,69,0,50,267,15
v7_guard,knn_or_v8,False,13909,433,413,86,24,60,349
v7_guard,knn_or_v8,True,491,329,112,3,220,73,36
v8_guard,knn10,False,13909,422,425,47,76,304,42
v8_guard,knn10,True,491,381,60,13,259,74,48
v8_guard,knn10_persist3,False,13909,407,427,62,23,14,370
v8_guard,knn10_persist3,True,491,380,70,14,217,57,106
v8_guard,knn10_delta_q7,False,13909,419,358,50,62,249,108
v8_guard,knn10_delta_q7,True,491,374,47,20,212,99,63
v8_guard,v7_guard,False,13909,401,118,68,338,60,3
v8_guard,v7_guard,True,491,327,5,67,88,203,36
v8_guard,v8_guard,False,13909,469,0,0,0,469,0
v8_guard,v8_guard,True,491,394,0,0,0,394,0
v8_guard,v82_guard,False,13909,440,47,29,12,330,98
v8_guard,v82_guard,True,491,386,19,8,53,232,101
v8_guard,knn12_v8,False,13909,446,546,23,344,96,6
v8_guard,knn12_v8,True,491,387,60,7,291,63,33
v8_guard,knn_and_v7,False,13909,402,124,67,300,98,4
v8_guard,knn_and_v7,True,491,330,12,64,146,146,38
v8_guard,knn_and_v8,False,13909,456,133,13,228,219,9
v8_guard,knn_and_v8,True,491,393,8,1,136,251,6
v8_guard,knn_or_v8,False,13909,424,422,45,76,304,44
v8_guard,knn_or_v8,True,491,381,60,13,259,77,45
