run_id,suite,task,episode,init_state_id,noise_seed,length,failure,global_row,scope,fold,method,first_alarm_query,executed_action_steps_before_alarm,threshold,drop_goal_release,failed_goal_release,reason,lag_from_drop
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,34,4,1010,30,True,1234,unseen,libero_goal_20260907,knn10,22,220,1.8795933723449707,,,object_moved_but_goal_unmet,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,41,5,1009,30,True,1241,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,16.0,16.0,object_released_or_dropped_before_goal,1.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,5,1010,30,True,1242,unseen,libero_goal_20260907,knn10,28,280,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,43,5,1011,30,True,1243,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,16.0,16.0,object_released_or_dropped_before_goal,1.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45,5,1013,30,True,1245,unseen,libero_goal_20260907,knn10,18,180,1.8795933723449707,17.0,17.0,object_released_or_dropped_before_goal,1.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,46,5,1014,30,True,1246,unseen,libero_goal_20260907,knn10,18,180,1.8795933723449707,17.0,17.0,object_released_or_dropped_before_goal,1.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,47,5,1015,30,True,1247,unseen,libero_goal_20260907,knn10,19,190,1.8795933723449707,17.0,17.0,object_released_or_dropped_before_goal,2.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,59,7,1011,30,True,1259,unseen,libero_goal_20260907,knn10,22,220,1.8795933723449707,14.0,14.0,object_released_or_dropped_before_goal,8.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,72,9,1008,30,True,1272,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,73,9,1009,30,True,1273,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,74,9,1010,30,True,1274,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,76,9,1012,30,True,1276,unseen,libero_goal_20260907,knn10,21,210,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,78,9,1014,30,True,1278,unseen,libero_goal_20260907,knn10,22,220,1.8795933723449707,,,object_released_or_dropped_before_goal,
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,128,16,1008,30,True,1328,unseen,libero_goal_20260907,knn10,19,190,1.8795933723449707,19.0,19.0,object_released_or_dropped_before_goal,0.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,131,16,1011,30,True,1331,unseen,libero_goal_20260907,knn10,17,170,1.8795933723449707,18.0,18.0,object_released_or_dropped_before_goal,-1.0
right-50x8b-20260903,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,132,16,1012,30,True,1332,unseen,libero_goal_20260907,knn10,13,130,1.8795933723449707,28.0,28.0,object_released_outside_goal,-15.0
