scope,method,events,unique_events,before,at_event,after,missed
seen,knn10,96,81,3,3,73,17
seen,knn10_delta_q7,96,81,5,3,71,17
seen,knn10_persist3,96,81,4,3,72,17
seen,knn12_v8,96,81,4,2,73,17
seen,knn_and_v7,96,81,1,0,68,27
seen,knn_and_v8,96,81,4,1,78,13
seen,knn_or_v8,96,81,3,3,73,17
seen,v7_guard,96,81,1,0,68,27
seen,v82_guard,96,81,4,2,83,7
seen,v8_guard,96,81,4,2,78,12
unseen,knn10,175,162,12,11,133,19
unseen,knn10_delta_q7,175,162,12,8,132,23
unseen,knn10_persist3,175,162,10,2,148,15
unseen,knn12_v8,175,162,21,10,136,8
unseen,knn_and_v7,175,162,0,1,122,52
unseen,knn_and_v8,175,162,2,1,146,26
unseen,knn_or_v8,175,162,12,11,133,19
unseen,v7_guard,175,162,0,1,118,56
unseen,v82_guard,175,162,2,0,148,25
unseen,v8_guard,175,162,2,0,143,30
