scope,calibration,method,alpha,recall,fpr,precision,recall_lead4,recall_by_q10,recall_by_q14,recall_by_q21,fpr_by_q14
seen,episode,knn10,0.01,0.8884078884078884,0.015100814360417145,0.6817328960569831,0.8846200096200096,0.0,0.44702407093711444,0.626157986251154,0.00858136084577119
seen,episode,knn10,0.03,0.950302343159486,0.033895741003617745,0.5145677066838631,0.9456727135298563,0.05221417069243156,0.554115877796002,0.7236478210080696,0.024124626285351586
seen,episode,knn10,0.05,0.9756235827664398,0.05594731566541917,0.39061354285038496,0.9739229024943311,0.12379802162410858,0.6345015893928937,0.7711382532811104,0.04460702605016889
seen,episode,knn10,0.1,0.9982993197278911,0.11237797504952474,0.2504559615515039,0.9982993197278911,0.2444308509525901,0.6934189947388706,0.8134920634920636,0.09438935071768086
seen,episode,knn10,0.15,1.0,0.15987227493452935,0.19217655946217124,1.0,0.292233074608851,0.7411325245952575,0.8457105064247922,0.13782457437357373
seen,episode,knn10,0.2,1.0,0.22144509013195945,0.1468231314759371,1.0,0.36323972496332746,0.7770443640785256,0.8725434618291761,0.19402599163256828
seen,episode,knn10_delta_q7,0.01,0.8964474678760394,0.014343598542209226,0.6940615318177349,0.8918178382464097,0.0,0.46201220277307237,0.6851574753748667,0.008134453938733192
seen,episode,knn10_delta_q7,0.03,0.9650415721844293,0.03480088499734077,0.4998780751643567,0.9604119425547997,0.03254830917874396,0.5527931264732507,0.7390623926338212,0.025055082039030077
seen,episode,knn10_delta_q7,0.05,0.9861111111111112,0.04999720058810716,0.4184517675176451,0.9804421768707483,0.0845554405337014,0.6298917151401623,0.785894660894661,0.038354098051442125
seen,episode,knn10_delta_q7,0.1,0.9946145124716553,0.10630066979098686,0.2622858783545882,0.9946145124716553,0.20716746733827476,0.7143854621339093,0.8190665154950869,0.08737469246802983
seen,episode,knn10_delta_q7,0.15,0.9982993197278911,0.16130370057761945,0.19127680151265178,0.9982993197278911,0.2838713966043159,0.7365200735542351,0.8298374905517764,0.13849124102214402
seen,episode,knn10_delta_q7,0.2,1.0,0.2123770355362672,0.1520164658717001,1.0,0.3179071474878928,0.7545131513299216,0.8421201814058957,0.18465296285129484
seen,episode,knn10_persist3,0.01,0.8784683570397857,0.01430941918380004,0.7133956177654617,0.8784683570397857,0.0,0.3111484932137106,0.591769402095489,0.008288298048702694
seen,episode,knn10_persist3,0.03,0.9804421768707483,0.034843722443225686,0.5355967216178878,0.9741118669690098,0.0,0.5035105192713888,0.6974452451160525,0.024725301031256298
seen,episode,knn10_persist3,0.05,0.9926303854875284,0.054162229029262175,0.41340964287322274,0.9926303854875284,0.022524154589371983,0.5876282792431861,0.7658313391232646,0.03945167666699618
seen,episode,knn10_persist3,0.1,0.9982993197278911,0.10792591341206731,0.25992691252440436,0.9982993197278911,0.09031306857393813,0.6697758791702891,0.8324744039029753,0.08599229013119845
seen,episode,knn10_persist3,0.15,0.9982993197278911,0.1569658060252443,0.19218947743758386,0.9982993197278911,0.1482725808812765,0.7418280333653003,0.8539304610733183,0.12933293094740728
seen,episode,knn10_persist3,0.2,1.0,0.20762995294500533,0.15028140082083108,1.0,0.19546309740409118,0.7705920861976763,0.8809523809523809,0.17507842332928455
seen,episode,knn12_v8,0.01,0.9039974575688862,0.015415676304537081,0.6851130288031797,0.8910362124647838,0.07361973775017254,0.44321109647196605,0.6525958341175733,0.00782287489861364
seen,episode,knn12_v8,0.03,0.9750566893424036,0.033796685875388296,0.5227590440858721,0.9684429327286471,0.14540200138026224,0.6025457547973075,0.7551909213399896,0.02305509651986157
seen,episode,knn12_v8,0.05,0.9909297052154195,0.059547441091631646,0.3719514362853871,0.9875283446712019,0.2111986098787341,0.642532579566741,0.7783103140245998,0.04625707344048013
seen,episode,knn12_v8,0.1,0.9963151927437641,0.11763750698646301,0.23668035701233123,0.9963151927437641,0.31877765379318174,0.6970943537713724,0.8267195767195767,0.0978597901298562
seen,episode,knn12_v8,0.15,1.0,0.16541598555529918,0.18320969269452472,1.0,0.36713198234937366,0.7385995417051318,0.8530801209372637,0.14078693793983557
seen,episode,knn12_v8,0.2,1.0,0.22215537697785914,0.14371358316334795,1.0,0.4081724894613093,0.77544761426749,0.8661186696900982,0.19080547353728036
seen,episode,knn_and_v7,0.01,0.6302027222834676,0.013209028378636275,0.594132354447942,0.5609394372593131,0.0,0.11479233327059414,0.3403542971865953,0.008909995467356156
seen,episode,knn_and_v7,0.03,0.6982578670466869,0.028323446663022323,0.4389169379480109,0.6274450733301665,0.008252818035426731,0.18074377313507747,0.3962010671638001,0.022297670094310305
seen,episode,knn_and_v7,0.05,0.738265306122449,0.050622062614475966,0.3454632788379077,0.6841894245620953,0.02709709487659798,0.23118701806590006,0.46007348701448075,0.0425182288949697
seen,episode,knn_and_v7,0.1,0.7909863945578232,0.094780057864768,0.24060652228535095,0.7150707384403036,0.06000977685760295,0.3049197237085436,0.509287155793367,0.08293285586702988
seen,episode,knn_and_v7,0.15,0.8133786848072563,0.1537314908727536,0.17417797397489962,0.7606440402247855,0.12271872077772698,0.4296492356274965,0.6007876382876383,0.13519087887403078
seen,episode,knn_and_v7,0.2,0.8266534391534391,0.19926859291752996,0.14224565011823515,0.7853318380492293,0.16527057023951433,0.4874324806778223,0.6268990929705215,0.17615694442666396
seen,episode,knn_and_v8,0.01,0.8917233560090704,0.014349882736873506,0.6947256297154878,0.8508762947427543,0.04608350586611456,0.3340462074157726,0.6151250377182055,0.008274172183507915
seen,episode,knn_and_v8,0.03,0.9501133786848074,0.028513258247250747,0.5375452629864395,0.9152367358889099,0.1384633080285254,0.47588985088985086,0.6859656906240756,0.020431348372829367
seen,episode,knn_and_v8,0.05,0.9747732426303855,0.047016205031855,0.4274512873009148,0.9575446120477177,0.16470554405337015,0.5377514795993057,0.7320084160146272,0.03613483559569915
seen,episode,knn_and_v8,0.1,0.9912131519274375,0.10139207710487157,0.2639447336391059,0.9875899635216405,0.22758717013375399,0.658805819209546,0.8041812684669827,0.08434192718747557
seen,episode,knn_and_v8,0.15,0.9965986394557823,0.14778783256700725,0.19771393727321776,0.9965986394557823,0.28557050839659537,0.7130287644262799,0.8423692709406995,0.12635827391499901
seen,episode,knn_and_v8,0.2,0.9965986394557823,0.1937772635214703,0.15991141233378958,0.9965986394557823,0.3290126195405699,0.7383923156438684,0.8536298357726929,0.16589153858876565
seen,episode,knn_or_v8,0.01,0.8884078884078884,0.015251507549085016,0.6804171065832989,0.8846200096200096,0.008333333333333333,0.44702407093711444,0.626157986251154,0.008732054034439064
seen,episode,knn_or_v8,0.03,0.9622071050642479,0.0335929230477204,0.5172481249687132,0.9575774754346184,0.09020588911893261,0.5644333381134623,0.715314487674736,0.023821808329454252
seen,episode,knn_or_v8,0.05,0.985827664399093,0.054102090703366905,0.4000276271240748,0.9841269841269842,0.17344432942259028,0.6372432921345964,0.7711382532811104,0.04292182166947134
seen,episode,knn_or_v8,0.1,0.9982993197278911,0.10499127653876865,0.2600082552897485,0.9982993197278911,0.2667488251339183,0.6870697883896643,0.8116883116883117,0.0870184936072571
seen,episode,knn_or_v8,0.15,1.0,0.1542039117154748,0.1961206906695718,1.0,0.32791128528706165,0.7312118896746226,0.8476946334089192,0.1320125885618668
seen,episode,knn_or_v8,0.2,1.0,0.21183359067562738,0.15082803592500563,1.0,0.38064828258927635,0.7547379667721282,0.8639455782312925,0.18583926364014156
seen,episode,v7_guard,0.01,0.6278879074686529,0.01260352154311735,0.605170045407462,0.5609394372593131,0.0,0.11067507371855197,0.3403542971865953,0.00830448863183723
seen,episode,v7_guard,0.03,0.6715243233876774,0.028189963103074863,0.44777643166833453,0.613523321054377,0.0077898550724637685,0.15711462450592886,0.3717265079066321,0.022781767397093863
seen,episode,v7_guard,0.05,0.719894299397405,0.04860261609740856,0.358302861808142,0.6554118155826231,0.02199505406027145,0.20773693755060216,0.41795046740698916,0.04176336020255883
seen,episode,v7_guard,0.1,0.7521456057170343,0.10060004042542113,0.227536965165596,0.6980697241566807,0.06215859422381162,0.2966627977497543,0.5005361586883326,0.09061193479104278
seen,episode,v7_guard,0.15,0.784467120181406,0.14963984991738885,0.17592475494155335,0.7353228006178316,0.10226630397437851,0.35422507386793106,0.531189856267496,0.1348535295464124
seen,episode,v7_guard,0.2,0.8180083144368858,0.19618840754832126,0.14626630229204474,0.7573227841861382,0.15265842393171586,0.4258370454022628,0.5961867641215467,0.1749193322149405
seen,episode,v82_guard,0.01,0.9202569916855632,0.012469606897219177,0.7526464036833745,0.8559877837828148,0.0669168391994479,0.2905865068908547,0.6255936696154087,0.006564871088181052
seen,episode,v82_guard,0.03,0.9695767195767195,0.03246414523161179,0.5082146075069482,0.9379124728503611,0.15263112491373362,0.40733029048246444,0.6744914764324702,0.022522909024230143
seen,episode,v82_guard,0.05,0.9761904761904762,0.04930182624831531,0.4161196422096008,0.9634555403188944,0.1809236254888429,0.49947220653742397,0.7067513720464031,0.036218323647878053
seen,episode,v82_guard,0.1,0.9835600907029479,0.09750927358570816,0.27519964576803635,0.9797722119150691,0.27812571888658844,0.614148995127256,0.7522432996035481,0.07504869555122069
seen,episode,v82_guard,0.15,0.9852607709750566,0.1461183141427704,0.20215388185303287,0.9797722119150691,0.3240949871384654,0.6542468458617526,0.7656067477496049,0.11409182177516632
seen,episode,v82_guard,0.2,0.9912131519274375,0.19254640330450923,0.16079283628409083,0.9895124716553289,0.3719728339293557,0.6717917865433393,0.7921992029134887,0.1506627227772076
seen,episode,v8_guard,0.01,0.8919982134267849,0.012806525091824601,0.7364739352790735,0.8420980359644955,0.0669168391994479,0.27410962628353935,0.6035324779889998,0.007045441236849544
seen,episode,v8_guard,0.03,0.9303665910808768,0.029545592379007515,0.5168744613706716,0.8879219210740951,0.10798826777087646,0.37821538365016627,0.6507107080864845,0.021315334567415273
seen,episode,v8_guard,0.05,0.9764739229024944,0.04841133667081782,0.41543758815994125,0.9435814070907238,0.1779474350126524,0.4537999037999038,0.7000016805141028,0.037506134004329277
seen,episode,v8_guard,0.1,0.9852607709750566,0.09975242923912447,0.26658367931757704,0.9659449418766188,0.25198203567768784,0.5729933541268944,0.7439818922738177,0.08075724855767713
seen,episode,v8_guard,0.15,0.9929138321995464,0.1474640360763956,0.20451376171284227,0.9892906437937494,0.33063767667804933,0.6729682957943828,0.7951882773311345,0.12291567459357645
seen,episode,v8_guard,0.2,0.9948979591836734,0.20151469719734413,0.15628574119267932,0.9948979591836734,0.373168239627867,0.7008923156438684,0.8220384113241256,0.16945710803043768
seen,task_init,knn10,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
seen,task_init,knn10,0.03,0.8071342678485536,0.005891781908944001,0.8409394193595844,0.7995585102727959,0.0,0.3400278666583014,0.5984472049689441,0.003544542797278925
seen,task_init,knn10,0.05,0.847761629904487,0.010724816987405093,0.7364661579204951,0.8439737511166082,0.0,0.3960320074450509,0.6123360938578329,0.006304531010687231
seen,task_init,knn10,0.1,0.9283824640967498,0.027593893908723494,0.5556703219127231,0.9217687074829932,0.043115942028985506,0.511754972081059,0.6950952888841088,0.017985858120659556
seen,task_init,knn10,0.15,0.9464285714285715,0.040376080737511456,0.470861334982507,0.9417989417989417,0.08260869565217392,0.5736865848667091,0.7108207929636502,0.03014282010502435
