fold,suite,task,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,knn10_persist3,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,knn10_persist3,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,knn10_persist3,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,knn10_persist3,400,51,349,48,9,0.9411764705882353,0.025787965616045846,0.8421052631578947,0.9576942524860947,0.7666666666666666,22.5,48,0.9411764705882353,9,47,0.9215686274509803,8,47,0.9215686274509803,8,24,0.47058823529411764,4,10,0.19607843137254902,1,1,0.0196078431372549,1,0,0.0,0,0.0,0.0,0.0,0.0057306590257879654,0.0196078431372549,0.02005730659025788,0.37254901960784315,0.025787965616045846,0.9411764705882353,0.025787965616045846,0.9411764705882353,0.025787965616045846,0.9411764705882353,0.025787965616045846
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,knn10_persist3,400,18,382,17,1,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.970913321698662,0.5944444444444444,13.0,17,0.9444444444444444,1,17,0.9444444444444444,1,17,0.9444444444444444,1,14,0.7777777777777778,1,11,0.6111111111111112,0,9,0.5,0,1,0.05555555555555555,0,0.0,0.0,0.05555555555555555,0.0,0.5,0.002617801047120419,0.7777777777777778,0.002617801047120419,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.002617801047120419,0.9444444444444444,0.002617801047120419
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,knn10_persist3,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5814814814814814,15.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,7,0.7777777777777778,0,1,0.1111111111111111,0,0,0.0,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,knn10_delta_q7,80,0,80,0,1,,0.0125,0.0,,,,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125,,0.0125
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,knn10_delta_q7,80,1,79,1,2,1.0,0.02531645569620253,0.3333333333333333,0.9873417721518988,0.5333333333333333,15.0,1,1.0,2,1,1.0,2,1,1.0,2,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253,1.0,0.02531645569620253
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,knn10_delta_q7,80,3,77,3,0,1.0,0.0,1.0,1.0,0.4666666666666666,13.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,knn10_delta_q7,80,8,72,8,0,1.0,0.0,1.0,1.0,0.49166666666666664,12.5,8,1.0,0,8,1.0,0,8,1.0,0,8,1.0,0,7,0.875,0,5,0.625,0,0,0.0,0,0.0,0.0,0.0,0.0,0.625,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,seen,knn10_delta_q7,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,seen,knn10_delta_q7,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/turn_on_the_stove,seen,knn10_delta_q7,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,unseen,knn10_delta_q7,400,51,349,50,14,0.9803921568627451,0.04011461318051576,0.78125,0.9701387718411147,0.6954248366013073,18.0,50,0.9803921568627451,14,49,0.9607843137254902,8,46,0.9019607843137255,6,43,0.8431372549019608,1,26,0.5098039215686274,1,2,0.0392156862745098,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0392156862745098,0.017191977077363897,0.6078431372549019,0.04011461318051576,0.9803921568627451,0.04011461318051576,0.9803921568627451,0.04011461318051576,0.9803921568627451,0.04011461318051576
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_plate,unseen,knn10_delta_q7,400,18,382,15,1,0.8333333333333334,0.002617801047120419,0.9375,0.9153577661431065,0.5851851851851851,12.0,15,0.8333333333333334,1,15,0.8333333333333334,1,15,0.8333333333333334,1,15,0.8333333333333334,1,14,0.7777777777777778,1,9,0.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.002617801047120419,0.8333333333333334,0.002617801047120419,0.8333333333333334,0.002617801047120419,0.8333333333333334,0.002617801047120419,0.8333333333333334,0.002617801047120419
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_the_stove,unseen,knn10_delta_q7,400,9,391,9,0,1.0,0.0,1.0,1.0,0.5518518518518518,16.0,9,1.0,0,9,1.0,0,9,1.0,0,9,1.0,0,8,0.8888888888888888,0,3,0.3333333333333333,0,0,0.0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,seen,v7_guard,80,0,80,0,0,,0.0,,,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
libero_goal_20260907,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,seen,v7_guard,80,1,79,1,6,1.0,0.0759493670886076,0.14285714285714285,0.9620253164556962,0.9,26.0,1,1.0,6,1,1.0,6,1,1.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0759493670886076,0.0,0.0759493670886076,1.0,0.0759493670886076,1.0,0.0759493670886076,1.0,0.0759493670886076
libero_goal_20260907,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,seen,v7_guard,80,3,77,3,0,1.0,0.0,1.0,1.0,0.48888888888888893,14.0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,3,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
libero_goal_20260907,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,seen,v7_guard,80,8,72,2,0,0.25,0.0,1.0,0.625,0.9666666666666667,25.0,2,0.25,0,2,0.25,0,1,0.125,0,1,0.125,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
