scope,suite,method,failure,episodes,unique_episodes,bin,count,fraction
seen,all,knn10,False,6469,5704,q0-7,0,0.0
seen,all,knn10,False,6469,5704,q8-10,14,0.0021641675684031534
seen,all,knn10,False,6469,5704,q11-14,27,0.0041737517390632245
seen,all,knn10,False,6469,5704,q15-19,6,0.0009275003864584944
seen,all,knn10,False,6469,5704,q20-29,14,0.0021641675684031534
seen,all,knn10,False,6469,5704,q30-39,8,0.001236667181944659
seen,all,knn10,False,6469,5704,q40-51,0,0.0
seen,all,knn10,False,6469,5704,no_alarm,6400,0.9893337455557273
seen,all,knn10,True,251,200,q0-7,0,0.0
seen,all,knn10,True,251,200,q8-10,0,0.0
seen,all,knn10,True,251,200,q11-14,79,0.3147410358565737
seen,all,knn10,True,251,200,q15-19,35,0.1394422310756972
seen,all,knn10,True,251,200,q20-29,30,0.11952191235059761
seen,all,knn10,True,251,200,q30-39,43,0.17131474103585656
seen,all,knn10,True,251,200,q40-51,7,0.027888446215139442
seen,all,knn10,True,251,200,no_alarm,57,0.22709163346613545
seen,libero_goal,knn10,False,1623,1471,q0-7,0,0.0
seen,libero_goal,knn10,False,1623,1471,q8-10,8,0.004929143561306223
seen,libero_goal,knn10,False,1623,1471,q11-14,3,0.0018484288354898336
seen,libero_goal,knn10,False,1623,1471,q15-19,2,0.0012322858903265558
seen,libero_goal,knn10,False,1623,1471,q20-29,0,0.0
seen,libero_goal,knn10,False,1623,1471,q30-39,0,0.0
seen,libero_goal,knn10,False,1623,1471,q40-51,0,0.0
seen,libero_goal,knn10,False,1623,1471,no_alarm,1610,0.9919901417128774
seen,libero_goal,knn10,True,57,49,q0-7,0,0.0
seen,libero_goal,knn10,True,57,49,q8-10,0,0.0
seen,libero_goal,knn10,True,57,49,q11-14,21,0.3684210526315789
seen,libero_goal,knn10,True,57,49,q15-19,16,0.2807017543859649
seen,libero_goal,knn10,True,57,49,q20-29,19,0.3333333333333333
seen,libero_goal,knn10,True,57,49,q30-39,0,0.0
seen,libero_goal,knn10,True,57,49,q40-51,0,0.0
seen,libero_goal,knn10,True,57,49,no_alarm,1,0.017543859649122806
seen,libero_long,knn10,False,1571,1357,q0-7,0,0.0
seen,libero_long,knn10,False,1571,1357,q8-10,0,0.0
seen,libero_long,knn10,False,1571,1357,q11-14,1,0.0006365372374283895
seen,libero_long,knn10,False,1571,1357,q15-19,3,0.0019096117122851686
seen,libero_long,knn10,False,1571,1357,q20-29,13,0.008274984086569064
seen,libero_long,knn10,False,1571,1357,q30-39,8,0.005092297899427116
seen,libero_long,knn10,False,1571,1357,q40-51,0,0.0
seen,libero_long,knn10,False,1571,1357,no_alarm,1546,0.9840865690642903
seen,libero_long,knn10,True,109,83,q0-7,0,0.0
seen,libero_long,knn10,True,109,83,q8-10,0,0.0
seen,libero_long,knn10,True,109,83,q11-14,0,0.0
seen,libero_long,knn10,True,109,83,q15-19,1,0.009174311926605505
seen,libero_long,knn10,True,109,83,q20-29,6,0.05504587155963303
seen,libero_long,knn10,True,109,83,q30-39,43,0.3944954128440367
seen,libero_long,knn10,True,109,83,q40-51,7,0.06422018348623854
seen,libero_long,knn10,True,109,83,no_alarm,52,0.47706422018348627
seen,libero_object,knn10,False,1656,1414,q0-7,0,0.0
seen,libero_object,knn10,False,1656,1414,q8-10,0,0.0
seen,libero_object,knn10,False,1656,1414,q11-14,7,0.004227053140096618
seen,libero_object,knn10,False,1656,1414,q15-19,0,0.0
seen,libero_object,knn10,False,1656,1414,q20-29,1,0.0006038647342995169
seen,libero_object,knn10,False,1656,1414,q30-39,0,0.0
seen,libero_object,knn10,False,1656,1414,q40-51,0,0.0
seen,libero_object,knn10,False,1656,1414,no_alarm,1648,0.9951690821256038
seen,libero_object,knn10,True,24,18,q0-7,0,0.0
seen,libero_object,knn10,True,24,18,q8-10,0,0.0
seen,libero_object,knn10,True,24,18,q11-14,9,0.375
seen,libero_object,knn10,True,24,18,q15-19,6,0.25
seen,libero_object,knn10,True,24,18,q20-29,5,0.20833333333333334
seen,libero_object,knn10,True,24,18,q30-39,0,0.0
seen,libero_object,knn10,True,24,18,q40-51,0,0.0
seen,libero_object,knn10,True,24,18,no_alarm,4,0.16666666666666666
seen,libero_spatial,knn10,False,1619,1462,q0-7,0,0.0
seen,libero_spatial,knn10,False,1619,1462,q8-10,6,0.0037059913526868438
seen,libero_spatial,knn10,False,1619,1462,q11-14,16,0.009882643607164917
seen,libero_spatial,knn10,False,1619,1462,q15-19,1,0.0006176652254478073
seen,libero_spatial,knn10,False,1619,1462,q20-29,0,0.0
seen,libero_spatial,knn10,False,1619,1462,q30-39,0,0.0
seen,libero_spatial,knn10,False,1619,1462,q40-51,0,0.0
seen,libero_spatial,knn10,False,1619,1462,no_alarm,1596,0.9857936998147004
seen,libero_spatial,knn10,True,61,50,q0-7,0,0.0
seen,libero_spatial,knn10,True,61,50,q8-10,0,0.0
seen,libero_spatial,knn10,True,61,50,q11-14,49,0.8032786885245902
seen,libero_spatial,knn10,True,61,50,q15-19,12,0.19672131147540983
seen,libero_spatial,knn10,True,61,50,q20-29,0,0.0
seen,libero_spatial,knn10,True,61,50,q30-39,0,0.0
seen,libero_spatial,knn10,True,61,50,q40-51,0,0.0
seen,libero_spatial,knn10,True,61,50,no_alarm,0,0.0
seen,all,knn10_delta_q7,False,6469,5704,q0-7,0,0.0
seen,all,knn10_delta_q7,False,6469,5704,q8-10,8,0.001236667181944659
seen,all,knn10_delta_q7,False,6469,5704,q11-14,39,0.0060287525119802135
seen,all,knn10_delta_q7,False,6469,5704,q15-19,5,0.000772916988715412
seen,all,knn10_delta_q7,False,6469,5704,q20-29,12,0.0018550007729169888
seen,all,knn10_delta_q7,False,6469,5704,q30-39,9,0.0013912505796877415
seen,all,knn10_delta_q7,False,6469,5704,q40-51,0,0.0
seen,all,knn10_delta_q7,False,6469,5704,no_alarm,6396,0.988715411964755
seen,all,knn10_delta_q7,True,251,200,q0-7,0,0.0
seen,all,knn10_delta_q7,True,251,200,q8-10,0,0.0
seen,all,knn10_delta_q7,True,251,200,q11-14,84,0.3346613545816733
seen,all,knn10_delta_q7,True,251,200,q15-19,38,0.15139442231075698
seen,all,knn10_delta_q7,True,251,200,q20-29,25,0.099601593625498
seen,all,knn10_delta_q7,True,251,200,q30-39,42,0.16733067729083664
seen,all,knn10_delta_q7,True,251,200,q40-51,7,0.027888446215139442
seen,all,knn10_delta_q7,True,251,200,no_alarm,55,0.21912350597609562
seen,libero_goal,knn10_delta_q7,False,1623,1471,q0-7,0,0.0
seen,libero_goal,knn10_delta_q7,False,1623,1471,q8-10,7,0.004313000616142945
seen,libero_goal,knn10_delta_q7,False,1623,1471,q11-14,11,0.006777572396796057
seen,libero_goal,knn10_delta_q7,False,1623,1471,q15-19,2,0.0012322858903265558
seen,libero_goal,knn10_delta_q7,False,1623,1471,q20-29,0,0.0
seen,libero_goal,knn10_delta_q7,False,1623,1471,q30-39,0,0.0
seen,libero_goal,knn10_delta_q7,False,1623,1471,q40-51,0,0.0
seen,libero_goal,knn10_delta_q7,False,1623,1471,no_alarm,1603,0.9876771410967344
seen,libero_goal,knn10_delta_q7,True,57,49,q0-7,0,0.0
seen,libero_goal,knn10_delta_q7,True,57,49,q8-10,0,0.0
seen,libero_goal,knn10_delta_q7,True,57,49,q11-14,24,0.42105263157894735
seen,libero_goal,knn10_delta_q7,True,57,49,q15-19,20,0.3508771929824561
seen,libero_goal,knn10_delta_q7,True,57,49,q20-29,13,0.22807017543859648
seen,libero_goal,knn10_delta_q7,True,57,49,q30-39,0,0.0
seen,libero_goal,knn10_delta_q7,True,57,49,q40-51,0,0.0
