estimator,stage,saving,mean_relative_error,median_relative_error,p90_relative_error,p95_relative_error,unsafe_rate,unsafe_count,unsafe_query_count,unsafe_query_any_rate,unsafe_rollout_count,physical_rms,physical_max_abs_p95,gripper_sign_flip_rate
current,2,0.8,1.4320301454868058,1.3545631432509098,1.9105729669440945,1.9720562525994403,1.0,181,181,1.0,4,0.48108851184686824,3.0100224507250792,1.0
current,3,0.7,1.2547891036597616,1.1882273216971921,1.6713735347270762,1.729488674148986,1.0,181,181,1.0,4,0.42197906068119,2.640288632422055,0.994475138121547
current,4,0.6,1.0768965880293746,1.0194985014087914,1.4315797428355397,1.4828180548233856,1.0,181,181,1.0,4,0.3626330995063821,2.2725007815837843,0.9558011049723757
current,5,0.5,0.8986249912259927,0.8505062985635709,1.1937088912843663,1.2365874678230375,1.0,181,181,1.0,4,0.3029941504705381,1.906658898210266,0.850828729281768
current,6,0.4,0.720015838088483,0.6795134247543224,0.9547602232228845,0.9908770501970433,1.0,181,181,1.0,4,0.24317498277091337,1.5388710473719946,0.585635359116022
current,7,0.3,0.5402712870450003,0.5090989333842871,0.7168985858950684,0.7454580264706051,1.0,181,181,1.0,4,0.18274878864035715,1.1555154568157016,0.19337016574585636
current,8,0.2,0.3592856585564264,0.33651985386156735,0.4759675875482331,0.49961007103877547,1.0,181,181,1.0,4,0.12155656773267132,0.8044629974377612,0.011049723756906077
current,9,0.1,0.1761067238766734,0.16353598814864082,0.2341131004755684,0.24799099686298548,1.0,181,181,1.0,4,0.05923028760775436,0.398534113026879,0.0
constant_velocity,2,0.8,0.11109752901995751,0.09080712282160512,0.19503927470753468,0.25878725371349964,0.9392265193370166,170,170,0.9392265193370166,4,0.03674694929992322,0.782485703628224,0.027624309392265192
constant_velocity,3,0.7,0.1023242310603323,0.08306728326562518,0.17443510065168033,0.23238791460185296,0.9171270718232044,166,166,0.9171270718232044,4,0.033190406980959375,0.7571881265864382,0.022099447513812154
constant_velocity,4,0.6,0.09213323677912234,0.07399014002442993,0.1640589189764692,0.20642263548300133,0.8453038674033149,153,153,0.8453038674033149,4,0.029703046017280875,0.6825480882620296,0.027624309392265192
constant_velocity,5,0.5,0.081252593494752,0.06606689270663728,0.1415553522158669,0.182527388828537,0.7734806629834254,140,140,0.7734806629834254,4,0.026126757289383316,0.71465655143045,0.027624309392265192
constant_velocity,6,0.4,0.0706457787927576,0.05774624095060714,0.10701114335718134,0.15377245297034203,0.6685082872928176,121,121,0.6685082872928176,4,0.021951006979578726,0.6514126682121996,0.011049723756906077
constant_velocity,7,0.3,0.060104055604572264,0.051324672500839594,0.0826048198289211,0.12849388664184758,0.5469613259668509,99,99,0.5469613259668509,4,0.017993228914042814,0.4247074585685034,0.0055248618784530384
constant_velocity,8,0.2,0.04678490913035551,0.04300197577885948,0.06483608010972179,0.07564484643409873,0.32044198895027626,58,58,0.32044198895027626,4,0.013357429701926396,0.19576430913826312,0.0055248618784530384
constant_velocity,9,0.1,0.029557833606545,0.029620655870517827,0.040321676940778615,0.04297350449058482,0.022099447513812154,4,4,0.022099447513812154,2,0.008017904435877262,0.052541121548324445,0.0
mean_last2_velocity,2,0.8,0.11500357862109632,0.09307438021037719,0.20768639973330322,0.2649889639241434,0.9668508287292817,175,175,0.9668508287292817,4,0.03765616909889897,0.7893330380437836,0.027624309392265192
mean_last2_velocity,3,0.7,0.10559445839176534,0.0853697930797952,0.19173579830758586,0.24330228141353807,0.9226519337016574,167,167,0.9226519337016574,4,0.034557526307947124,0.7682558165422195,0.027624309392265192
mean_last2_velocity,4,0.6,0.09592648094262037,0.0763636718078158,0.16694980873340023,0.22053685664147776,0.8784530386740331,159,159,0.8784530386740331,4,0.03100498059422719,0.7180984576292458,0.027624309392265192
mean_last2_velocity,5,0.5,0.08514981351581563,0.06824443700680222,0.14957783637265512,0.19032805740429007,0.8121546961325967,147,147,0.8121546961325967,4,0.027382845192289482,0.7009375045584287,0.027624309392265192
mean_last2_velocity,6,0.4,0.07427027141128345,0.06039798108163945,0.12129683235496305,0.16058999339443553,0.7071823204419889,128,128,0.7071823204419889,4,0.023383321355295694,0.6251421074380373,0.016574585635359115
mean_last2_velocity,7,0.3,0.06326137831905691,0.05353735902379611,0.08839801613519359,0.13702915793399506,0.5580110497237569,101,101,0.5580110497237569,4,0.01916268751210449,0.5097219121848895,0.011049723756906077
mean_last2_velocity,8,0.2,0.050333383680390135,0.044888479860600586,0.06822262470747417,0.09122147885454449,0.3867403314917127,70,70,0.3867403314917127,4,0.014575314653735677,0.3023060278334766,0.0055248618784530384
mean_last2_velocity,9,0.1,0.0326030603989869,0.0320782522559074,0.04495855465904688,0.04943021769261021,0.03867403314917127,7,7,0.03867403314917127,3,0.008982968936021058,0.06295207420854805,0.0
constant_acceleration,2,0.8,0.1599820005860845,0.1472204297305684,0.2228915047765397,0.2772626769368649,1.0,181,181,1.0,4,0.05490024433698832,0.74923393706529,0.027624309392265192
constant_acceleration,3,0.7,0.11345248052842084,0.09969027203290745,0.18160556368268305,0.2373103765644769,0.994475138121547,180,180,0.994475138121547,4,0.03637608219789535,0.6964130916018394,0.03314917127071823
constant_acceleration,4,0.6,0.09662719348242714,0.08300364745277741,0.15046883854103002,0.1925333627778049,0.9281767955801105,168,168,0.9281767955801105,4,0.03145645070839507,0.511375937020958,0.03314917127071823
constant_acceleration,5,0.5,0.08391451466619311,0.0694019772572858,0.12018959470912216,0.1669395541444044,0.8453038674033149,153,153,0.8453038674033149,4,0.028811243763779793,0.6769047647983824,0.016574585635359115
constant_acceleration,6,0.4,0.06982584530926525,0.06037867264158401,0.09900631669233705,0.1522517986374258,0.6574585635359116,119,119,0.6574585635359116,4,0.022521315762419798,0.5806766796049799,0.0055248618784530384
constant_acceleration,7,0.3,0.06006341036292883,0.05226768933561748,0.08804641391874465,0.10569708308055248,0.5469613259668509,99,99,0.5469613259668509,4,0.01903387874313866,0.30999259338062857,0.0055248618784530384
constant_acceleration,8,0.2,0.04477330784024012,0.04208873046486168,0.06396616437375986,0.07221687639775734,0.281767955801105,51,51,0.281767955801105,4,0.013131648329516542,0.14799080193996153,0.0
constant_acceleration,9,0.1,0.02834872528611829,0.027026012942919574,0.03863452678506164,0.04769705058416389,0.04419889502762431,8,8,0.04419889502762431,3,0.008038216649045289,0.07511429663048512,0.0
linear_fit_3,2,0.8,0.11520939673681665,0.0933753425336283,0.20823718223230397,0.2652696564632717,0.9668508287292817,175,175,0.9668508287292817,4,0.03771023086327316,0.7893735790326326,0.027624309392265192
linear_fit_3,3,0.7,0.10577319570313236,0.08561515229377084,0.19261776973355973,0.2438499467859195,0.9226519337016574,167,167,0.9226519337016574,4,0.03463044318511895,0.7687828493972566,0.027624309392265192
linear_fit_3,4,0.6,0.09616406206265797,0.07674968495878545,0.16713409436192603,0.22019180021588167,0.8784530386740331,159,159,0.8784530386740331,4,0.031086362256154253,0.719910627953554,0.027624309392265192
linear_fit_3,5,0.5,0.08544451494880201,0.06844887307319503,0.15069750666319587,0.19074676286472728,0.8121546961325967,147,147,0.8121546961325967,4,0.027479571779254936,0.6997212748929583,0.027624309392265192
linear_fit_3,6,0.4,0.07461294821412191,0.060818673778245964,0.12178475633098355,0.16069995899444892,0.7071823204419889,128,128,0.7071823204419889,4,0.023518792818326147,0.6229528940401905,0.016574585635359115
