protocol,family,signal,endpoint_estimator,direction,min_stage,saving,unsafe_rate,unsafe_count,unsafe_query_count,unsafe_query_any_rate,unsafe_rollout_count,mean_relative_error,p95_relative_error,p99_relative_error,early_fraction,mean_completed_rounds,threshold_mean
safety_calibrated_loeo,route,prob_mean_hellinger,current,le,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger,current,le,4,0.10276243093922653,0.1878453038674033,34,34,0.1878453038674033,4,0.2013751372960997,1.2794008290735037,1.4847079866641626,0.1878453038674033,8.972375690607734,0.003979103423365125
compute_matched_20,route,prob_mean_hellinger,current,le,4,0.20331491712707184,0.3701657458563536,67,67,0.3701657458563536,4,0.38607794828679554,1.3457893095736597,1.5080671410449462,0.3701657458563536,7.966850828729282,0.004063205513916949
compute_matched_30,route,prob_mean_hellinger,current,le,4,0.30773480662983427,0.5469613259668509,99,99,0.5469613259668509,4,0.5719946078261564,1.397609784195076,1.5080671410449462,0.5469613259668509,6.922651933701657,0.0041668698185418854
safety_calibrated_loeo,route,prob_mean_hellinger,current,le,6,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger,current,le,6,0.1016574585635359,0.2541436464088398,46,46,0.2541436464088398,4,0.15779607513323402,0.7049393845231027,0.8671606581453606,0.2541436464088398,8.98342541436464,0.004270853066246049
compute_matched_20,route,prob_mean_hellinger,current,le,6,0.2033149171270718,0.5082872928176796,92,92,0.5082872928176796,4,0.3411265096699285,0.9021146459551964,1.0318887006162434,0.5082872928176796,7.966850828729282,0.00455846362775107
compute_matched_30,route,prob_mean_hellinger,current,le,6,0.2961325966850828,0.7403314917127072,134,134,0.7403314917127072,4,0.5245186165710073,0.9713172005920175,1.0427058634883024,0.7403314917127072,7.038674033149171,0.00481582189344246
safety_calibrated_loeo,route,prob_mean_hellinger,current,le,8,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger,current,le,8,0.1016574585635359,0.5082872928176796,92,92,0.5082872928176796,4,0.16634593150333427,0.43505068047275836,0.49972493747755803,0.5082872928176796,8.98342541436464,0.006545078861825839
compute_matched_20,route,prob_mean_hellinger,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.00934064109860555
compute_matched_30,route,prob_mean_hellinger,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.00934064109860555
safety_calibrated_loeo,route,prob_mean_hellinger,current,ge,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger,current,ge,4,0.1005524861878453,0.9392265193370166,170,170,0.9392265193370166,4,0.1821685994343135,0.41564514936592756,0.5088069916444976,0.9392265193370166,8.994475138121548,0.0076791816876733456
compute_matched_20,route,prob_mean_hellinger,current,ge,4,0.19999999999999998,1.0,181,181,1.0,4,0.3671222611101803,0.6589920815581651,0.7330082774850235,1.0,8.0,0.006048102358046268
compute_matched_30,route,prob_mean_hellinger,current,ge,4,0.30276243093922645,1.0,181,181,1.0,4,0.5465314830105784,0.7758415273559853,0.91083426615148,1.0,6.972375690607735,0.005187666169791772
safety_calibrated_loeo,route,prob_mean_hellinger,current,ge,6,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger,current,ge,6,0.1005524861878453,0.9392265193370166,170,170,0.9392265193370166,4,0.1821685994343135,0.41564514936592756,0.5088069916444976,0.9392265193370166,8.994475138121548,0.0076791816876733456
compute_matched_20,route,prob_mean_hellinger,current,ge,6,0.19999999999999998,1.0,181,181,1.0,4,0.3671222611101803,0.6589920815581651,0.7330082774850235,1.0,8.0,0.006048102358046268
compute_matched_30,route,prob_mean_hellinger,current,ge,6,0.30276243093922645,1.0,181,181,1.0,4,0.5465314830105784,0.7758415273559853,0.91083426615148,1.0,6.972375690607735,0.005187666169791772
safety_calibrated_loeo,route,prob_mean_hellinger,current,ge,8,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger,current,ge,8,0.1005524861878453,0.9392265193370166,170,170,0.9392265193370166,4,0.1821685994343135,0.41564514936592756,0.5088069916444976,0.9392265193370166,8.994475138121548,0.0076791816876733456
compute_matched_20,route,prob_mean_hellinger,current,ge,8,0.19889502762430936,1.0,181,181,1.0,4,0.35758719373635706,0.49961007103877547,0.5565544998489645,1.0,8.011049723756907,0.00541684983804192
compute_matched_30,route,prob_mean_hellinger,current,ge,8,0.19889502762430936,1.0,181,181,1.0,4,0.35758719373635706,0.49961007103877547,0.5565544998489645,1.0,8.011049723756907,0.00541684983804192
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,le,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,le,4,0.10386740331491713,0.20994475138121546,38,38,0.20994475138121546,4,0.20020588157510721,1.1230683062597069,1.252458650804706,0.20994475138121546,8.96132596685083,0.004138479105347931
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,le,4,0.20110497237569064,0.40331491712707185,73,73,0.40331491712707185,4,0.38268422301986227,1.2141046196313001,1.2863401291370415,0.40331491712707185,7.988950276243094,0.004247175339670314
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,le,4,0.29226519337016577,0.574585635359116,104,104,0.574585635359116,4,0.5262687391563695,1.2141046196313001,1.2863401291370415,0.574585635359116,7.077348066298343,0.004378174118516734
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,le,6,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,le,6,0.09944751381215469,0.24861878453038674,45,45,0.24861878453038674,4,0.16482788682876776,0.7935316289400304,0.8907229118041179,0.24861878453038674,9.005524861878452,0.0043374088372725005
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,le,6,0.2033149171270718,0.5082872928176796,92,92,0.5082872928176796,4,0.34708709924410885,0.9308680081801274,1.0318887006162434,0.5082872928176796,7.966850828729282,0.0045736113397719155
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,le,6,0.2961325966850828,0.7403314917127072,134,134,0.7403314917127072,4,0.5246890809427205,0.9713172005920175,1.0427058634883024,0.7403314917127072,7.038674033149171,0.004820560625011174
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,le,8,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,le,8,0.10386740331491712,0.5193370165745856,94,94,0.5193370165745856,4,0.17024967836390972,0.43505068047275836,0.49972493747755803,0.5193370165745856,8.96132596685083,0.006539490931844216
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.009297331875745865
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.009297331875745865
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,ge,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,ge,4,0.1016574585635359,0.9447513812154696,171,171,0.9447513812154696,4,0.18436473870586778,0.4242825201750584,0.5088069916444976,0.9447513812154696,8.98342541436464,0.00763936811352579
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,ge,4,0.19999999999999998,1.0,181,181,1.0,4,0.3671222611101803,0.6589920815581651,0.7330082774850235,1.0,8.0,0.006050316511137564
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,ge,4,0.3016574585635359,1.0,181,181,1.0,4,0.5462409360859507,0.8971803631779336,1.0858082810382481,1.0,6.983425414364641,0.005276483575922326
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,ge,6,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,ge,6,0.1016574585635359,0.9447513812154696,171,171,0.9447513812154696,4,0.18436473870586778,0.4242825201750584,0.5088069916444976,0.9447513812154696,8.98342541436464,0.00763936811352579
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,ge,6,0.19999999999999998,1.0,181,181,1.0,4,0.3671222611101803,0.6589920815581651,0.7330082774850235,1.0,8.0,0.006050316511137564
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,ge,6,0.3,1.0,181,181,1.0,4,0.5418401426885946,0.7730095668808429,0.87537811200947,1.0,7.0,0.005195241158740817
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_max,current,ge,8,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
compute_matched_10,route,prob_mean_hellinger__two_round_max,current,ge,8,0.1016574585635359,0.9447513812154696,171,171,0.9447513812154696,4,0.18436473870586778,0.4242825201750584,0.5088069916444976,0.9447513812154696,8.98342541436464,0.00763936811352579
compute_matched_20,route,prob_mean_hellinger__two_round_max,current,ge,8,0.19889502762430936,1.0,181,181,1.0,4,0.35758719373635706,0.49961007103877547,0.5565544998489645,1.0,8.011049723756907,0.005413723892945689
compute_matched_30,route,prob_mean_hellinger__two_round_max,current,ge,8,0.19889502762430936,1.0,181,181,1.0,4,0.35758719373635706,0.49961007103877547,0.5565544998489645,1.0,8.011049723756907,0.005413723892945689
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_mean,current,le,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_mean,current,le,4,0.1016574585635359,0.20441988950276244,37,37,0.20441988950276244,4,0.2024281554586695,1.1458084740764936,1.2728021024255234,0.20441988950276244,8.98342541436464,0.004063227529460035
compute_matched_20,route,prob_mean_hellinger__two_round_mean,current,le,4,0.19226519337016573,0.3812154696132597,69,69,0.3812154696132597,4,0.3690039334803082,1.2141046196313001,1.3111842119703532,0.3812154696132597,8.077348066298342,0.004165786089724536
compute_matched_30,route,prob_mean_hellinger__two_round_mean,current,le,4,0.2933701657458564,0.56353591160221,102,102,0.56353591160221,4,0.5386751957513524,1.2775276710391015,1.407378742864621,0.56353591160221,7.066298342541437,0.004277262461200261
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_mean,current,le,6,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_mean,current,le,6,0.10386740331491714,0.2596685082872928,47,47,0.2596685082872928,4,0.17385212998075847,0.8560322554720612,0.9659795197044918,0.2596685082872928,8.96132596685083,0.004235272474731389
compute_matched_20,route,prob_mean_hellinger__two_round_mean,current,le,6,0.19668508287292819,0.49171270718232046,89,89,0.49171270718232046,4,0.35128849994214245,0.9547602232228845,1.0427058634883024,0.49171270718232046,8.033149171270718,0.004372574446790224
compute_matched_30,route,prob_mean_hellinger__two_round_mean,current,le,6,0.29171270718232034,0.7292817679558011,132,132,0.7292817679558011,4,0.5253636843723734,0.9759871685990748,1.0427058634883024,0.7292817679558011,7.082872928176796,0.004569060500840905
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_mean,current,le,8,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,-inf
compute_matched_10,route,prob_mean_hellinger__two_round_mean,current,le,8,0.10276243093922649,0.5138121546961326,93,93,0.5138121546961326,4,0.1716078481519659,0.4499401347585127,0.5116761409511924,0.5138121546961326,8.972375690607734,0.006091071094682898
compute_matched_20,route,prob_mean_hellinger__two_round_mean,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.00821135384310542
compute_matched_30,route,prob_mean_hellinger__two_round_mean,current,le,8,0.19889502762430936,0.994475138121547,180,180,0.994475138121547,4,0.35672664255556097,0.49961007103877547,0.5565544998489645,0.994475138121547,8.011049723756907,0.00821135384310542
safety_calibrated_loeo,route,prob_mean_hellinger__two_round_mean,current,ge,4,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,10.0,inf
