episode_row,query,eligible,already_complete,progress,success_h5,goal_advance_h5,grasp_lift_h5,first_event_chunks,stage,goal_fraction,grasp_fraction,lift_fraction,reach_fraction,unfinished_grasp_lift_fraction,min_target_distance,max_target_lift,suite,task,split,success,source_run,episode,moe,moe_unseen_task
817,26,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.24994648,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,17,,
825,29,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.22754529,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,25,,
844,29,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23047498,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,44,,
845,28,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23439802,0.0013164878,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,45,,
846,28,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.2234536,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,46,,
870,9,True,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.27279603,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,70,0.007364015226756425,
875,29,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23727232,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,75,,
932,24,True,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23366377,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,132,0.03269417404184699,
935,25,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23184596,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,135,,
940,29,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.22850631,2.3841858e-07,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,140,,
947,23,True,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.22437072,0.00019001961,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,train,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,147,0.00676552092429344,
1120,26,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.18731606,0.018874228,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,test_unseen_init,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,320,,
1123,26,False,False,False,False,False,False,,0:0:0:0,0.0,0.0,0.0,0.0,0.0,0.23141387,0.012919486,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,test_unseen_init,False,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,323,,
