split,suite,model,rows,brier,log_loss,auroc,ece10,positives,positive_rate
test_unseen_init,all,prior,55389,0.2211687317913441,0.6343274315583143,0.5,0.005846615643969599,37105,0.6698983552690968
test_unseen_init,all,task_clock,55389,0.11659590431448345,0.37658727115564883,0.8946194158134612,0.020537033232652577,37105,0.6698983552690968
test_unseen_init,all,moe,55389,0.13489489729072707,0.4205157321000867,0.866255715309552,0.012936455520129245,37105,0.6698983552690968
test_unseen_init,all,physical,55389,0.12030390072826075,0.382430064254671,0.8813332625422111,0.007814803970868549,37105,0.6698983552690968
test_unseen_init,all,physical_moe,55389,0.07619254131737214,0.256951122533535,0.9502919264130412,0.008549360982118346,37105,0.6698983552690968
test_unseen_init,all,physical_task_clock,55389,0.07439177034571257,0.2546307236745473,0.9491281460126444,0.011604117206217783,37105,0.6698983552690968
test_unseen_init,all,physical_task_clock_moe,55389,0.06592484863971686,0.22570097098564107,0.9607105019661488,0.008308162125350701,37105,0.6698983552690968
test_unseen_init,all,prior_unseen_task,55389,0.22306054145160453,0.6386335313275695,0.43145943661331576,0.003689783826533622,37105,0.6698983552690968
test_unseen_init,all,moe_unseen_task,55389,0.1973936506777955,0.6034777174057242,0.7352801923718282,0.09463644577587754,37105,0.6698983552690968
test_unseen_init,all,physical_unseen_task,55389,0.1989812813376645,0.6482759345303176,0.7468126911422942,0.10849576275935396,37105,0.6698983552690968
test_unseen_init,all,physical_moe_unseen_task,55389,0.1482337218788178,0.4974239682543421,0.8541821781423999,0.07587287120260029,37105,0.6698983552690968
test_unseen_init,all,task_clock_raw,55389,0.12149522827585438,0.3954307609393748,0.8946194158134612,0.06824298690689623,37105,0.6698983552690968
test_unseen_init,all,moe_raw,55389,0.13693936168939666,0.42945432307018694,0.866255715309552,0.04223190753483378,37105,0.6698983552690968
test_unseen_init,all,physical_raw,55389,0.12165862393133918,0.38821296567318825,0.8813332625422111,0.029064145232970302,37105,0.6698983552690968
test_unseen_init,all,physical_moe_raw,55389,0.07923889610528106,0.2731547510742162,0.9502919264130412,0.047791893102858245,37105,0.6698983552690968
test_unseen_init,all,physical_task_clock_raw,55389,0.07743271332441559,0.27028231740194264,0.9491281460126444,0.0471450331904953,37105,0.6698983552690968
test_unseen_init,all,physical_task_clock_moe_raw,55389,0.06874269777182711,0.24313971567105677,0.9607105019661488,0.04705877596293428,37105,0.6698983552690968
test_unseen_init,all,moe_unseen_task_raw,55389,0.18951940582284452,0.5642752808118583,0.7324567129337355,0.04611349075954893,37105,0.6698983552690968
test_unseen_init,all,physical_unseen_task_raw,55389,0.19252398661267447,0.5966737782153153,0.7460488913912757,0.08488550650989617,37105,0.6698983552690968
test_unseen_init,all,physical_moe_unseen_task_raw,55389,0.14254518124092583,0.4495603748611224,0.8539541686247477,0.03288225483614702,37105,0.6698983552690968
test_unseen_init,libero_goal,prior,6807,0.1763900107389335,0.541331311122944,0.5,0.1423240500031966,5489,0.8063757896283238
test_unseen_init,libero_goal,task_clock,6807,0.07589590224866667,0.2606113146714989,0.9234628727727217,0.03872659593447869,5489,0.8063757896283238
test_unseen_init,libero_goal,moe,6807,0.08745865307703084,0.30654430533409,0.8687949080669269,0.03345220957788271,5489,0.8063757896283238
test_unseen_init,libero_goal,physical,6807,0.09351631777906616,0.3073543773834679,0.8673110464272455,0.046352109251610936,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_moe,6807,0.062362061043956626,0.21903620502811572,0.9341980968420495,0.013961859406944579,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_task_clock,6807,0.0608846874428548,0.21540897223161956,0.9359817717929997,0.01760854441685532,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_task_clock_moe,6807,0.05932819152767673,0.20732831747314567,0.9444780718838698,0.011465041933361715,5489,0.8063757896283238
test_unseen_init,libero_goal,prior_unseen_task,6807,0.1753926601430549,0.5389655023406066,0.543267179966223,0.14304509420610356,5489,0.8063757896283238
test_unseen_init,libero_goal,moe_unseen_task,6807,0.1992967154571439,0.6519382871315631,0.4474105474018806,0.1681689965949509,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_unseen_task,6807,0.13564390422170702,0.4353229352553363,0.785635141161064,0.09996139297531899,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_moe_unseen_task,6807,0.11723721732247962,0.37622175655958684,0.8331890018138083,0.09422497799036662,5489,0.8063757896283238
test_unseen_init,libero_goal,task_clock_raw,6807,0.08324254401706845,0.2940536916538375,0.9234628727727217,0.08688048968373628,5489,0.8063757896283238
test_unseen_init,libero_goal,moe_raw,6807,0.09450500434755867,0.33307480641511555,0.8687949080669269,0.08518907415370694,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_raw,6807,0.09195831213586776,0.3100640863438671,0.8673110464272455,0.06406505456023459,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_moe_raw,6807,0.06443363368024632,0.23348372155910696,0.9341980968420495,0.04765215937509795,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_task_clock_raw,6807,0.0634188754271169,0.2340607940208362,0.9359817717929997,0.055899348839506084,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_task_clock_moe_raw,6807,0.06136339285520706,0.2242620211466351,0.9444780718838698,0.04894402786448283,5489,0.8063757896283238
test_unseen_init,libero_goal,moe_unseen_task_raw,6807,0.18813564032989052,0.5845455791850996,0.44104093135920064,0.14549690665827186,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_unseen_task_raw,6807,0.12778685989242544,0.40761006541724987,0.7838817378169223,0.08452729046454102,5489,0.8063757896283238
test_unseen_init,libero_goal,physical_moe_unseen_task_raw,6807,0.11200367358503258,0.3610702530338382,0.831012763559952,0.0845999715588055,5489,0.8063757896283238
test_unseen_init,libero_long,prior,31128,0.25279639782669755,0.7000115371019019,0.5,0.09054878408670519,17852,0.573502955538422
test_unseen_init,libero_long,task_clock,31128,0.1427115845442147,0.4475606502226509,0.8682151345396453,0.03318689929460528,17852,0.573502955538422
test_unseen_init,libero_long,moe,31128,0.16653572509273104,0.5057577809451655,0.8236745686825295,0.022433539152032358,17852,0.573502955538422
test_unseen_init,libero_long,physical,31128,0.1239561901332667,0.3876397501939885,0.8991977224842984,0.012869450273836614,17852,0.573502955538422
test_unseen_init,libero_long,physical_moe,31128,0.08130237150965554,0.2724710084491902,0.9516546619599389,0.011803023361507603,17852,0.573502955538422
test_unseen_init,libero_long,physical_task_clock,31128,0.08567772111952583,0.28726249146699334,0.9448000653594684,0.0163260450090197,17852,0.573502955538422
test_unseen_init,libero_long,physical_task_clock_moe,31128,0.07408056511656946,0.24961707304400682,0.958792132435437,0.01004445630753294,17852,0.573502955538422
test_unseen_init,libero_long,prior_unseen_task,31128,0.2560043421711929,0.7073804126395179,0.4246529409026594,0.09409438649358015,17852,0.573502955538422
test_unseen_init,libero_long,moe_unseen_task,31128,0.23737128195606866,0.7061165635084635,0.6810961400209563,0.11987217712370367,17852,0.573502955538422
