split,model,bin,low,high,rows,weight,predicted,observed
test_unseen_init,prior,6,0.6,0.7,55389,55389.0,0.6640517396251272,0.6698983552690968
test_unseen_init,task_clock,0,0.0,0.1,4443,4443.0,0.06159170180531067,0.04321404456448346
test_unseen_init,task_clock,1,0.1,0.2,2828,2828.0,0.1498008278784757,0.14603960396039603
test_unseen_init,task_clock,2,0.2,0.3,4468,4468.0,0.25661136153431485,0.2701432408236347
test_unseen_init,task_clock,3,0.3,0.4,2621,2621.0,0.34258810345776297,0.27127050743990844
test_unseen_init,task_clock,4,0.4,0.5,1700,1700.0,0.43244167085990326,0.42058823529411765
test_unseen_init,task_clock,5,0.5,0.6,882,882.0,0.5445606646809267,0.31519274376417233
test_unseen_init,task_clock,6,0.6,0.7,4153,4153.0,0.6494974184103761,0.6872140621237659
test_unseen_init,task_clock,7,0.7,0.8,3955,3955.0,0.7554032108461486,0.7236409608091025
test_unseen_init,task_clock,8,0.8,0.9,8990,8990.0,0.8564727909770812,0.8407119021134594
test_unseen_init,task_clock,9,0.9,1.0,21349,21349.0,0.9444726896949743,0.9515668181179446
test_unseen_init,moe,0,0.0,0.1,3161,3161.0,0.04544620883226859,0.05536222714330908
test_unseen_init,moe,1,0.1,0.2,3228,3228.0,0.15100365131983015,0.16171003717472118
test_unseen_init,moe,2,0.2,0.3,3332,3332.0,0.2505274402976511,0.265906362545018
test_unseen_init,moe,3,0.3,0.4,3058,3058.0,0.34796358463264615,0.33976455199476785
test_unseen_init,moe,4,0.4,0.5,2761,2761.0,0.4503206617326715,0.469757334299167
test_unseen_init,moe,5,0.5,0.6,2831,2831.0,0.552467107929572,0.5609325326739668
test_unseen_init,moe,6,0.6,0.7,3657,3657.0,0.6524971308004897,0.6272901285206454
test_unseen_init,moe,7,0.7,0.8,5317,5317.0,0.7534379794646373,0.7190144818506676
test_unseen_init,moe,8,0.8,0.9,9917,9917.0,0.8578065180681401,0.841181809014823
test_unseen_init,moe,9,0.9,1.0,18127,18127.0,0.9486185316052685,0.9454956694433717
test_unseen_init,physical,0,0.0,0.1,5870,5870.0,0.029151499838393897,0.022487223168654175
test_unseen_init,physical,1,0.1,0.2,2677,2677.0,0.1515981374249813,0.16398954053044454
test_unseen_init,physical,2,0.2,0.3,1961,1961.0,0.23951338457784435,0.21162672106068334
test_unseen_init,physical,3,0.3,0.4,1609,1609.0,0.34705999687370587,0.3256681168427595
test_unseen_init,physical,4,0.4,0.5,1966,1966.0,0.4568391053280332,0.491353001017294
test_unseen_init,physical,5,0.5,0.6,2679,2679.0,0.55963708994589,0.5651362448674878
test_unseen_init,physical,6,0.6,0.7,3834,3834.0,0.6518778689527509,0.6645800730307773
test_unseen_init,physical,7,0.7,0.8,7009,7009.0,0.7537005544021518,0.7585960907404765
test_unseen_init,physical,8,0.8,0.9,12723,12723.0,0.8609331117689869,0.859938693704315
test_unseen_init,physical,9,0.9,1.0,15061,15061.0,0.9562582965422918,0.9500697164862891
test_unseen_init,physical_moe,0,0.0,0.1,9555,9555.0,0.032523502395225924,0.0250130821559393
test_unseen_init,physical_moe,1,0.1,0.2,2754,2754.0,0.1442589711282603,0.11837327523602033
test_unseen_init,physical_moe,2,0.2,0.3,1770,1770.0,0.24812620070285754,0.25310734463276835
test_unseen_init,physical_moe,3,0.3,0.4,1599,1599.0,0.3480168434085787,0.3389618511569731
test_unseen_init,physical_moe,4,0.4,0.5,1313,1313.0,0.4495005593774279,0.44021325209444023
test_unseen_init,physical_moe,5,0.5,0.6,1418,1418.0,0.5512001196196757,0.581805359661495
test_unseen_init,physical_moe,6,0.6,0.7,1756,1756.0,0.6504455331162557,0.6896355353075171
test_unseen_init,physical_moe,7,0.7,0.8,2418,2418.0,0.7529003320649468,0.7555831265508685
test_unseen_init,physical_moe,8,0.8,0.9,4611,4611.0,0.8593137489890222,0.8449360225547603
test_unseen_init,physical_moe,9,0.9,1.0,28195,28195.0,0.9690725633571067,0.9651711296329136
test_unseen_init,physical_task_clock,0,0.0,0.1,10441,10441.0,0.032211008045216566,0.02844555119241452
test_unseen_init,physical_task_clock,1,0.1,0.2,2384,2384.0,0.14640268037551668,0.12206375838926174
test_unseen_init,physical_task_clock,2,0.2,0.3,1501,1501.0,0.23807155191615148,0.20519653564290474
test_unseen_init,physical_task_clock,3,0.3,0.4,900,900.0,0.3541817817984035,0.27666666666666667
test_unseen_init,physical_task_clock,4,0.4,0.5,1084,1084.0,0.448192313917496,0.45202952029520294
test_unseen_init,physical_task_clock,5,0.5,0.6,1687,1687.0,0.5510766176181483,0.6111440426793124
test_unseen_init,physical_task_clock,6,0.6,0.7,1524,1524.0,0.6581191126887853,0.6988188976377953
test_unseen_init,physical_task_clock,7,0.7,0.8,2927,2927.0,0.7468130358509781,0.762555517594807
test_unseen_init,physical_task_clock,8,0.8,0.9,4978,4978.0,0.8580725244741005,0.8443149859381278
test_unseen_init,physical_task_clock,9,0.9,1.0,27963,27963.0,0.9685373278591347,0.9633801809534027
test_unseen_init,physical_task_clock_moe,0,0.0,0.1,11196,11196.0,0.029635045316605754,0.01973919256877456
test_unseen_init,physical_task_clock_moe,1,0.1,0.2,2232,2232.0,0.14530736340916645,0.14381720430107528
test_unseen_init,physical_task_clock_moe,2,0.2,0.3,1328,1328.0,0.24883228820928635,0.2620481927710843
test_unseen_init,physical_task_clock_moe,3,0.3,0.4,1089,1089.0,0.35026550593700667,0.34251606978879706
test_unseen_init,physical_task_clock_moe,4,0.4,0.5,1177,1177.0,0.45078834062115036,0.42735768903993204
test_unseen_init,physical_task_clock_moe,5,0.5,0.6,1184,1184.0,0.5495479745068056,0.5396959459459459
test_unseen_init,physical_task_clock_moe,6,0.6,0.7,1379,1379.0,0.6524003613894289,0.6831036983321247
test_unseen_init,physical_task_clock_moe,7,0.7,0.8,1957,1957.0,0.7514229816313455,0.776188042922841
test_unseen_init,physical_task_clock_moe,8,0.8,0.9,4024,4024.0,0.8589364733075244,0.8399602385685885
test_unseen_init,physical_task_clock_moe,9,0.9,1.0,29823,29823.0,0.9714871997564142,0.9676759547999866
test_unseen_init,prior_unseen_task,6,0.6,0.7,55389,55389.0,0.6662085714425632,0.6698983552690968
test_unseen_init,moe_unseen_task,0,0.0,0.1,2932,2932.0,0.0422173788995478,0.2421555252387449
test_unseen_init,moe_unseen_task,1,0.1,0.2,2474,2474.0,0.15082955128096176,0.3520614389652385
test_unseen_init,moe_unseen_task,2,0.2,0.3,2842,2842.0,0.25207319687516344,0.41625615763546797
test_unseen_init,moe_unseen_task,3,0.3,0.4,2990,2990.0,0.34982418317635655,0.45652173913043476
test_unseen_init,moe_unseen_task,4,0.4,0.5,3082,3082.0,0.44977642750945795,0.5249837767683323
test_unseen_init,moe_unseen_task,5,0.5,0.6,3442,3442.0,0.5517172237984063,0.5697269029633933
test_unseen_init,moe_unseen_task,6,0.6,0.7,4135,4135.0,0.6530043970553212,0.6275695284159613
test_unseen_init,moe_unseen_task,7,0.7,0.8,5436,5436.0,0.7526741600066412,0.7008830022075055
test_unseen_init,moe_unseen_task,8,0.8,0.9,10040,10040.0,0.8564536984457266,0.7722111553784861
test_unseen_init,moe_unseen_task,9,0.9,1.0,18016,18016.0,0.9483145359115502,0.8458592362344582
test_unseen_init,physical_unseen_task,0,0.0,0.1,6665,6665.0,0.04243626722765123,0.3032258064516129
test_unseen_init,physical_unseen_task,1,0.1,0.2,2662,2662.0,0.1449576896790896,0.4184823441021788
test_unseen_init,physical_unseen_task,2,0.2,0.3,1656,1656.0,0.25586833166396994,0.42934782608695654
test_unseen_init,physical_unseen_task,3,0.3,0.4,1634,1634.0,0.347366913376587,0.42105263157894735
test_unseen_init,physical_unseen_task,4,0.4,0.5,1443,1443.0,0.44760525137207263,0.4407484407484408
test_unseen_init,physical_unseen_task,5,0.5,0.6,2094,2094.0,0.5486973355717137,0.5420248328557784
test_unseen_init,physical_unseen_task,6,0.6,0.7,5028,5028.0,0.6545750478989477,0.5658313444709626
test_unseen_init,physical_unseen_task,7,0.7,0.8,5638,5638.0,0.7445182362958795,0.7465413267115999
test_unseen_init,physical_unseen_task,8,0.8,0.9,9507,9507.0,0.8596995188602464,0.8011991164405176
test_unseen_init,physical_unseen_task,9,0.9,1.0,19062,19062.0,0.9561883820872727,0.8461336690798447
test_unseen_init,physical_moe_unseen_task,0,0.0,0.1,8246,8246.0,0.03668500638238461,0.17087072520009702
test_unseen_init,physical_moe_unseen_task,1,0.1,0.2,3135,3135.0,0.14593750320324358,0.3486443381180223
test_unseen_init,physical_moe_unseen_task,2,0.2,0.3,2272,2272.0,0.24830630396357048,0.3714788732394366
test_unseen_init,physical_moe_unseen_task,3,0.3,0.4,1818,1818.0,0.3501737515661233,0.3756875687568757
test_unseen_init,physical_moe_unseen_task,4,0.4,0.5,2020,2020.0,0.45153886411469296,0.5004950495049505
test_unseen_init,physical_moe_unseen_task,5,0.5,0.6,2124,2124.0,0.5506948928795965,0.5649717514124294
test_unseen_init,physical_moe_unseen_task,6,0.6,0.7,2200,2200.0,0.6502023092682092,0.6331818181818182
test_unseen_init,physical_moe_unseen_task,7,0.7,0.8,2907,2907.0,0.7524269639099656,0.7189542483660131
test_unseen_init,physical_moe_unseen_task,8,0.8,0.9,4432,4432.0,0.8558923739832937,0.7678249097472925
test_unseen_init,physical_moe_unseen_task,9,0.9,1.0,26235,26235.0,0.9704222638910707,0.9140080045740423
test_unseen_init,task_clock_raw,0,0.0,0.1,1071,1071.0,0.08799192696995485,0.055088702147525676
test_unseen_init,task_clock_raw,1,0.1,0.2,3372,3372.0,0.16306932322859108,0.03944246737841044
test_unseen_init,task_clock_raw,2,0.2,0.3,2654,2654.0,0.25109676290804933,0.15523737754333083
test_unseen_init,task_clock_raw,3,0.3,0.4,5485,5485.0,0.35694229265446603,0.2643573381950775
test_unseen_init,task_clock_raw,4,0.4,0.5,3162,3162.0,0.45218679899403247,0.32479443390259327
test_unseen_init,task_clock_raw,5,0.5,0.6,1358,1358.0,0.5566161409119555,0.3954344624447717
test_unseen_init,task_clock_raw,6,0.6,0.7,5518,5518.0,0.6491513910731129,0.6893802102210946
test_unseen_init,task_clock_raw,7,0.7,0.8,7465,7465.0,0.7612109290792397,0.7904889484259879
test_unseen_init,task_clock_raw,8,0.8,0.9,17225,17225.0,0.8553910983975817,0.9252830188679245
test_unseen_init,task_clock_raw,9,0.9,1.0,8079,8079.0,0.9338492808830952,0.9709122416140612
test_unseen_init,moe_raw,0,0.0,0.1,1305,1305.0,0.04121973346749659,0.01992337164750958
test_unseen_init,moe_raw,1,0.1,0.2,2028,2028.0,0.1559981261696718,0.08284023668639054
test_unseen_init,moe_raw,2,0.2,0.3,3103,3103.0,0.2532358264062776,0.1650016113438608
test_unseen_init,moe_raw,3,0.3,0.4,4025,4025.0,0.3523059540027478,0.2720496894409938
test_unseen_init,moe_raw,4,0.4,0.5,3868,3868.0,0.4498656973222353,0.38831437435367117
test_unseen_init,moe_raw,5,0.5,0.6,3982,3982.0,0.5516933909112898,0.5429432446007032
test_unseen_init,moe_raw,6,0.6,0.7,5398,5398.0,0.6533240000040996,0.6415339014449796
test_unseen_init,moe_raw,7,0.7,0.8,8091,8091.0,0.7541771941331483,0.7764182424916574
test_unseen_init,moe_raw,8,0.8,0.9,14085,14085.0,0.8522111336180179,0.8979055733049344
test_unseen_init,moe_raw,9,0.9,1.0,9504,9504.0,0.9303367126401741,0.9730639730639731
test_unseen_init,physical_raw,0,0.0,0.1,4878,4878.0,0.049986499272034975,0.014555145551455515
test_unseen_init,physical_raw,1,0.1,0.2,1385,1385.0,0.1524508860732629,0.061371841155234655
test_unseen_init,physical_raw,2,0.2,0.3,2874,2874.0,0.2507943061657779,0.1826722338204593
test_unseen_init,physical_raw,3,0.3,0.4,1754,1754.0,0.3463462213860468,0.2508551881413911
test_unseen_init,physical_raw,4,0.4,0.5,1894,1894.0,0.44633233186987753,0.35744456177402323
test_unseen_init,physical_raw,5,0.5,0.6,2914,2914.0,0.5505979314266465,0.529512697323267
test_unseen_init,physical_raw,6,0.6,0.7,4967,4967.0,0.6503115010060337,0.6551238171934769
test_unseen_init,physical_raw,7,0.7,0.8,8505,8505.0,0.7503748528669812,0.7727219282774839
test_unseen_init,physical_raw,8,0.8,0.9,14223,14223.0,0.8494474381035745,0.8759052239330661
test_unseen_init,physical_raw,9,0.9,1.0,11995,11995.0,0.9464350426047559,0.957065443934973
test_unseen_init,physical_moe_raw,0,0.0,0.1,5873,5873.0,0.05208606748039226,0.008002724331687383
test_unseen_init,physical_moe_raw,1,0.1,0.2,3708,3708.0,0.1469433782543362,0.052588996763754045
