task,model,pairs,matched_auroc
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,prior,27859,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,task_clock,27859,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,moe,27859,0.6133744929825191
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical,27859,0.8361211816648121
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical_moe,27859,0.8475896478696292
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical_task_clock,27859,0.8374134032090168
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical_task_clock_moe,27859,0.8420079686995225
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,prior_unseen_task,27859,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,moe_unseen_task,27859,0.4019167952905704
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical_unseen_task,27859,0.6396317168599016
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,physical_moe_unseen_task,27859,0.644639075343695
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,prior,33536,0.5
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,task_clock,33536,0.5
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,moe,33536,0.5984762643129771
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical,33536,0.8529639790076335
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical_moe,33536,0.8377266221374046
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical_task_clock,33536,0.8421397900763359
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical_task_clock_moe,33536,0.8516519561068703
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,prior_unseen_task,33536,0.5
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,moe_unseen_task,33536,0.4507544131679389
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical_unseen_task,33536,0.4877296040076336
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,physical_moe_unseen_task,33536,0.48561247614503816
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,prior,70356,0.5
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,task_clock,70356,0.5
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,moe,70356,0.773587185172551
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical,70356,0.8632454943430553
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical_moe,70356,0.8945505713798396
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical_task_clock,70356,0.8480371254761498
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical_task_clock_moe,70356,0.8827463187219284
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,prior_unseen_task,70356,0.5
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,moe_unseen_task,70356,0.7031098982318494
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical_unseen_task,70356,0.5099422934788789
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,physical_moe_unseen_task,70356,0.6439180737961225
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,prior,131317,0.5
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,task_clock,131317,0.5
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,moe,131317,0.7714119268640008
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical,131317,0.8585141299298644
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical_moe,131317,0.8759185787064889
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical_task_clock,131317,0.8639132785549472
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical_task_clock_moe,131317,0.8789532200705164
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,prior_unseen_task,131317,0.5
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,moe_unseen_task,131317,0.6907293038982005
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical_unseen_task,131317,0.6944950006472886
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,physical_moe_unseen_task,131317,0.7675929239930854
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,prior,58010,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,task_clock,58010,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,moe,58010,0.8407688329598345
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical,58010,0.7852525426650577
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical_moe,58010,0.919238062403034
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical_task_clock,58010,0.8020255128426134
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical_task_clock_moe,58010,0.9007067746940183
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,prior_unseen_task,58010,0.5
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,moe_unseen_task,58010,0.8037234959489743
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical_unseen_task,58010,0.6940182727116014
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,physical_moe_unseen_task,58010,0.9030425788657128
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,prior,80042,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,task_clock,80042,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,moe,80042,0.829120961495215
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical,80042,0.7852502436220984
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical_moe,80042,0.9257639739136954
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical_task_clock,80042,0.8482421728592489
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical_task_clock_moe,80042,0.926376152519927
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,prior_unseen_task,80042,0.5
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,moe_unseen_task,80042,0.7541665625546589
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical_unseen_task,80042,0.7514929661927489
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,physical_moe_unseen_task,80042,0.8959233902201345
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,prior,36846,0.5
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,task_clock,36846,0.5
