split,raw_queries,eligible_queries,eligible_episodes,positives,positive_rate,success_h5,goal_advance_h5,grasp_lift_h5,progress_without_success_h5,excluded_warmup,excluded_tail_after_warmup,already_complete
all,508023,278174,31722,185301,0.6661334272793288,127312,26735,37847,57989,224000,5559,290
train,152617,83495,9515,55445,0.6640517396251272,38083,7975,11312,17362,67200,1827,95
calibration,50449,27632,3163,18691,0.6764258830341633,12857,2693,3850,5834,22400,389,28
test_unseen_init,101237,55389,6367,37105,0.6698983552690968,25549,5377,7482,11556,44800,993,55
test_new_noise_seen_init,203720,111658,12677,74060,0.6632753586845547,50823,10690,15203,23237,89600,2350,112
