cohort,window,layer_group,target,prior_band,suite,lift,ci_low,ci_high,mh_lift,n_cells,target_episode_weight
development_main,3,all,loop,low,libero_goal,8.283009755495684,2.1547636269663872,87.07358353638361,3.217505039262895,14,1008.0
development_main,3,all,loop,low,libero_long,0.5472462915518429,0.3883888636466796,2.0693934403929006,0.5640402440989541,22,1914.0
development_main,3,all,loop,low,libero_object,2.8928037580402224,2.0779799427817616,6.017688163605889,1.379340475050149,14,406.0
development_main,3,all,loop,low,libero_spatial,1.1873435566814505,0.956188379361251,1.4937016726070316,1.0856680045469047,10,680.0
development_main,3,all,loop,high,libero_goal,5.484027777777778,0.7916431704260651,10.661336049170954,6.531272267400004,4,288.0
development_main,3,all,loop,high,libero_long,2.010871463065951,0.5562481645100678,3.9449369245785264,0.9709622102819616,18,1566.0
development_main,3,all,loop,high,libero_object,1.837712096332786,0.8559270506279435,5.026632699275359,1.3704155956598842,6,174.0
development_main,3,all,loop,high,libero_spatial,2.129723707664884,0.7622324944358844,3.6780645161290324,2.3442002442002443,2,136.0
development_main,3,all,static,low,libero_goal,2.311993310887673,0.0,89.63110806460158,1.2181029389458076,14,294.0
development_main,3,all,static,low,libero_long,0.5118071395325257,0.37323359480417373,1.7131636304851987,0.5063987475015674,22,2332.0
development_main,3,all,static,low,libero_object,1.064096621173928,0.974450670951585,1.2884976293570183,1.0269021202929838,14,56.0
development_main,3,all,static,low,libero_spatial,1.3867647465313353,0.7457749451375715,2.1668732960005577,1.2393383704928795,10,40.0
development_main,3,all,static,high,libero_goal,0.0,0.0,0.0,0.0,4,84.0
development_main,3,all,static,high,libero_long,0.15771859484193837,0.04144670688788336,0.40334778126373666,0.18876260651513002,18,1908.0
development_main,3,all,static,high,libero_object,0.0,0.0,0.0,0.0,6,24.0
development_main,3,all,static,high,libero_spatial,0.7196969696969696,0.0,1.27203373015873,0.5998196031268791,2,8.0
development_main,3,all,pure_phantom,low,libero_goal,1.8190476190476188,0.0,5.303030303030303,0.33919057899640065,14,42.0
development_main,3,all,pure_phantom,low,libero_long,0.4208444492337756,0.33265952684969835,1.3567294356485342,0.45278824710407517,22,110.0
development_main,3,all,pure_phantom,low,libero_object,,,,,0,0.0
development_main,3,all,pure_phantom,low,libero_spatial,0.4507499444366591,0.3893542502372679,1.3199460948743218,0.54385905091645,10,140.0
development_main,3,all,pure_phantom,high,libero_goal,1.4583333333333333,0.625,8.049999999999983,1.2440485616990853,4,12.0
development_main,3,all,pure_phantom,high,libero_long,0.4391414141414142,0.27890152851263966,1.2376470588235295,0.21903761378166636,18,90.0
development_main,3,all,pure_phantom,high,libero_object,,,,,0,0.0
development_main,3,all,pure_phantom,high,libero_spatial,1.5883116883116881,0.0,6.841597222222222,1.5877910635619883,2,28.0
development_main,4,all,loop,low,libero_goal,18.158416527683293,0.0,180.16054448885342,5.700550052708671,12,864.0
development_main,4,all,loop,low,libero_long,0.4682567411535656,0.2807585641280782,1.5999382384751502,0.4705147176553083,21,1827.0
development_main,4,all,loop,low,libero_object,2.97626405854773,2.117295579234439,6.101427037833028,1.513320273487758,13,377.0
development_main,4,all,loop,low,libero_spatial,1.9371671960468062,1.2702937194655575,3.572173272856423,1.2195014753299844,9,612.0
development_main,4,all,loop,high,libero_goal,6.205208333333333,1.1480627264492755,19.42870930232558,6.508088952185754,4,288.0
development_main,4,all,loop,high,libero_long,1.4907261596143688,0.4869569418676562,3.020589148352194,0.9517477580209582,20,1740.0
development_main,4,all,loop,high,libero_object,1.7800967937084087,1.0454953212007498,5.980760690789473,1.5362415807306857,6,174.0
development_main,4,all,loop,high,libero_spatial,2.6025735294117647,1.3115013169446883,6.189236111111111,2.7462781121317708,2,136.0
development_main,4,all,static,low,libero_goal,5.735670194003527,0.0,76.03877314814815,1.1667241871498912,12,252.0
development_main,4,all,static,low,libero_long,0.4568705374522875,0.30722555718901184,1.0275729316628803,0.4435965650451147,21,2226.0
development_main,4,all,static,low,libero_object,0.785749903421167,0.46097596008153874,1.2620744147817955,0.9717597406581603,13,52.0
development_main,4,all,static,low,libero_spatial,2.418153056758017,0.36805105324466697,6.392518162460901,1.407961285203482,9,36.0
development_main,4,all,static,high,libero_goal,0.0,0.0,0.0,0.0,4,84.0
development_main,4,all,static,high,libero_long,0.13394482590863513,0.0,0.34952697358012974,0.18559387438329694,20,2120.0
development_main,4,all,static,high,libero_object,0.0,0.0,0.0,0.0,6,24.0
development_main,4,all,static,high,libero_spatial,0.0,0.0,4.410624999999999,0.0,2,8.0
development_main,4,all,pure_phantom,low,libero_goal,0.0,0.0,0.0,0.0,12,36.0
development_main,4,all,pure_phantom,low,libero_long,0.21796059089661812,0.1730719581875686,0.9563680276758031,0.2206067006744033,21,105.0
development_main,4,all,pure_phantom,low,libero_object,,,,,0,0.0
development_main,4,all,pure_phantom,low,libero_spatial,0.5094231094754941,0.3813703836791107,0.9516295150331389,0.5899917328731218,9,126.0
development_main,4,all,pure_phantom,high,libero_goal,0.0,0.0,0.0,0.0,4,12.0
development_main,4,all,pure_phantom,high,libero_long,0.0,0.0,0.0,0.0,20,100.0
development_main,4,all,pure_phantom,high,libero_object,,,,,0,0.0
development_main,4,all,pure_phantom,high,libero_spatial,0.5750000000000001,0.0,2.248366013071895,0.5758283200143666,2,28.0
development_main,6,all,loop,low,libero_goal,40.4531893573567,0.0,317.8002136752137,13.824609819380969,11,792.0
development_main,6,all,loop,low,libero_long,0.2615148272266079,0.013870823732718893,1.5872762728417986,0.24450273261874966,19,1653.0
development_main,6,all,loop,low,libero_object,3.194543187590213,2.1596649858875185,7.485193481632746,1.5664473384128335,11,319.0
