group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort,first_branch
cache_right16x32 | lock,242,229,13,242,229,13,1.0,0.9462809917355371,1.0,25.0,35.0,37.0,68.62745098039215,70.58823529411765,82.75862068965517,70.58823529411765,74.46808510638297,29.411764705882348,0,0.0,0,0.0,148,0.6115702479338843,94,0.3884297520661157,cache_right16x32,lock
development_main | instability,32,25,7,32,25,7,1.0,0.78125,1.0,16.0,17.0,22.25,51.81992337164751,62.21033868092691,74.30555555555556,59.25925925925926,75.0,37.78966131907309,0,0.0,0,0.0,24,0.75,8,0.25,development_main,instability
development_main | lock,407,347,60,407,347,60,1.0,0.8525798525798526,1.0,20.0,26.0,34.0,64.70588235294117,74.50980392156863,86.20689655172414,74.07407407407408,83.87931034482759,25.490196078431367,1,0.002457002457002457,15,0.036855036855036855,189,0.4643734643734644,202,0.4963144963144963,development_main,lock
external_8b | instability,35,30,5,35,30,5,1.0,0.8571428571428571,1.0,16.0,21.0,25.0,58.93997445721584,74.07407407407408,80.06535947712419,72.4814063556457,82.3529411764706,25.925925925925924,0,0.0,1,0.02857142857142857,19,0.5428571428571428,15,0.42857142857142855,external_8b,instability
external_8b | lock,456,380,76,456,380,76,1.0,0.8333333333333334,1.0,18.0,25.0,34.0,62.745098039215684,71.42857142857143,86.20689655172414,71.00840336134453,72.8735632183908,28.57142857142857,28,0.06140350877192982,22,0.04824561403508772,204,0.4473684210526316,202,0.44298245614035087,external_8b,lock
