group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort
cache_right16x32,2560,307,2253,242,229,13,0.745928338762215,0.9462809917355371,0.005770084332001775,25.0,35.0,37.0,68.62745098039215,70.58823529411765,82.75862068965517,70.58823529411765,74.46808510638297,29.411764705882348,0,0.0,0,0.0,148,0.6115702479338843,94,0.3884297520661157,cache_right16x32
development_main,14800,487,14313,439,372,67,0.7638603696098563,0.8473804100227791,0.0046810591769719835,19.0,25.0,34.0,64.1711229946524,72.54901960784314,86.20689655172414,71.42857142857143,81.57894736842105,27.450980392156865,1,0.002277904328018223,15,0.03416856492027335,213,0.48519362186788156,210,0.4783599088838269,development_main
external_8b,15600,564,15036,491,410,81,0.7269503546099291,0.835030549898167,0.00538707102952913,18.0,24.0,34.0,62.5,71.42857142857143,86.20689655172414,71.42857142857143,74.07407407407408,28.57142857142857,28,0.05702647657841141,23,0.04684317718940937,223,0.45417515274949083,217,0.4419551934826884,external_8b
