group,episodes,risk_n,nonrisk_n,alarm_n,tp,fp,risk_recall,precision,nonrisk_fpr,first_alarm_query_1based_q25,first_alarm_query_1based_median,first_alarm_query_1based_q75,alarm_phase_pct_q25,alarm_phase_pct_median,alarm_phase_pct_q75,true_alarm_phase_pct_median,false_alarm_phase_pct_median,remaining_phase_pct_median,phase_00_25_n,phase_00_25_among_alarms,phase_25_50_n,phase_25_50_among_alarms,phase_50_75_n,phase_50_75_among_alarms,phase_75_100_n,phase_75_100_among_alarms,cohort,outcome
cache_right16x32 | raw_failure,307,307,0,229,229,0,0.745928338762215,1.0,,25.0,34.0,37.0,66.66666666666667,70.58823529411765,82.75862068965517,70.58823529411765,,29.411764705882348,0,0.0,0,0.0,141,0.6157205240174672,88,0.38427947598253276,cache_right16x32,raw_failure
cache_right16x32 | success,2253,0,2253,13,0,13,,0.0,0.005770084332001775,35.0,36.0,36.0,72.0,74.46808510638297,77.77777777777777,,74.46808510638297,25.531914893617028,0,0.0,0,0.0,7,0.5384615384615384,6,0.46153846153846156,cache_right16x32,success
development_main | failure,457,457,0,352,352,0,0.7702407002188184,1.0,,19.0,26.0,34.0,62.745098039215684,72.54901960784314,86.20689655172414,72.54901960784314,,27.450980392156865,1,0.002840909090909091,12,0.03409090909090909,172,0.48863636363636365,167,0.4744318181818182,development_main,failure
development_main | late_success,30,30,0,20,20,0,0.6666666666666666,1.0,,18.5,21.5,35.0,66.66666666666667,71.00840336134453,74.07407407407408,71.00840336134453,,28.99159663865546,0,0.0,0,0.0,16,0.8,4,0.2,development_main,late_success
development_main | timely_success,14313,0,14313,67,0,67,,0.0,0.0046810591769719835,19.0,23.0,31.0,65.50343249427917,81.57894736842105,95.55335968379447,,81.57894736842105,18.421052631578945,0,0.0,3,0.04477611940298507,25,0.373134328358209,39,0.582089552238806,development_main,timely_success
external_8b | failure,523,523,0,383,383,0,0.7323135755258127,1.0,,18.0,25.0,35.0,62.745098039215684,70.58823529411765,86.20689655172414,70.58823529411765,,29.411764705882348,22,0.057441253263707574,13,0.033942558746736295,179,0.46736292428198434,169,0.4412532637075718,external_8b,failure
external_8b | late_success,41,41,0,27,27,0,0.6585365853658537,1.0,,16.0,21.0,36.5,67.64705882352942,71.42857142857143,76.19047619047619,71.42857142857143,,28.57142857142857,4,0.14814814814814814,0,0.0,14,0.5185185185185185,9,0.3333333333333333,external_8b,late_success
external_8b | timely_success,15036,0,15036,81,0,81,,0.0,0.00538707102952913,19.0,22.0,26.0,60.60606060606061,74.07407407407408,90.0,,74.07407407407408,25.925925925925924,2,0.024691358024691357,10,0.12345679012345678,30,0.37037037037037035,39,0.48148148148148145,external_8b,timely_success
