snapshot_key,query,route_k,noise_k,route_stability
w00_s000,0,1,1,
w00_s000,1,2,1,1.0
w00_s000,2,2,1,1.0
w00_s000,3,2,1,1.0
w00_s000,4,2,1,1.0
w00_s000,5,2,1,1.0
w00_s000,6,3,1,1.0
w00_s000,7,1,1,
w00_s000,8,1,1,
w00_s000,9,1,1,
w00_s000,10,2,1,1.0
w00_s000,11,2,1,1.0
w00_s000,12,3,1,1.0
w00_s000,13,2,1,1.0
w00_s000,14,1,1,
w00_s000,15,1,1,
w00_s000,16,1,1,
w00_s000,17,1,1,
w00_s000,18,1,1,
w00_s000,19,1,1,
w00_s000,20,1,1,
w00_s000,21,3,1,1.0
w00_s000,22,1,1,
w00_s000,23,1,1,
w00_s001,0,1,1,
w00_s001,1,2,1,1.0
w00_s001,2,1,1,
w00_s001,3,1,1,
w00_s001,4,1,1,
w00_s001,5,1,1,
w00_s001,6,2,1,1.0
w00_s001,7,1,1,
w00_s001,8,1,1,
w00_s001,9,1,1,
w00_s001,10,1,1,
w00_s001,11,1,1,
w00_s001,12,3,1,1.0
w00_s001,13,2,1,1.0
w00_s001,14,1,1,
w00_s001,15,1,1,
w00_s001,16,1,1,
w00_s001,17,1,1,
w00_s001,18,1,1,
w00_s001,19,1,1,
w00_s001,20,1,1,
w00_s001,21,2,1,1.0
w00_s001,22,1,1,
w00_s001,23,1,1,
w00_s002,0,1,1,
w00_s002,1,2,1,1.0
w00_s002,2,2,1,1.0
w00_s002,3,1,1,
w00_s002,4,2,1,1.0
w00_s002,5,1,1,
w00_s002,6,2,1,1.0
w00_s002,7,1,1,
w00_s002,8,1,1,
w00_s002,9,1,1,
w00_s002,10,1,1,
w00_s002,11,2,1,1.0
w00_s002,12,2,1,1.0
w00_s002,13,1,1,
w00_s002,14,1,1,
w00_s002,15,1,1,
w00_s002,16,1,1,
w00_s002,17,1,1,
w00_s002,18,1,1,
w00_s002,19,1,1,
w00_s002,20,2,1,1.0
w00_s002,21,1,1,
w00_s002,22,1,1,
w00_s002,23,1,1,
w00_s003,0,1,1,
w00_s003,1,3,1,1.0
w00_s003,2,1,1,
w00_s003,3,2,1,1.0
w00_s003,4,1,1,
w00_s003,5,2,1,1.0
w00_s003,6,3,1,1.0
w00_s003,7,2,1,1.0
w00_s003,8,3,1,1.0
w00_s003,9,4,1,1.0
w00_s003,10,1,1,
w00_s003,11,1,1,
w00_s003,12,1,1,
w00_s003,13,4,1,1.0
w00_s003,14,1,1,
w00_s003,15,2,1,1.0
w00_s003,16,1,1,
w00_s003,17,1,1,
w00_s003,18,1,1,
w00_s003,19,2,1,1.0
w00_s003,20,2,1,1.0
w00_s003,21,2,1,1.0
w00_s003,22,2,1,1.0
w00_s003,23,1,1,
w00_s004,0,1,1,
w00_s004,1,3,1,1.0
w00_s004,2,2,1,1.0
w00_s004,3,2,1,1.0
w00_s004,4,3,1,1.0
w00_s004,5,4,1,1.0
w00_s004,6,2,1,1.0
w00_s004,7,2,1,1.0
w00_s004,8,3,1,0.9444444444444444
w00_s004,9,2,1,1.0
w00_s004,10,1,1,
w00_s004,11,1,1,
w00_s004,12,2,1,1.0
w00_s004,13,1,1,
w00_s004,14,1,1,
w00_s004,15,1,1,
w00_s004,16,1,1,
w00_s004,17,1,1,
w00_s004,18,1,1,
w00_s004,19,1,1,
w00_s004,20,1,1,
w00_s004,21,1,1,
w00_s004,22,1,1,
w00_s004,23,1,1,
w00_s005,0,1,1,
w00_s005,1,4,1,1.0
w00_s005,2,2,1,1.0
w00_s005,3,2,1,1.0
w00_s005,4,2,1,1.0
w00_s005,5,2,1,1.0
w00_s005,6,1,1,
w00_s005,7,1,1,
w00_s005,8,2,1,1.0
w00_s005,9,1,1,
w00_s005,10,1,1,
w00_s005,11,1,1,
w00_s005,12,1,1,
w00_s005,13,1,1,
w00_s005,14,1,1,
w00_s005,15,1,1,
w00_s005,16,1,1,
w00_s005,17,1,1,
w00_s005,18,1,1,
w00_s005,19,1,1,
w00_s005,20,1,1,
w00_s005,21,1,1,
w00_s005,22,1,1,
w00_s005,23,1,1,
w01_s000,0,1,1,
w01_s000,1,2,1,1.0
w01_s000,2,4,1,1.0
w01_s000,3,2,1,1.0
w01_s000,4,2,1,1.0
w01_s000,5,2,1,1.0
w01_s000,6,2,1,1.0
w01_s000,7,1,1,
w01_s000,8,1,1,
w01_s000,9,1,1,
w01_s000,10,1,1,
w01_s000,11,1,1,
w01_s000,12,1,1,
w01_s000,13,1,1,
w01_s000,14,3,1,1.0
w01_s000,15,2,1,0.5969574633050825
w01_s000,16,1,1,
w01_s000,17,1,1,
w01_s000,18,1,1,
w01_s000,19,1,1,
w01_s000,20,1,1,
w01_s000,21,1,1,
w01_s000,22,1,1,
w01_s000,23,1,1,
w01_s001,0,1,1,
w01_s001,1,2,1,1.0
w01_s001,2,1,1,
w01_s001,3,1,1,
w01_s001,4,1,1,
w01_s001,5,1,1,
w01_s001,6,1,1,
w01_s001,7,1,1,
w01_s001,8,1,1,
w01_s001,9,1,1,
w01_s001,10,1,1,
w01_s001,11,1,1,
w01_s001,12,2,1,1.0
w01_s001,13,2,1,1.0
w01_s001,14,4,1,0.7157490396927016
w01_s001,15,1,1,
w01_s001,16,1,1,
w01_s001,17,1,1,
w01_s001,18,1,1,
w01_s001,19,1,1,
w01_s001,20,1,1,
w01_s001,21,2,1,1.0
w01_s001,22,1,1,
w01_s001,23,1,1,
w01_s002,0,1,1,
w01_s002,1,2,1,1.0
w01_s002,2,1,1,
w01_s002,3,1,1,
w01_s002,4,1,1,
w01_s002,5,1,1,
w01_s002,6,1,1,
w01_s002,7,1,1,
w01_s002,8,1,1,
w01_s002,9,1,1,
w01_s002,10,1,1,
w01_s002,11,2,1,1.0
w01_s002,12,1,1,
w01_s002,13,1,1,
w01_s002,14,1,1,
w01_s002,15,1,1,
w01_s002,16,1,1,
w01_s002,17,1,1,
w01_s002,18,1,1,
w01_s002,19,1,1,
w01_s002,20,1,1,
w01_s002,21,1,1,
w01_s002,22,1,1,
w01_s002,23,1,1,
w01_s003,0,1,1,
w01_s003,1,1,1,
w01_s003,2,1,1,
w01_s003,3,1,1,
w01_s003,4,1,1,
w01_s003,5,1,1,
w01_s003,6,1,1,
w01_s003,7,1,1,
w01_s003,8,1,1,
w01_s003,9,1,1,
w01_s003,10,1,1,
w01_s003,11,1,1,
w01_s003,12,2,1,0.7777777777777778
w01_s003,13,1,1,
w01_s003,14,1,1,
w01_s003,15,1,1,
w01_s003,16,1,1,
w01_s003,17,1,1,
w01_s003,18,1,1,
w01_s003,19,1,1,
w01_s003,20,1,1,
w01_s003,21,1,1,
w01_s003,22,1,1,
w01_s003,23,1,1,
w01_s004,0,1,1,
w01_s004,1,1,1,
w01_s004,2,1,1,
w01_s004,3,1,1,
w01_s004,4,1,1,
w01_s004,5,1,1,
w01_s004,6,1,1,
w01_s004,7,1,1,
w01_s004,8,2,1,1.0
w01_s004,9,3,1,0.8083849947961446
w01_s004,10,2,1,1.0
w01_s004,11,2,1,1.0
w01_s004,12,2,1,1.0
w01_s004,13,1,1,
w01_s004,14,2,1,1.0
w01_s004,15,2,1,1.0
w01_s004,16,1,1,
w01_s004,17,1,1,
w01_s004,18,2,1,1.0
w01_s004,19,2,1,1.0
w01_s004,20,1,1,
w01_s004,21,1,1,
w01_s004,22,2,1,1.0
w01_s004,23,3,1,1.0
w02_s000,0,1,1,
w02_s000,1,2,1,1.0
w02_s000,2,1,1,
w02_s000,3,1,1,
w02_s000,4,1,1,
w02_s000,5,1,1,
w02_s000,6,1,1,
w02_s000,7,1,1,
w02_s000,8,1,1,
w02_s000,9,1,1,
w02_s000,10,1,1,
w02_s000,11,1,1,
w02_s000,12,2,1,1.0
w02_s000,13,1,1,
w02_s000,14,1,1,
w02_s000,15,1,1,
w02_s000,16,1,1,
w02_s000,17,2,1,1.0
w02_s000,18,2,1,1.0
w02_s000,19,1,1,
w02_s000,20,1,1,
w02_s000,21,1,1,
w02_s000,22,1,1,
w02_s000,23,1,1,
w02_s001,0,1,1,
w02_s001,1,2,1,1.0
w02_s001,2,2,1,1.0
w02_s001,3,1,1,
w02_s001,4,2,1,1.0
w02_s001,5,2,1,1.0
w02_s001,6,1,1,
w02_s001,7,3,1,1.0
w02_s001,8,1,1,
w02_s001,9,1,1,
w02_s001,10,3,1,1.0
w02_s001,11,2,1,1.0
w02_s001,12,1,1,
w02_s001,13,1,1,
w02_s001,14,1,1,
w02_s001,15,2,1,1.0
w02_s001,16,4,1,1.0
w02_s001,17,3,1,0.792778649921507
w02_s001,18,3,1,1.0
w02_s001,19,1,1,
w02_s001,20,1,1,
w02_s001,21,3,1,1.0
w02_s001,22,2,1,1.0
w02_s001,23,4,1,0.9045454545454545
w02_s002,0,1,1,
w02_s002,1,2,1,1.0
w02_s002,2,2,1,0.8008849557522124
w02_s002,3,2,1,1.0
w02_s002,4,2,1,1.0
w02_s002,5,1,1,
w02_s002,6,2,1,1.0
w02_s002,7,1,1,
w02_s002,8,1,1,
w02_s002,9,2,1,1.0
w02_s002,10,2,1,1.0
w02_s002,11,1,1,
w02_s002,12,1,1,
w02_s002,13,1,1,
w02_s002,14,1,1,
w02_s002,15,3,1,1.0
w02_s002,16,2,1,1.0
w02_s002,17,1,1,
w02_s002,18,1,1,
w02_s002,19,2,1,0.7985074626865671
w02_s002,20,3,1,1.0
w02_s002,21,2,1,1.0
w02_s002,22,3,1,1.0
w02_s002,23,3,1,0.8557692307692308
w02_s003,0,1,1,
w02_s003,1,2,1,1.0
w02_s003,2,1,1,
w02_s003,3,2,1,1.0
w02_s003,4,1,1,
w02_s003,5,1,1,
w02_s003,6,1,1,
w02_s003,7,2,1,1.0
w02_s003,8,4,1,0.6646753246753248
w02_s003,9,1,1,
