snapshot_key,query,branches,route_silhouette,route_null,route_p,noise_silhouette,noise_null,noise_p,motor_separation,motor_null,motor_p
w00_s000,0,16,0.09348339587450027,0.04810917098540813,0.0075,0.017768235877156258,0.023443805852439256,0.775,0.00047959998482838273,0.0007922093739216507,0.82
w00_s000,1,16,0.6120308637619019,0.07007320321165025,0.0,0.046985432505607605,0.023371323705650867,0.0225,0.009740798734128475,0.0024439640884156687,0.0
w00_s000,2,16,0.45590925216674805,0.04079937907867134,0.0,0.017727557569742203,0.023808905041078104,0.7175,0.005831228569149971,0.0014847162027217563,0.0
w00_s000,3,16,0.5433394908905029,0.051547672543674705,0.0,0.03626960143446922,0.02418317342060618,0.105,0.004831030499190092,0.0013193629380839412,0.0
w00_s000,4,16,0.33879828453063965,0.043955725473351775,0.0,0.01641080714762211,0.02357727142749354,0.835,0.0032069983426481485,0.0011743307751021347,0.0075
w00_s000,5,16,0.39531397819519043,0.05719132178463042,0.0,0.026793986558914185,0.02455612976802513,0.29,0.0016715324018150568,0.0013003842459511361,0.24
w00_s000,6,16,0.3390767276287079,0.04205794629640877,0.0,0.025532227009534836,0.023138796475250273,0.2525,0.004833035171031952,0.0014111096201486362,0.0
w00_s000,7,16,0.20141756534576416,0.03808491804869846,0.0,0.022558577358722687,0.023624010803177952,0.38,0.003298582509160042,0.0012137566567980685,0.0025
w00_s000,8,16,0.26241493225097656,0.03838174022966996,0.0,0.02162148430943489,0.02356380228418857,0.48,0.0058065494522452354,0.0019683348790567835,0.0025
w00_s000,9,16,0.3106573522090912,0.042621213439852,0.0,0.01974201202392578,0.024363656004425138,0.65,0.015250264666974545,0.004480668324595172,0.0
w00_s000,10,16,0.3313807249069214,0.05306249076034874,0.0,0.025335319340229034,0.022853895348962396,0.235,0.004829670302569866,0.0027762005966906144,0.135
w00_s000,11,16,0.4626767933368683,0.046986923776566984,0.0,0.02424537017941475,0.023786808273289353,0.3325,0.012306674383580685,0.0034196855176924145,0.0
w00_s000,12,16,0.3435782790184021,0.04040618611034006,0.0,0.017026932910084724,0.02437603790545836,0.7875,0.05327295884490013,0.01232773950745468,0.0
w00_s000,13,16,0.34852689504623413,0.046912189996801315,0.0,0.02274981513619423,0.023605565669713544,0.395,0.069803386926651,0.017726116486592218,0.0
w00_s000,14,16,0.3246852159500122,0.04268210029462352,0.0,0.020187780261039734,0.024066022241022438,0.575,0.0692615732550621,0.01940871565020643,0.0
w00_s000,15,16,0.3357272744178772,0.03512202602345496,0.0,0.020373143255710602,0.02306072389241308,0.55,0.062351688742637634,0.019137562452815473,0.0
w00_s000,16,16,0.20703528821468353,0.03744957057293505,0.0,0.026223139837384224,0.0247165504633449,0.3075,0.06083133816719055,0.018332363389599777,0.0025
