parent,arm,query,accepted,guard_reasons,old_screen,fp32_old_screen,donor_action_rms,executed_candidate_action_rms,top4_set_change
plus-task00-init026,joint,21,True,,True,True,0.004036148741478071,0.004036148741478071,0.66
plus-task00-init026,joint,22,True,,True,True,0.002911720189947256,0.002911720189947256,0.795
plus-task00-init026,joint,23,True,,False,False,0.00199544600301712,0.0019954460030171197,0.4375
plus-task00-init026,joint,24,True,,True,True,0.004775911741245698,0.004775911741245698,0.4725
plus-task00-init026,joint,25,True,,True,True,0.004697737043402557,0.004697737043402556,0.89
plus-task00-init026,joint,26,True,,True,True,0.003302123869559503,0.003302123869559503,0.735
plus-task00-init026,joint,27,True,,True,True,0.004097236418635838,0.004097236418635838,0.7475
plus-task00-init026,joint,28,True,,True,True,0.0029610085154311984,0.0029610085154311984,0.62
plus-task00-init026,joint,29,True,,False,False,0.002054124572920075,0.0020541245729200747,0.46
plus-task00-init026,joint,30,True,,True,True,0.0029730725361499914,0.0029730725361499914,0.4475
plus-task00-init026,joint,31,True,,True,True,0.0024713885245511973,0.0024713885245511973,0.7925
plus-task00-init026,joint,32,True,,True,True,0.002710481315814821,0.002710481315814821,0.79
plus-task00-init026,route_only,21,True,,True,True,0.004036148741478071,0.0,0.65
plus-task00-init026,route_only,22,True,,True,True,0.002780700965794616,0.0,0.7775
plus-task00-init026,route_only,23,True,,True,True,0.001770009537586035,0.0,0.43
plus-task00-init026,route_only,24,True,,False,False,0.005467096870486975,0.0,0.42
plus-task00-init026,route_only,25,True,,True,True,0.005391763639913761,0.0,0.8875
plus-task00-init026,route_only,26,True,,True,True,0.0038057975934028127,0.0,0.7025
plus-task00-init026,route_only,27,True,,True,True,0.003266935810893955,0.0,0.73
plus-task00-init026,route_only,28,True,,True,True,0.00255537249579498,0.0,0.58
plus-task00-init026,route_only,29,True,,False,False,0.0024410237461637806,0.0,0.4025
plus-task00-init026,route_only,30,True,,True,True,0.0034752799800106117,0.0,0.49
plus-task00-init026,route_only,31,True,,True,True,0.0028134078988262604,0.0,0.705
plus-task00-init026,route_only,32,True,,True,True,0.0035738640484502377,0.0,0.8275
plus-task00-init026,output_only,21,True,,False,True,0.004036148741478071,0.004036148741478071,0.155
plus-task00-init026,output_only,22,True,,False,False,0.002554272241417755,0.0025542722414177545,0.2325
plus-task00-init026,output_only,23,True,,False,False,0.00219718481460054,0.0021971848146005394,0.155
plus-task00-init026,output_only,24,True,,False,False,0.004000440997971617,0.004000440997971616,0.1475
plus-task00-init026,output_only,25,True,,False,False,0.004785193677479073,0.004785193677479072,0.1825
plus-task00-init026,output_only,26,True,,False,False,0.00417253761543216,0.00417253761543216,0.155
plus-task00-init026,output_only,27,True,,False,False,0.003909540487995324,0.003909540487995324,0.1575
plus-task00-init026,output_only,28,True,,False,False,0.0027602501561923678,0.0027602501561923673,0.175
plus-task00-init026,output_only,29,True,,False,False,0.0034456365131037598,0.0034456365131037598,0.1175
plus-task00-init026,output_only,30,True,,False,False,0.002416149547133323,0.002416149547133323,0.1275
plus-task00-init026,output_only,31,True,,False,False,0.0023369948210914607,0.0023369948210914607,0.1825
plus-task00-init026,output_only,32,True,,False,False,0.0032425695399563755,0.003242569539956376,0.1625
pro-task03-init039,joint,18,True,,True,True,0.0025284132774634495,0.0025284132774634495,0.72
pro-task03-init039,joint,19,True,,False,False,0.003255155845007217,0.003255155845007217,0.75
