corpus,suite,task,scene,K,n_fail,n_loop,n_static,n_anyloop,loop_valid,med_nq
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,0,32,0,0,0,7,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,3,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,7,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,10,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,13,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,16,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,20,32,0,0,0,32,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,23,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,26,32,0,0,0,32,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,29,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,33,32,0,0,0,0,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,36,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,39,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,42,32,0,0,0,13,0,12.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,46,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,49,32,0,0,0,0,0,13.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,0,32,0,0,0,0,1,20.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,3,32,1,0,0,0,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,7,32,4,4,0,10,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,10,32,0,0,0,1,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,13,32,1,0,0,0,1,19.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,32,27,14,12,14,1,30.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,20,32,0,0,0,0,1,17.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,23,32,0,0,0,0,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,26,32,3,2,0,2,1,18.5
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,29,32,5,5,0,5,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,33,32,0,0,0,0,1,19.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,36,32,1,1,0,1,1,20.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,39,32,0,0,0,0,1,19.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,42,32,0,0,0,0,1,18.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,46,32,0,0,0,0,1,19.0
main16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,49,32,0,0,0,0,1,20.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,32,18,4,13,4,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,32,27,9,18,10,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,32,3,3,1,3,1,39.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10,32,23,16,6,17,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,13,32,23,0,23,0,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,32,4,1,3,1,1,38.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,32,9,2,0,2,1,40.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,23,32,3,1,1,1,1,40.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,26,32,23,6,17,6,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,29,32,4,0,2,0,1,40.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,33,32,0,0,0,0,1,39.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,36,32,0,0,0,0,1,39.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,39,32,28,5,19,5,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,42,32,18,8,8,8,1,52.0
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,46,32,1,0,0,0,1,39.5
main16x32,libero_long,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,49,32,32,0,32,0,1,52.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,32,0,0,0,0,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,32,0,0,0,0,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,32,0,0,0,0,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,32,1,1,0,1,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,13,32,1,1,0,1,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,32,2,2,0,2,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,32,1,1,0,1,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,23,32,0,0,0,0,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,26,32,1,0,0,1,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,29,32,0,0,0,0,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,33,32,0,0,0,0,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,36,32,0,0,0,0,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,39,32,1,0,0,0,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,42,32,1,1,0,2,1,13.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,46,32,4,1,0,2,1,9.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,49,32,0,0,0,0,1,10.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,32,1,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,32,1,1,0,1,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,32,1,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,32,2,2,0,2,1,13.5
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,32,2,0,0,0,1,13.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,32,0,0,0,0,1,12.5
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,20,32,7,1,0,1,1,13.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,23,32,2,2,0,7,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,26,32,1,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,29,32,2,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,33,32,16,8,0,9,1,17.5
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,36,32,1,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,32,0,0,0,0,1,12.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,42,32,1,0,0,0,1,14.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,46,32,0,0,0,0,1,13.0
main16x32,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,49,32,0,0,0,0,1,14.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,0,8,0,0,0,1,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,1,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,2,8,0,0,0,4,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,3,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,4,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,5,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,6,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,7,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,8,8,0,0,0,0,0,12.5
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,9,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,10,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,11,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,12,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,13,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,14,8,0,0,0,8,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,15,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,16,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,17,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,18,8,0,0,0,5,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,19,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,20,8,0,0,0,8,0,12.5
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,21,8,0,0,0,0,0,14.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,22,8,0,0,0,2,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,23,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,24,8,0,0,0,1,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,25,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,26,8,0,0,0,8,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,27,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,28,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,29,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,30,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,31,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,32,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,33,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,34,8,0,0,0,2,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,35,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,36,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,37,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,38,8,0,0,0,0,0,14.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,39,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,40,8,0,0,0,1,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,41,8,0,0,0,6,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,42,8,0,0,0,4,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,43,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,44,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,45,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,46,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,47,8,0,0,0,0,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,48,8,0,0,0,3,0,12.0
grid50x8,libero_goal,open_the_middle_drawer_of_the_cabinet,49,8,0,0,0,0,0,13.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,0,8,0,0,0,0,1,20.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,1,8,1,1,1,1,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,2,8,1,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,3,8,1,1,0,1,1,17.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,4,8,2,1,0,1,1,18.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,5,8,6,2,0,2,1,30.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,6,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,7,8,1,1,0,3,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,8,8,1,0,1,0,1,20.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,9,8,5,5,0,5,1,30.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,10,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,11,8,0,0,0,0,1,18.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,12,8,0,0,0,0,1,18.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,13,8,1,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,14,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,15,8,1,1,0,1,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,16,8,6,3,2,3,1,30.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,17,8,1,1,0,1,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,18,8,1,0,1,0,1,25.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,19,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,20,8,0,0,0,0,1,17.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,21,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,22,8,0,0,0,0,1,18.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,23,8,1,1,0,1,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,24,8,2,2,0,2,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,25,8,1,1,0,1,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,26,8,2,1,0,1,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,27,8,1,1,0,1,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,28,8,0,0,0,0,1,17.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,29,8,1,1,0,1,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,30,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,31,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,32,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,33,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,34,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,35,8,1,1,0,1,1,17.5
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,36,8,0,0,0,0,1,20.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,37,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,38,8,0,0,0,0,1,20.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,39,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,40,8,6,4,1,4,1,30.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,41,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,42,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,43,8,0,0,0,0,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,44,8,2,2,0,2,1,18.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,45,8,7,2,0,2,1,30.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,46,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,47,8,0,0,0,0,1,19.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,48,8,0,0,0,0,1,20.0
grid50x8,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,49,8,0,0,0,0,1,20.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,0,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,1,8,0,0,0,0,1,21.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,2,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,3,8,0,0,0,0,1,16.5
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,4,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,5,8,0,0,0,2,1,17.5
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,6,8,0,0,0,0,1,12.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,7,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,8,8,0,0,0,0,1,15.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,9,8,1,0,0,1,1,18.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,10,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,11,8,0,0,0,0,1,12.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,12,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,13,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,14,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,15,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,16,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,17,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,18,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,19,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,20,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,21,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,22,8,0,0,0,0,1,14.5
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,23,8,0,0,0,0,1,17.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,24,8,0,0,0,0,1,12.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,25,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,26,8,0,0,0,0,1,12.5
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,27,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,28,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,29,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,30,8,1,0,1,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,31,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,32,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,33,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,34,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,35,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,36,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,37,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,38,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,39,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,40,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,41,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,42,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,43,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,44,8,0,0,0,0,1,14.5
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,45,8,0,0,0,0,1,14.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,46,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,47,8,0,0,0,0,1,13.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,48,8,0,0,0,2,1,22.0
grid50x8,libero_goal,push_the_plate_to_the_front_of_the_stove,49,8,0,0,0,0,1,13.0
grid50x8,libero_goal,put_the_bowl_on_the_plate,0,8,0,0,0,0,1,8.0
