task,reference_episodes,lock_cutoff,early_lock_scale,lock_ratio,instability_cutoff,outcomes_used
libero_goal/open_the_middle_drawer_of_the_cabinet,400,0.026698313653469086,0.031237736344337463,0.8546814455173782,0.03650738298892975,False
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,0.0307140052318573,0.03660988435149193,0.8389538993614887,0.04171736538410187,False
libero_goal/push_the_plate_to_the_front_of_the_stove,400,0.021161146461963654,0.03182247281074524,0.6649749247273562,0.03216279670596123,False
libero_goal/put_the_bowl_on_the_plate,400,0.041953280568122864,0.040003031492233276,1.0487525320741813,0.049086302518844604,False
libero_goal/put_the_bowl_on_the_stove,400,0.038419850170612335,0.03745109215378761,1.0258672834652367,0.043614622205495834,False
libero_goal/put_the_bowl_on_top_of_the_cabinet,400,0.03840716928243637,0.04154888167977333,0.9243851514091077,0.043261222541332245,False
libero_goal/put_the_cream_cheese_in_the_bowl,400,0.03527211397886276,0.033551886677742004,1.051270657821515,0.05316264182329178,False
libero_goal/put_the_wine_bottle_on_the_rack,400,0.030139422044157982,0.03113737143576145,0.9679501080024591,0.04394819587469101,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,0.0354737713932991,0.0403599739074707,0.8789344481397904,0.044725142419338226,False
libero_goal/turn_on_the_stove,400,0.036361221224069595,0.034310054033994675,1.0597832690103783,0.047225724905729294,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,0.03381849825382233,0.04105638340115547,0.8237086526445131,0.06472069025039673,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,0.03693521395325661,0.04675090312957764,0.7900427902084528,0.06529031693935394,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,0.024910718202590942,0.03844102472066879,0.6480243017350436,0.058945201337337494,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,0.03718768060207367,0.045666102319955826,0.8143388358726396,0.06689050793647766,False
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,0.0333075225353241,0.04417148604989052,0.7540503051607577,0.06529214233160019,False
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,0.03350129723548889,0.0385921448469162,0.8680859114822144,0.06465007364749908,False
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,0.025279469788074493,0.03777274116873741,0.669251661539381,0.0575471855700016,False
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,0.03163066506385803,0.05231738090515137,0.6045919064871146,0.06287327408790588,False
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,0.04105937480926514,0.05130599066615105,0.800284221708907,0.06374386698007584,False
libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0.03270930051803589,0.054964274168014526,0.5951011090958875,0.06425362825393677,False
libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,400,0.030880190432071686,0.05343027040362358,0.5779531003454818,0.06492891162633896,False
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,0.04140125960111618,0.05230805277824402,0.7914892144166339,0.06774618476629257,False
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,0.03142697364091873,0.0508003905415535,0.618636457434559,0.06075611710548401,False
libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,0.03292781114578247,0.05532679706811905,0.5951512267236676,0.06255152076482773,False
