direction,scope,rule,episodes,failures,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
seed1000_1007_to_seed1008_1015,heldout,combined,3200,125,63,3,62,3072,0.9545454545454546,0.504,0.000975609756097561
seed1000_1007_to_seed1008_1015,heldout,lock_in,3200,125,62,3,63,3072,0.9538461538461539,0.496,0.000975609756097561
seed1000_1007_to_seed1008_1015,heldout,instability,3200,125,0,3,125,3072,0.0,0.0,0.000975609756097561
seed1000_1007_to_seed1008_1015,heldout,state_action_decoupling,3200,125,1,1,124,3074,0.5,0.008,0.0003252032520325203
seed1000_1007_to_seed1008_1015,all_target,combined,16000,564,181,56,383,15380,0.7637130801687764,0.32092198581560283,0.003627882871210158
seed1000_1007_to_seed1008_1015,all_target,lock_in,16000,564,179,38,385,15398,0.8248847926267281,0.3173758865248227,0.002461777662606893
seed1000_1007_to_seed1008_1015,all_target,instability,16000,564,1,7,563,15429,0.125,0.0017730496453900709,0.00045348535890126976
seed1000_1007_to_seed1008_1015,all_target,state_action_decoupling,16000,564,5,69,559,15367,0.06756756756756757,0.008865248226950355,0.004470069966312516
seed1000_1007_to_seed1008_1015,heldout,prefrozen_clock,3200,125,48,0,77,3075,1.0,0.384,0.0
seed1000_1007_to_seed1008_1015,heldout,posthoc_fp_bounded_clock,3200,125,48,3,77,3072,0.9411764705882353,0.384,0.000975609756097561
seed1008_1015_to_seed1000_1007,heldout,combined,3200,114,58,14,56,3072,0.8055555555555556,0.5087719298245614,0.004536616979909268
seed1008_1015_to_seed1000_1007,heldout,lock_in,3200,114,60,22,54,3064,0.7317073170731707,0.5263157894736842,0.007128969539857421
seed1008_1015_to_seed1000_1007,heldout,instability,3200,114,6,6,108,3080,0.5,0.05263157894736842,0.0019442644199611147
seed1008_1015_to_seed1000_1007,heldout,state_action_decoupling,3200,114,0,0,114,3086,0.0,0.0,0.0
seed1008_1015_to_seed1000_1007,all_target,combined,16000,532,199,101,333,15367,0.6633333333333333,0.37406015037593987,0.006529609516420998
seed1008_1015_to_seed1000_1007,all_target,lock_in,16000,532,222,126,310,15342,0.6379310344827587,0.41729323308270677,0.008145849495733127
seed1008_1015_to_seed1000_1007,all_target,instability,16000,532,11,20,521,15448,0.3548387096774194,0.020676691729323307,0.0012929919834497026
seed1008_1015_to_seed1000_1007,all_target,state_action_decoupling,16000,532,2,28,530,15440,0.06666666666666667,0.0037593984962406013,0.0018101887768295836
seed1008_1015_to_seed1000_1007,heldout,prefrozen_clock,3200,114,47,2,67,3084,0.9591836734693877,0.41228070175438597,0.0006480881399870382
seed1008_1015_to_seed1000_1007,heldout,posthoc_fp_bounded_clock,3200,114,47,11,67,3075,0.8103448275862069,0.41228070175438597,0.0035644847699287103
