direction,rule,task,threshold,success_alarm_episodes,success_episodes
seed1008_1015_to_seed1000_1007,combined,libero_goal/put_the_cream_cheese_in_the_bowl,0.9226579666137695,3,391
seed1008_1015_to_seed1000_1007,combined,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9542610049247742,3,349
seed1008_1015_to_seed1000_1007,combined,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9626219868659973,3,380
seed1008_1015_to_seed1000_1007,combined,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9740259647369385,2,249
seed1008_1015_to_seed1000_1007,combined,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9536673426628113,3,393
seed1008_1015_to_seed1000_1007,combined,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9436529278755188,3,397
seed1008_1015_to_seed1000_1007,combined,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9587438702583313,3,376
seed1008_1015_to_seed1000_1007,combined,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9702959656715393,3,386
seed1008_1015_to_seed1000_1007,lock_in,libero_goal/put_the_cream_cheese_in_the_bowl,0.9095872044563293,3,391
seed1008_1015_to_seed1000_1007,lock_in,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9138243198394775,3,349
seed1008_1015_to_seed1000_1007,lock_in,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9602530002593994,3,380
seed1008_1015_to_seed1000_1007,lock_in,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9651415944099426,2,249
seed1008_1015_to_seed1000_1007,lock_in,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.9536673426628113,3,393
seed1008_1015_to_seed1000_1007,lock_in,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9274966716766357,3,397
seed1008_1015_to_seed1000_1007,lock_in,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9135375022888184,3,376
seed1008_1015_to_seed1000_1007,lock_in,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9299378395080566,3,386
seed1008_1015_to_seed1000_1007,instability,libero_goal/put_the_cream_cheese_in_the_bowl,0.8552818298339844,3,391
seed1008_1015_to_seed1000_1007,instability,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.822015106678009,3,349
seed1008_1015_to_seed1000_1007,instability,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.877274751663208,3,380
seed1008_1015_to_seed1000_1007,instability,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9393802285194397,2,249
seed1008_1015_to_seed1000_1007,instability,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.90485680103302,3,393
seed1008_1015_to_seed1000_1007,instability,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.9263648390769958,3,397
seed1008_1015_to_seed1000_1007,instability,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.8487698435783386,3,376
seed1008_1015_to_seed1000_1007,instability,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.7949178814888,3,386
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_goal/put_the_cream_cheese_in_the_bowl,0.9096981883049011,3,391
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0.9533954858779907,3,349
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,0.9477814435958862,3,380
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0.9740259647369385,1,249
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,0.7565024495124817,3,393
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,0.8738508820533752,3,397
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0.9587438702583313,3,376
seed1008_1015_to_seed1000_1007,state_action_decoupling,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0.9702959656715393,3,386
