representation,family,direction,width,confirmations,quantile,risk_n,timely_n,tp,fp,recall,timely_fpr,precision,late_recall,persistent_recall,risk_task_macro_recall,risk_tasks_detected,risk_tasks,detected_risk_lead_median,early4_recall,pareto
L12,mobility,low,1,4,0.7,487,14313,317,43,0.6509240246406571,0.0030042618598476907,0.8805555555555555,0.6,0.6542669584245077,0.5942590433099452,28,32,9.0,0.4948665297741273,True
all_median,mobility,low,2,4,0.75,487,14313,322,47,0.6611909650924025,0.0032837280793684065,0.8726287262872628,0.6333333333333333,0.6630196936542669,0.6248379686558476,28,32,8.0,0.5318275154004107,True
all_median,mobility,low,4,4,0.8,487,14313,327,51,0.6714579055441479,0.0035631942988891218,0.8650793650793651,0.6333333333333333,0.6739606126914661,0.6736464212904505,29,32,8.0,0.5359342915811088,True
L12,mobility,low,1,4,0.6,487,14313,330,52,0.6776180698151951,0.0036330608537693005,0.8638743455497382,0.6,0.6827133479212254,0.6023159825789673,28,32,8.0,0.5277207392197125,True
L12,mobility,low,2,4,0.75,487,14313,334,53,0.6858316221765913,0.0037029274086494797,0.8630490956072352,0.6333333333333333,0.6892778993435449,0.6495485418639563,28,32,8.0,0.5420944558521561,True
L12,mobility,low,2,4,0.7,487,14313,346,60,0.7104722792607803,0.004191993292810731,0.8522167487684729,0.6333333333333333,0.7155361050328227,0.6730208802140121,28,32,8.0,0.5667351129363449,True
all_median,mobility,low,4,4,0.75,487,14313,349,61,0.7166324435318275,0.00426185984769091,0.8512195121951219,0.6333333333333333,0.7221006564551422,0.697573764696118,29,32,8.0,0.5728952772073922,True
all_median,mobility,low,4,4,0.7,487,14313,355,70,0.728952772073922,0.00489065884161252,0.8352941176470589,0.6666666666666666,0.7330415754923414,0.705490273374918,29,32,8.0,0.5831622176591376,True
back_min,mobility,low,2,4,0.6,487,14313,357,84,0.7330595482546202,0.005868790609935024,0.8095238095238095,0.6333333333333333,0.7396061269146609,0.6877076317262111,29,32,8.0,0.5975359342915811,True
back_median,mobility,low,2,4,0.6,487,14313,361,92,0.7412731006160165,0.006427723048976455,0.7969094922737306,0.6333333333333333,0.7483588621444202,0.6834143355661304,28,32,9.0,0.6160164271047228,True
back_median,mobility,low,2,4,0.5,487,14313,365,107,0.7494866529774127,0.007475721372179138,0.7733050847457628,0.6333333333333333,0.7571115973741794,0.702098889237097,28,32,9.0,0.6242299794661191,True
back_min,mobility,low,4,4,0.7,487,14313,369,114,0.757700205338809,0.007964787256340389,0.7639751552795031,0.6666666666666666,0.7636761487964989,0.7369006368465493,29,32,8.0,0.6139630390143738,True
L14,mobility,low,2,4,0.5,487,14313,370,126,0.7597535934291582,0.008803185914902536,0.7459677419354839,0.6666666666666666,0.7658643326039387,0.7356100968461938,29,32,9.0,0.6344969199178645,True
L14,mobility,low,4,4,0.75,487,14313,371,138,0.7618069815195072,0.009641584573464682,0.7288801571709234,0.7,0.7658643326039387,0.7504999930220556,29,32,9.0,0.6180698151950719,True
back_min,mobility,low,4,4,0.6,487,14313,377,154,0.7741273100616016,0.010759449451547545,0.7099811676082862,0.7,0.7789934354485777,0.7427774845522646,29,32,9.0,0.6324435318275154,True
L14,mobility,low,4,4,0.7,487,14313,378,156,0.7761806981519507,0.010899182561307902,0.7078651685393258,0.7,0.7811816192560175,0.7570773151564429,29,32,9.0,0.6283367556468172,True
back_min,mobility,low,4,4,0.5,487,14313,383,207,0.7864476386036962,0.014462376860197024,0.6491525423728813,0.7,0.7921225382932167,0.7584564500613931,29,32,10.0,0.6468172484599589,True
L14,mobility,low,4,4,0.6,487,14313,387,227,0.7946611909650924,0.0158597079578006,0.6302931596091205,0.7,0.8008752735229759,0.784446088752838,29,32,9.0,0.6468172484599589,True
L14,mobility,low,4,4,0.5,487,14313,393,320,0.8069815195071869,0.022357297561657236,0.5511921458625526,0.7,0.8140043763676149,0.7920418444464198,29,32,10.0,0.6570841889117043,True
back_median,mobility,low,1,2,0.6,487,14313,394,596,0.8090349075975359,0.0416404667085866,0.397979797979798,0.6666666666666666,0.8183807439824945,0.7743546969019353,29,32,11.0,0.7330595482546202,True
L14,mobility,low,2,2,0.75,487,14313,396,675,0.813141683778234,0.04715992454412073,0.3697478991596639,0.7,0.8205689277899344,0.8114818160753132,29,32,11.0,0.728952772073922,True
back_min,mobility,low,2,2,0.7,487,14313,398,772,0.8172484599589322,0.053936980367498076,0.3401709401709402,0.6666666666666666,0.8271334792122538,0.7869367732558139,29,32,11.0,0.7433264887063655,True
back_median,mobility,low,2,2,0.7,487,14313,400,809,0.8213552361396304,0.056522042898064694,0.3308519437551696,0.6666666666666666,0.8315098468271335,0.7955439522244692,29,32,11.0,0.7515400410677618,True
L14,mobility,low,2,2,0.7,487,14313,404,878,0.8295687885010267,0.06134283518479704,0.31513260530421217,0.7,0.838074398249453,0.8132934102782119,29,32,12.0,0.7494866529774127,True
back_mean,mobility,low,4,2,0.7,487,14313,414,1226,0.8501026694045175,0.08565639628309928,0.2524390243902439,0.7,0.8599562363238512,0.8440170849857086,30,32,10.0,0.7453798767967146,True
back_median,mobility,low,2,2,0.6,487,14313,415,1291,0.8521560574948666,0.0901977223503109,0.24325908558030482,0.7,0.862144420131291,0.8106837037772643,29,32,12.0,0.7864476386036962,True
back_median,mobility,low,2,2,0.5,487,14313,424,1894,0.8706365503080082,0.13232725494305875,0.182916307161346,0.7,0.8818380743982495,0.8191173696647975,29,32,12.0,0.8028747433264887,True
back_mean,mobility,low,4,2,0.5,487,14313,428,2772,0.8788501026694046,0.1936700901278558,0.13375,0.7333333333333333,0.888402625820569,0.8546149110726651,30,32,12.0,0.7987679671457906,True
back_median,mobility,low,4,2,0.5,487,14313,429,2788,0.8809034907597536,0.19478795500593865,0.13335405657444824,0.8,0.8862144420131292,0.8541749524805327,30,32,13.0,0.811088295687885,True
L14,mobility,low,1,1,0.7,487,14313,431,4026,0.8850102669404517,0.2812827499476001,0.09670181736594122,0.7666666666666667,0.8927789934354485,0.8755707328776716,30,32,18.0,0.8521560574948666,True
L14,mobility,low,1,1,0.6,487,14313,446,5482,0.9158110882956879,0.38300845385314053,0.0752361673414305,0.8333333333333334,0.9212253829321663,0.8827486346018323,30,32,19.0,0.8870636550308009,True
L15,mobility,low,1,1,0.5,487,14313,452,6927,0.9281314168377823,0.48396562565499895,0.061254912589781815,0.8666666666666667,0.9321663019693655,0.8736330219536109,30,32,20.0,0.9014373716632443,True
