representation,family,direction,width,confirmations,quantile,risk_n,timely_n,tp,fp,recall,timely_fpr,precision,late_recall,persistent_recall,risk_task_macro_recall,risk_tasks_detected,risk_tasks,detected_risk_lead_median,early4_recall,pareto
back_min,mobility,low,4,4,0.7,487,14313,369,114,0.757700205338809,0.007964787256340389,0.7639751552795031,0.6666666666666666,0.7636761487964989,0.7369006368465493,29,32,8.0,0.6139630390143738,True
back_median,mobility,low,2,4,0.5,487,14313,365,107,0.7494866529774127,0.007475721372179138,0.7733050847457628,0.6333333333333333,0.7571115973741794,0.702098889237097,28,32,9.0,0.6242299794661191,True
back_median,mobility,low,4,4,0.75,487,14313,364,116,0.7474332648870636,0.008104520366100747,0.7583333333333333,0.6666666666666666,0.7527352297592997,0.7282426760636517,29,32,8.0,0.6057494866529775,False
back_mean,mobility,low,4,4,0.75,487,14313,363,107,0.7453798767967146,0.007475721372179138,0.7723404255319148,0.6666666666666666,0.75054704595186,0.7144033903493658,29,32,8.0,0.6016427104722792,False
back_min,mobility,low,2,4,0.5,487,14313,363,111,0.7453798767967146,0.007755187591699853,0.7658227848101266,0.6333333333333333,0.7527352297592997,0.6952198911216858,29,32,8.0,0.6139630390143738,False
back_median,mobility,low,2,4,0.6,487,14313,361,92,0.7412731006160165,0.006427723048976455,0.7969094922737306,0.6333333333333333,0.7483588621444202,0.6834143355661304,28,32,9.0,0.6160164271047228,True
L14,mobility,low,2,4,0.6,487,14313,361,106,0.7412731006160165,0.007405854817298959,0.7730192719486081,0.6666666666666666,0.7461706783369803,0.7071936159840608,28,32,9.0,0.6180698151950719,False
L12,mobility,low,4,4,0.7,487,14313,361,113,0.7412731006160165,0.00789492070146021,0.7616033755274262,0.6666666666666666,0.7461706783369803,0.7225024946141047,29,32,8.0,0.5934291581108829,False
L12,mobility,low,2,4,0.5,487,14313,359,92,0.7371663244353183,0.006427723048976455,0.7960088691796009,0.6666666666666666,0.7417943107221007,0.7004954482184713,29,32,9.0,0.6036960985626283,False
all_mean,mobility,low,4,4,0.6,487,14313,359,102,0.7371663244353183,0.0071263885977782436,0.7787418655097614,0.6333333333333333,0.7439824945295405,0.7116518001696602,29,32,8.0,0.5954825462012321,False
back_mean,mobility,low,2,4,0.5,487,14313,359,116,0.7371663244353183,0.008104520366100747,0.7557894736842106,0.6333333333333333,0.7439824945295405,0.6749354276986355,28,32,9.0,0.6160164271047228,False
L13,mobility,low,4,4,0.75,487,14313,359,117,0.7371663244353183,0.008174386920980926,0.7542016806722689,0.6333333333333333,0.7439824945295405,0.7103201129194315,29,32,8.0,0.5934291581108829,False
all_median,mobility,low,4,4,0.6,487,14313,358,94,0.7351129363449692,0.006567456158736813,0.7920353982300885,0.6666666666666666,0.7396061269146609,0.7103497168363269,29,32,9.0,0.5872689938398358,False
back_min,mobility,low,4,4,0.75,487,14313,358,100,0.7351129363449692,0.006986655488017886,0.7816593886462883,0.6666666666666666,0.7396061269146609,0.7207534435444014,29,32,8.5,0.5954825462012321,False
back_min,mobility,low,2,4,0.6,487,14313,357,84,0.7330595482546202,0.005868790609935024,0.8095238095238095,0.6333333333333333,0.7396061269146609,0.6877076317262111,29,32,8.0,0.5975359342915811,True
back_mean,mobility,low,2,4,0.6,487,14313,357,95,0.7330595482546202,0.006637322713616991,0.7898230088495575,0.6333333333333333,0.7396061269146609,0.6724768355661304,28,32,9.0,0.6098562628336756,False
L12,mobility,low,4,4,0.75,487,14313,356,88,0.731006160164271,0.00614825682945574,0.8018018018018018,0.6333333333333333,0.737417943107221,0.7153127301213511,29,32,8.0,0.5811088295687885,False
all_median,mobility,low,4,4,0.7,487,14313,355,70,0.728952772073922,0.00489065884161252,0.8352941176470589,0.6666666666666666,0.7330415754923414,0.705490273374918,29,32,8.0,0.5831622176591376,True
L15,mobility,low,4,4,0.75,487,14313,355,116,0.728952772073922,0.008104520366100747,0.7537154989384289,0.6333333333333333,0.7352297592997812,0.6942261611198037,29,32,8.0,0.5626283367556468,False
L12,mobility,low,2,4,0.6,487,14313,354,70,0.7268993839835729,0.00489065884161252,0.8349056603773585,0.6333333333333333,0.7330415754923414,0.6864207547959518,29,32,8.5,0.5893223819301848,False
