representation,family,direction,width,confirmations,quantile,risk_n,timely_n,tp,fp,recall,timely_fpr,precision,late_recall,persistent_recall,risk_task_macro_recall,risk_tasks_detected,risk_tasks,detected_risk_lead_median,early4_recall,pareto
L12,mobility,low,2,8,0.5,487,14313,245,12,0.5030800821355236,0.0008383986585621463,0.953307392996109,0.5666666666666667,0.4989059080962801,0.4660336272966659,24,32,10.0,0.31211498973305957,True
all_median,mobility,low,2,6,0.75,487,14313,264,13,0.5420944558521561,0.0009082652134423251,0.9530685920577617,0.5666666666666667,0.5404814004376368,0.5037205543979785,27,32,9.5,0.36960985626283366,True
back_median,mobility,low,2,8,0.7,487,14313,244,13,0.5010266940451745,0.0009082652134423251,0.9494163424124513,0.5666666666666667,0.49671772428884026,0.4442385994656559,23,32,11.0,0.30390143737166325,False
all_mean,mobility,low,2,8,0.5,487,14313,244,13,0.5010266940451745,0.0009082652134423251,0.9494163424124513,0.5,0.5010940919037199,0.43710418724687816,23,32,10.0,0.3059548254620123,False
all_median,mobility,low,2,6,0.7,487,14313,271,15,0.5564681724845996,0.0010479983232026828,0.9475524475524476,0.5666666666666667,0.5557986870897156,0.5071782606410108,27,32,10.0,0.3798767967145791,True
all_mean,mobility,low,4,8,0.75,487,14313,246,14,0.5051334702258727,0.000978131768322504,0.9461538461538461,0.5333333333333333,0.5032822757111597,0.45846027831764313,23,32,10.0,0.3141683778234086,False
all_median,mobility,low,4,8,0.75,487,14313,245,14,0.5030800821355236,0.000978131768322504,0.9459459459459459,0.5333333333333333,0.5010940919037199,0.45668702250368964,23,32,10.0,0.3162217659137577,False
back_min,mobility,low,2,8,0.5,487,14313,253,15,0.5195071868583162,0.0010479983232026828,0.9440298507462687,0.5666666666666667,0.5164113785557987,0.451780785096876,23,32,10.0,0.31006160164271046,False
all_min,mobility,low,4,4,0.85,487,14313,268,16,0.5503080082135524,0.0011178648780828617,0.9436619718309859,0.5666666666666667,0.5492341356673961,0.5805997950775243,28,32,7.0,0.39014373716632444,False
all_mean,mobility,low,2,6,0.8,487,14313,250,15,0.5133470225872689,0.0010479983232026828,0.9433962264150944,0.5333333333333333,0.5120350109409191,0.4908844484082767,26,32,7.0,0.3490759753593429,False
back_min,mobility,low,2,8,0.6,487,14313,248,15,0.5092402464065708,0.0010479983232026828,0.9429657794676806,0.5666666666666667,0.5054704595185996,0.44351040963900057,22,32,10.5,0.31006160164271046,False
L14,mobility,low,2,8,0.7,487,14313,245,15,0.5030800821355236,0.0010479983232026828,0.9423076923076923,0.5666666666666667,0.4989059080962801,0.4465228256561321,24,32,11.0,0.30390143737166325,False
L12,mobility,low,2,6,0.75,487,14313,261,16,0.5359342915811088,0.0011178648780828617,0.9422382671480144,0.6,0.5317286652078774,0.5187643737279064,27,32,12.0,0.3757700205338809,False
L12,mobility,low,2,6,0.8,487,14313,244,15,0.5010266940451745,0.0010479983232026828,0.9420849420849421,0.5666666666666667,0.49671772428884026,0.5012870044032871,27,32,10.0,0.351129363449692,False
all_min,mobility,low,4,6,0.6,487,14313,260,16,0.5338809034907598,0.0011178648780828617,0.9420289855072463,0.5333333333333333,0.5339168490153173,0.5227672846995042,28,32,10.0,0.33059548254620125,False
L12,mobility,low,4,8,0.75,487,14313,253,16,0.5195071868583162,0.0011178648780828617,0.9405204460966543,0.5333333333333333,0.5185995623632386,0.4759255107404326,23,32,10.0,0.3182751540041068,False
all_min,mobility,low,4,6,0.7,487,14313,253,16,0.5195071868583162,0.0011178648780828617,0.9405204460966543,0.5333333333333333,0.5185995623632386,0.5116233674754239,27,32,10.0,0.3264887063655031,False
all_median,mobility,low,4,8,0.6,487,14313,250,16,0.5133470225872689,0.0011178648780828617,0.9398496240601504,0.5333333333333333,0.5120350109409191,0.4603666652404608,23,32,10.0,0.3264887063655031,False
all_median,mobility,low,4,6,0.8,487,14313,281,18,0.5770020533880903,0.0012575979878432194,0.939799331103679,0.6,0.5754923413566739,0.5712808543877694,28,32,8.0,0.3490759753593429,True
all_mean,mobility,low,4,8,0.7,487,14313,248,16,0.5092402464065708,0.0011178648780828617,0.9393939393939394,0.5333333333333333,0.5076586433260394,0.459413471779052,23,32,10.0,0.3182751540041068,False
