method,tp,fp,failure,success,tp_by14,before_event,event
knn10,441.0,847.0,491.0,13509.0,160.0,12.0,175.0
knn10_cross_task,356.0,510.0,491.0,13509.0,67.0,1.0,175.0
knn10_cross_task_or_v82_frozen,445.0,553.0,491.0,13509.0,80.0,2.0,175.0
knn10_cross_task_or_v8_frozen,438.0,546.0,491.0,13509.0,77.0,2.0,175.0
knn12_cross_task,357.0,521.0,491.0,13509.0,84.0,1.0,175.0
knn12_cross_task_or_v82_frozen,443.0,552.0,491.0,13509.0,96.0,2.0,175.0
knn12_cross_task_or_v8_frozen,437.0,551.0,491.0,13509.0,93.0,2.0,175.0
knn12_v8,447.0,987.0,491.0,13509.0,194.0,21.0,175.0
v82_frozen,413.0,72.0,491.0,13509.0,29.0,2.0,175.0
v8_frozen,401.0,64.0,491.0,13509.0,22.0,2.0,175.0
