method,events,before,at_event,after,missed
knn10,175,12,11,133,19
knn10_cross_task,175,1,1,122,51
knn10_cross_task_or_v82_frozen,175,2,2,154,17
knn10_cross_task_or_v8_frozen,175,2,2,153,18
knn12_cross_task,175,1,5,126,43
knn12_cross_task_or_v82_frozen,175,2,5,152,16
knn12_cross_task_or_v8_frozen,175,2,5,151,17
knn12_v8,175,21,10,136,8
v82_frozen,175,2,1,141,31
v8_frozen,175,2,1,140,32
