sample,fold,suite,scope,method,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query,tp_lead0,recall_lead0,legacy_filtered_fp_lead0,tp_lead2,recall_lead2,legacy_filtered_fp_lead2,tp_lead4,recall_lead4,legacy_filtered_fp_lead4,tp_lead8,recall_lead8,legacy_filtered_fp_lead8,tp_lead12,recall_lead12,legacy_filtered_fp_lead12,tp_lead16,recall_lead16,legacy_filtered_fp_lead16,tp_lead20,recall_lead20,legacy_filtered_fp_lead20,recall_by_q7,fpr_by_q7,recall_by_q10,fpr_by_q10,recall_by_q14,fpr_by_q14,recall_by_q21,fpr_by_q21,recall_by_q29,fpr_by_q29,recall_by_q39,fpr_by_q39,recall_by_q51,fpr_by_q51
all_test_rows,libero_goal_20260907,libero_goal,seen,knn10_cross_task,560,12,548,11,0,0.9166666666666666,0.0,1.0,0.9583333333333333,0.6611111111111111,16.0,11,0.9166666666666666,0,11,0.9166666666666666,0,10,0.8333333333333334,0,10,0.8333333333333334,0,7,0.5833333333333334,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0
all_test_rows,libero_goal_20260907,libero_goal,unseen,knn10_cross_task,1200,78,1122,30,2,0.38461538461538464,0.0017825311942959,0.9375,0.6914164267105444,0.9457264957264957,25.5,30,0.38461538461538464,2,26,0.3333333333333333,2,18,0.23076923076923078,2,7,0.08974358974358974,1,2,0.02564102564102564,1,1,0.01282051282051282,1,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.00089126559714795,0.08974358974358974,0.0017825311942959,0.38461538461538464,0.0017825311942959,0.38461538461538464,0.0017825311942959,0.38461538461538464,0.0017825311942959
all_test_rows,libero_goal_20260907,libero_goal,seen,knn12_cross_task,560,12,548,11,0,0.9166666666666666,0.0,1.0,0.9583333333333333,0.6555555555555556,16.0,11,0.9166666666666666,0,11,0.9166666666666666,0,11,0.9166666666666666,0,10,0.8333333333333334,0,7,0.5833333333333334,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0
all_test_rows,libero_goal_20260907,libero_goal,unseen,knn12_cross_task,1200,78,1122,33,2,0.4230769230769231,0.0017825311942959,0.9428571428571428,0.7106471959413136,0.9264957264957266,26.0,33,0.4230769230769231,2,27,0.34615384615384615,2,20,0.2564102564102564,2,12,0.15384615384615385,1,7,0.08974358974358974,0,1,0.01282051282051282,0,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,0.14102564102564102,0.0017825311942959,0.4230769230769231,0.0017825311942959,0.4230769230769231,0.0017825311942959,0.4230769230769231,0.0017825311942959
all_test_rows,libero_goal_20260907,libero_goal,seen,knn10,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.488888888888889,13.0,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,11,0.9166666666666666,0,8,0.6666666666666666,0,0,0.0,0,0.0,0.0,0.0,0.0018248175182481751,0.6666666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
all_test_rows,libero_goal_20260907,libero_goal,unseen,knn10,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901,0.6457264957264959,17.0,77,0.9871794871794872,21,76,0.9743589743589743,12,72,0.9230769230769231,11,69,0.8846153846153846,4,47,0.6025641025641025,2,16,0.20512820512820512,1,1,0.01282051282051282,0,0.0,0.0,0.01282051282051282,0.0017825311942959,0.20512820512820512,0.00980392156862745,0.6923076923076923,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695
all_test_rows,libero_goal_20260907,libero_goal,seen,knn12_v8,560,12,548,12,3,1.0,0.005474452554744526,0.8,0.9972627737226277,0.41111111111111115,10.5,12,1.0,3,12,1.0,3,12,1.0,3,12,1.0,1,12,1.0,0,11,0.9166666666666666,0,6,0.5,0,0.0,0.0,0.5,0.0018248175182481751,0.9166666666666666,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526,1.0,0.005474452554744526
all_test_rows,libero_goal_20260907,libero_goal,unseen,knn12_v8,1200,78,1122,77,21,0.9871794871794872,0.01871657754010695,0.7857142857142857,0.9842314548196901,0.6316239316239317,17.0,77,0.9871794871794872,21,75,0.9615384615384616,11,71,0.9102564102564102,4,60,0.7692307692307693,2,50,0.6410256410256411,2,21,0.2692307692307692,1,1,0.01282051282051282,0,0.0,0.0,0.01282051282051282,0.0,0.2692307692307692,0.00267379679144385,0.6666666666666666,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695,0.9871794871794872,0.01871657754010695
historical_coverage,libero_goal_20260907,libero_goal,seen,knn10_cross_task,560,12,548,11,0,0.9166666666666666,0.0,1.0,0.9583333333333333,0.6611111111111111,16.0,11,0.9166666666666666,0,11,0.9166666666666666,0,10,0.8333333333333334,0,10,0.8333333333333334,0,7,0.5833333333333334,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0
historical_coverage,libero_goal_20260907,libero_goal,unseen,knn10_cross_task,1200,78,1122,30,2,0.38461538461538464,0.0017825311942959,0.9375,0.6914164267105444,0.9457264957264957,25.5,30,0.38461538461538464,2,26,0.3333333333333333,2,18,0.23076923076923078,2,7,0.08974358974358974,1,2,0.02564102564102564,1,1,0.01282051282051282,1,0,0.0,0,0.0,0.0,0.0,0.0,0.01282051282051282,0.00089126559714795,0.08974358974358974,0.0017825311942959,0.38461538461538464,0.0017825311942959,0.38461538461538464,0.0017825311942959,0.38461538461538464,0.0017825311942959
