fold,method,calibration,alpha,threshold,original_threshold,rank,units
libero_goal_20260907,knn10_cross_task,episode,0.01,4.398680210113525,1.8209435939788818,554,558
libero_goal_20260907,knn10_cross_task,episode,0.03,3.8538050651550293,1.60194993019104,543,558
libero_goal_20260907,knn10_cross_task,episode,0.05,3.562497138977051,1.4257900714874268,532,558
libero_goal_20260907,knn10_cross_task,episode,0.1,2.918808937072754,1.213172197341919,504,558
libero_goal_20260907,knn10_cross_task,episode,0.15,1.8438562154769897,1.1383233070373535,476,558
libero_goal_20260907,knn10_cross_task,episode,0.2,1.575926661491394,1.055996060371399,448,558
libero_goal_20260907,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260907,knn10_cross_task,task_init,0.03,4.401539325714111,1.9078218936920166,69,70
libero_goal_20260907,knn10_cross_task,task_init,0.05,4.335355758666992,1.8795933723449707,68,70
libero_goal_20260907,knn10_cross_task,task_init,0.1,3.751384973526001,1.5540238618850708,64,70
libero_goal_20260907,knn10_cross_task,task_init,0.15,2.91867995262146,1.3931410312652588,61,70
libero_goal_20260907,knn10_cross_task,task_init,0.2,1.8438562154769897,1.3264391422271729,57,70
libero_goal_20260907,knn12_cross_task,episode,0.01,5.112616539001465,2.5393614768981934,554,558
libero_goal_20260907,knn12_cross_task,episode,0.03,4.734489917755127,2.1311135292053223,543,558
libero_goal_20260907,knn12_cross_task,episode,0.05,4.435657501220703,1.7985812425613403,532,558
libero_goal_20260907,knn12_cross_task,episode,0.1,3.9571025371551514,1.5666698217391968,504,558
libero_goal_20260907,knn12_cross_task,episode,0.15,3.0518674850463867,1.459022879600525,476,558
libero_goal_20260907,knn12_cross_task,episode,0.2,2.216263771057129,1.4031087160110474,448,558
libero_goal_20260907,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260907,knn12_cross_task,task_init,0.03,5.322368144989014,3.0424420833587646,69,70
libero_goal_20260907,knn12_cross_task,task_init,0.05,5.079430103302002,2.3154520988464355,68,70
libero_goal_20260907,knn12_cross_task,task_init,0.1,4.4486188888549805,2.001551628112793,64,70
libero_goal_20260907,knn12_cross_task,task_init,0.15,4.0556135177612305,1.8358291387557983,61,70
libero_goal_20260907,knn12_cross_task,task_init,0.2,2.642000913619995,1.7320469617843628,57,70
libero_goal_20260908,knn10_cross_task,episode,0.01,4.430624008178711,2.095604419708252,546,550
libero_goal_20260908,knn10_cross_task,episode,0.03,3.711061477661133,1.709343433380127,535,550
libero_goal_20260908,knn10_cross_task,episode,0.05,3.3945910930633545,1.5115138292312622,524,550
libero_goal_20260908,knn10_cross_task,episode,0.1,2.989809513092041,1.3281508684158325,496,550
libero_goal_20260908,knn10_cross_task,episode,0.15,2.530787706375122,1.240251064300537,469,550
libero_goal_20260908,knn10_cross_task,episode,0.2,2.276052951812744,1.1697783470153809,441,550
libero_goal_20260908,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260908,knn10_cross_task,task_init,0.03,4.430624008178711,2.2631239891052246,69,70
libero_goal_20260908,knn10_cross_task,task_init,0.05,4.336833477020264,2.2302961349487305,68,70
libero_goal_20260908,knn10_cross_task,task_init,0.1,3.711061477661133,1.709343433380127,64,70
libero_goal_20260908,knn10_cross_task,task_init,0.15,3.3945910930633545,1.4723867177963257,61,70
libero_goal_20260908,knn10_cross_task,task_init,0.2,2.6021552085876465,1.3807164430618286,57,70
libero_goal_20260908,knn12_cross_task,episode,0.01,4.798402786254883,2.7284960746765137,546,550
libero_goal_20260908,knn12_cross_task,episode,0.03,4.471441268920898,2.074270248413086,535,550
libero_goal_20260908,knn12_cross_task,episode,0.05,4.187266826629639,1.8060877323150635,524,550
libero_goal_20260908,knn12_cross_task,episode,0.1,3.660898447036743,1.5689330101013184,496,550
libero_goal_20260908,knn12_cross_task,episode,0.15,3.173638343811035,1.4668148756027222,469,550
libero_goal_20260908,knn12_cross_task,episode,0.2,2.835547685623169,1.3980143070220947,441,550
libero_goal_20260908,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260908,knn12_cross_task,task_init,0.03,4.798402786254883,2.866452932357788,69,70
libero_goal_20260908,knn12_cross_task,task_init,0.05,4.759761333465576,2.789294958114624,68,70
libero_goal_20260908,knn12_cross_task,task_init,0.1,4.423954963684082,1.9600886106491089,64,70
libero_goal_20260908,knn12_cross_task,task_init,0.15,3.7104973793029785,1.8257099390029907,61,70
libero_goal_20260908,knn12_cross_task,task_init,0.2,3.1817572116851807,1.6625423431396484,57,70
libero_goal_20260909,knn10_cross_task,episode,0.01,3.5677685737609863,2.374406337738037,538,542
libero_goal_20260909,knn10_cross_task,episode,0.03,3.052720785140991,2.140929698944092,527,542
libero_goal_20260909,knn10_cross_task,episode,0.05,2.9315099716186523,1.9600365161895752,516,542
libero_goal_20260909,knn10_cross_task,episode,0.1,2.651764392852783,1.7971737384796143,489,542
libero_goal_20260909,knn10_cross_task,episode,0.15,2.4931530952453613,1.6997096538543701,462,542
libero_goal_20260909,knn10_cross_task,episode,0.2,2.2999870777130127,1.6142371892929077,435,542
libero_goal_20260909,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260909,knn10_cross_task,task_init,0.03,4.081697463989258,2.5682194232940674,69,70
libero_goal_20260909,knn10_cross_task,task_init,0.05,3.486509323120117,2.4570610523223877,68,70
libero_goal_20260909,knn10_cross_task,task_init,0.1,3.129918098449707,2.140929698944092,64,70
libero_goal_20260909,knn10_cross_task,task_init,0.15,2.9649336338043213,1.9020664691925049,61,70
libero_goal_20260909,knn10_cross_task,task_init,0.2,2.723639965057373,1.865497350692749,57,70
libero_goal_20260909,knn12_cross_task,episode,0.01,4.088248252868652,2.662416696548462,538,542
libero_goal_20260909,knn12_cross_task,episode,0.03,3.7369632720947266,2.3544695377349854,527,542
libero_goal_20260909,knn12_cross_task,episode,0.05,3.516777992248535,2.240780830383301,516,542
libero_goal_20260909,knn12_cross_task,episode,0.1,3.1841018199920654,2.065528631210327,489,542
libero_goal_20260909,knn12_cross_task,episode,0.15,3.0114498138427734,1.9583736658096313,462,542
libero_goal_20260909,knn12_cross_task,episode,0.2,2.870556354522705,1.8740729093551636,435,542
libero_goal_20260909,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_goal_20260909,knn12_cross_task,task_init,0.03,4.390347480773926,2.747185468673706,69,70
libero_goal_20260909,knn12_cross_task,task_init,0.05,4.350717544555664,2.694044828414917,68,70
libero_goal_20260909,knn12_cross_task,task_init,0.1,3.625572919845581,2.4100003242492676,64,70
libero_goal_20260909,knn12_cross_task,task_init,0.15,3.4318227767944336,2.241631507873535,61,70
libero_goal_20260909,knn12_cross_task,task_init,0.2,3.2834653854370117,2.1720967292785645,57,70
libero_long_20260907,knn10_cross_task,episode,0.01,4.826430797576904,3.7188374996185303,516,520
libero_long_20260907,knn10_cross_task,episode,0.03,4.011684894561768,2.4972848892211914,506,520
libero_long_20260907,knn10_cross_task,episode,0.05,3.711442232131958,2.2644810676574707,495,520
libero_long_20260907,knn10_cross_task,episode,0.1,3.1689655780792236,1.9490835666656494,469,520
libero_long_20260907,knn10_cross_task,episode,0.15,2.7283151149749756,1.8311376571655273,443,520
libero_long_20260907,knn10_cross_task,episode,0.2,2.316603183746338,1.7509188652038574,417,520
libero_long_20260907,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_long_20260907,knn10_cross_task,task_init,0.03,6.402498722076416,4.568849563598633,69,70
libero_long_20260907,knn10_cross_task,task_init,0.05,5.187472343444824,4.067817211151123,68,70
libero_long_20260907,knn10_cross_task,task_init,0.1,4.270954608917236,2.6674742698669434,64,70
libero_long_20260907,knn10_cross_task,task_init,0.15,3.724923610687256,2.4972848892211914,61,70
libero_long_20260907,knn10_cross_task,task_init,0.2,3.5432162284851074,2.181267738342285,57,70
libero_long_20260907,knn12_cross_task,episode,0.01,5.413098335266113,4.356697082519531,516,520
libero_long_20260907,knn12_cross_task,episode,0.03,4.704925060272217,3.084855794906616,506,520
libero_long_20260907,knn12_cross_task,episode,0.05,4.37465238571167,2.7351748943328857,495,520
libero_long_20260907,knn12_cross_task,episode,0.1,3.946291208267212,2.4071810245513916,469,520
libero_long_20260907,knn12_cross_task,episode,0.15,3.436413049697876,2.2453792095184326,443,520
libero_long_20260907,knn12_cross_task,episode,0.2,2.9456584453582764,2.164107322692871,417,520
libero_long_20260907,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_long_20260907,knn12_cross_task,task_init,0.03,6.798981666564941,4.718404293060303,69,70
libero_long_20260907,knn12_cross_task,task_init,0.05,5.622528553009033,4.680480003356934,68,70
libero_long_20260907,knn12_cross_task,task_init,0.1,5.050989151000977,3.9375410079956055,64,70
libero_long_20260907,knn12_cross_task,task_init,0.15,4.634768009185791,2.8697452545166016,61,70
libero_long_20260907,knn12_cross_task,task_init,0.2,4.302028656005859,2.7351748943328857,57,70
libero_long_20260908,knn10_cross_task,episode,0.01,4.3179030418396,3.4687318801879883,537,541
libero_long_20260908,knn10_cross_task,episode,0.03,3.5636367797851562,2.6383228302001953,526,541
libero_long_20260908,knn10_cross_task,episode,0.05,3.052809000015259,2.3764140605926514,515,541
libero_long_20260908,knn10_cross_task,episode,0.1,2.693837881088257,2.0724456310272217,488,541
libero_long_20260908,knn10_cross_task,episode,0.15,2.526993989944458,1.9198945760726929,461,541
libero_long_20260908,knn10_cross_task,episode,0.2,2.378396511077881,1.8213988542556763,434,541
libero_long_20260908,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_long_20260908,knn10_cross_task,task_init,0.03,5.0048065185546875,3.8145828247070312,69,70
libero_long_20260908,knn10_cross_task,task_init,0.05,4.304267883300781,3.5915188789367676,68,70
libero_long_20260908,knn10_cross_task,task_init,0.1,3.044015645980835,2.7559032440185547,64,70
libero_long_20260908,knn10_cross_task,task_init,0.15,2.9886112213134766,2.4591596126556396,61,70
libero_long_20260908,knn10_cross_task,task_init,0.2,2.834881067276001,2.3127024173736572,57,70
libero_long_20260908,knn12_cross_task,episode,0.01,5.376073360443115,4.45980978012085,537,541
libero_long_20260908,knn12_cross_task,episode,0.03,4.364111423492432,3.1951777935028076,526,541
libero_long_20260908,knn12_cross_task,episode,0.05,4.012805938720703,2.931619167327881,515,541
libero_long_20260908,knn12_cross_task,episode,0.1,3.418846845626831,2.582937717437744,488,541
libero_long_20260908,knn12_cross_task,episode,0.15,3.2201907634735107,2.3523993492126465,461,541
libero_long_20260908,knn12_cross_task,episode,0.2,3.0617520809173584,2.2361509799957275,434,541
libero_long_20260908,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_long_20260908,knn12_cross_task,task_init,0.03,5.77117395401001,5.231765270233154,69,70
libero_long_20260908,knn12_cross_task,task_init,0.05,5.686625957489014,4.45980978012085,68,70
libero_long_20260908,knn12_cross_task,task_init,0.1,4.017910003662109,3.2292914390563965,64,70
libero_long_20260908,knn12_cross_task,task_init,0.15,3.836738109588623,3.1689577102661133,61,70
libero_long_20260908,knn12_cross_task,task_init,0.2,3.645150899887085,2.779926300048828,57,70
libero_long_20260909,knn10_cross_task,episode,0.01,4.907869815826416,3.431382894515991,503,507
libero_long_20260909,knn10_cross_task,episode,0.03,4.024007320404053,2.8362245559692383,493,507
libero_long_20260909,knn10_cross_task,episode,0.05,3.7269833087921143,2.4896090030670166,483,507
libero_long_20260909,knn10_cross_task,episode,0.1,3.0287277698516846,2.097607135772705,458,507
libero_long_20260909,knn10_cross_task,episode,0.15,2.768059492111206,1.9711031913757324,432,507
libero_long_20260909,knn10_cross_task,episode,0.2,2.5261871814727783,1.878608226776123,407,507
libero_long_20260909,knn10_cross_task,task_init,0.01,inf,inf,70,69
libero_long_20260909,knn10_cross_task,task_init,0.03,6.108067512512207,5.7172088623046875,68,69
libero_long_20260909,knn10_cross_task,task_init,0.05,5.017651557922363,4.622232437133789,67,69
libero_long_20260909,knn10_cross_task,task_init,0.1,4.622232437133789,3.1708593368530273,63,69
libero_long_20260909,knn10_cross_task,task_init,0.15,3.832404851913452,2.9359147548675537,60,69
libero_long_20260909,knn10_cross_task,task_init,0.2,3.431382894515991,2.473688840866089,56,69
libero_long_20260909,knn12_cross_task,episode,0.01,5.293319225311279,4.668572902679443,503,507
libero_long_20260909,knn12_cross_task,episode,0.03,4.72131872177124,3.54533314704895,493,507
libero_long_20260909,knn12_cross_task,episode,0.05,4.415538787841797,3.2141757011413574,483,507
libero_long_20260909,knn12_cross_task,episode,0.1,4.013069152832031,2.6050543785095215,458,507
libero_long_20260909,knn12_cross_task,episode,0.15,3.7341697216033936,2.4232685565948486,432,507
libero_long_20260909,knn12_cross_task,episode,0.2,3.433475971221924,2.2704432010650635,407,507
libero_long_20260909,knn12_cross_task,task_init,0.01,inf,inf,70,69
libero_long_20260909,knn12_cross_task,task_init,0.03,6.871688365936279,6.255833625793457,68,69
libero_long_20260909,knn12_cross_task,task_init,0.05,6.346892356872559,6.254472732543945,67,69
libero_long_20260909,knn12_cross_task,task_init,0.1,5.123704433441162,3.712275505065918,63,69
libero_long_20260909,knn12_cross_task,task_init,0.15,4.72131872177124,3.540590524673462,60,69
libero_long_20260909,knn12_cross_task,task_init,0.2,4.279050350189209,2.815051317214966,56,69
libero_object_20260907,knn10_cross_task,episode,0.01,2.0755960941314697,1.9885988235473633,548,552
libero_object_20260907,knn10_cross_task,episode,0.03,1.9206548929214478,1.7403995990753174,537,552
libero_object_20260907,knn10_cross_task,episode,0.05,1.7806754112243652,1.6222567558288574,526,552
libero_object_20260907,knn10_cross_task,episode,0.1,1.6424391269683838,1.4938030242919922,498,552
libero_object_20260907,knn10_cross_task,episode,0.15,1.5597153902053833,1.4105119705200195,471,552
libero_object_20260907,knn10_cross_task,episode,0.2,1.4831568002700806,1.3351205587387085,443,552
libero_object_20260907,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260907,knn10_cross_task,task_init,0.03,2.5622799396514893,2.5222880840301514,69,70
libero_object_20260907,knn10_cross_task,task_init,0.05,2.3632850646972656,2.3483307361602783,68,70
libero_object_20260907,knn10_cross_task,task_init,0.1,2.0662198066711426,1.8476252555847168,64,70
libero_object_20260907,knn10_cross_task,task_init,0.15,1.9947619438171387,1.8090471029281616,61,70
libero_object_20260907,knn10_cross_task,task_init,0.2,1.8304961919784546,1.7403942346572876,57,70
libero_object_20260907,knn12_cross_task,episode,0.01,2.6115806102752686,2.5385043621063232,548,552
libero_object_20260907,knn12_cross_task,episode,0.03,2.3687655925750732,2.163144111633301,537,552
libero_object_20260907,knn12_cross_task,episode,0.05,2.2090725898742676,2.0053699016571045,526,552
libero_object_20260907,knn12_cross_task,episode,0.1,2.00187611579895,1.8162492513656616,498,552
libero_object_20260907,knn12_cross_task,episode,0.15,1.9047157764434814,1.734689712524414,471,552
libero_object_20260907,knn12_cross_task,episode,0.2,1.799619197845459,1.6393805742263794,443,552
libero_object_20260907,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260907,knn12_cross_task,task_init,0.03,3.302607536315918,3.302607536315918,69,70
libero_object_20260907,knn12_cross_task,task_init,0.05,3.1385645866394043,3.109254837036133,68,70
libero_object_20260907,knn12_cross_task,task_init,0.1,2.5628035068511963,2.3296732902526855,64,70
libero_object_20260907,knn12_cross_task,task_init,0.15,2.4889724254608154,2.2325594425201416,61,70
libero_object_20260907,knn12_cross_task,task_init,0.2,2.315274715423584,2.081054210662842,57,70
libero_object_20260908,knn10_cross_task,episode,0.01,2.1659069061279297,1.8882981538772583,547,551
libero_object_20260908,knn10_cross_task,episode,0.03,1.717266321182251,1.5955252647399902,536,551
libero_object_20260908,knn10_cross_task,episode,0.05,1.6231929063796997,1.5130363702774048,525,551
libero_object_20260908,knn10_cross_task,episode,0.1,1.5348749160766602,1.4190787076950073,497,551
libero_object_20260908,knn10_cross_task,episode,0.15,1.4710464477539062,1.3588749170303345,470,551
libero_object_20260908,knn10_cross_task,episode,0.2,1.415349006652832,1.3030381202697754,442,551
libero_object_20260908,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260908,knn10_cross_task,task_init,0.03,2.632061243057251,2.424532175064087,69,70
libero_object_20260908,knn10_cross_task,task_init,0.05,1.8783669471740723,1.8084982633590698,68,70
libero_object_20260908,knn10_cross_task,task_init,0.1,1.8151859045028687,1.697395920753479,64,70
libero_object_20260908,knn10_cross_task,task_init,0.15,1.721616268157959,1.5955252647399902,61,70
libero_object_20260908,knn10_cross_task,task_init,0.2,1.6204391717910767,1.5656441450119019,57,70
libero_object_20260908,knn12_cross_task,episode,0.01,2.453489065170288,2.145771026611328,547,551
libero_object_20260908,knn12_cross_task,episode,0.03,2.1597349643707275,1.9481840133666992,536,551
libero_object_20260908,knn12_cross_task,episode,0.05,2.0112361907958984,1.8370037078857422,525,551
libero_object_20260908,knn12_cross_task,episode,0.1,1.8356107473373413,1.6966955661773682,497,551
libero_object_20260908,knn12_cross_task,episode,0.15,1.7402958869934082,1.6123101711273193,470,551
libero_object_20260908,knn12_cross_task,episode,0.2,1.6955126523971558,1.5635708570480347,442,551
libero_object_20260908,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260908,knn12_cross_task,task_init,0.03,2.8610475063323975,2.567919969558716,69,70
libero_object_20260908,knn12_cross_task,task_init,0.05,2.516997814178467,2.410691976547241,68,70
libero_object_20260908,knn12_cross_task,task_init,0.1,2.1695456504821777,2.0233492851257324,64,70
libero_object_20260908,knn12_cross_task,task_init,0.15,2.08742618560791,1.9775980710983276,61,70
libero_object_20260908,knn12_cross_task,task_init,0.2,2.035055637359619,1.9388573169708252,57,70
libero_object_20260909,knn10_cross_task,episode,0.01,2.347425699234009,1.9908019304275513,548,552
libero_object_20260909,knn10_cross_task,episode,0.03,1.8036047220230103,1.691629409790039,537,552
libero_object_20260909,knn10_cross_task,episode,0.05,1.6051819324493408,1.4448766708374023,526,552
libero_object_20260909,knn10_cross_task,episode,0.1,1.4062190055847168,1.3035141229629517,498,552
libero_object_20260909,knn10_cross_task,episode,0.15,1.3435070514678955,1.2353088855743408,471,552
libero_object_20260909,knn10_cross_task,episode,0.2,1.2929699420928955,1.18765389919281,443,552
libero_object_20260909,knn10_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260909,knn10_cross_task,task_init,0.03,2.5304479598999023,2.396949291229248,69,70
libero_object_20260909,knn10_cross_task,task_init,0.05,2.466214179992676,2.27472186088562,68,70
libero_object_20260909,knn10_cross_task,task_init,0.1,2.076683759689331,1.9079296588897705,64,70
libero_object_20260909,knn10_cross_task,task_init,0.15,1.985127329826355,1.8320019245147705,61,70
libero_object_20260909,knn10_cross_task,task_init,0.2,1.7418075799942017,1.63206946849823,57,70
libero_object_20260909,knn12_cross_task,episode,0.01,3.1872403621673584,3.132155418395996,548,552
libero_object_20260909,knn12_cross_task,episode,0.03,2.3814051151275635,2.1481809616088867,537,552
libero_object_20260909,knn12_cross_task,episode,0.05,2.00866436958313,1.856903314590454,526,552
libero_object_20260909,knn12_cross_task,episode,0.1,1.7990999221801758,1.5622973442077637,498,552
libero_object_20260909,knn12_cross_task,episode,0.15,1.6865304708480835,1.498902440071106,471,552
libero_object_20260909,knn12_cross_task,episode,0.2,1.6056029796600342,1.443630576133728,443,552
libero_object_20260909,knn12_cross_task,task_init,0.01,inf,inf,71,70
libero_object_20260909,knn12_cross_task,task_init,0.03,3.7469899654388428,3.638577461242676,69,70
