method,baseline,metric,difference,low,high,tasks,bootstrap_samples,unit
knn10,knn10,recall,0.0,0.0,0.0,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task,knn10,recall,-0.1731160896130347,-0.2767509252067437,-0.07664950398366582,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v82_frozen,knn10,recall,0.008146639511201537,-0.07525482584229641,0.13508237392816455,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v8_frozen,knn10,recall,-0.006109979633401319,-0.09500123762376235,0.11634818217988271,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task,knn10,recall,-0.17107942973523427,-0.26704740037359903,-0.03981080508882358,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v82_frozen,knn10,recall,0.004073319755600768,-0.07508680384304288,0.13655898366606156,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v8_frozen,knn10,recall,-0.008146639511201648,-0.09336077481840198,0.12344115688035816,27,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,recall,0.012219959266802416,-0.024195997126812044,0.06534170360893742,27,2000,"task with all fold appearances, stratified by suite"
v82_frozen,knn10,recall,-0.05702647657841142,-0.15282407697611736,0.07067026591947995,27,2000,"task with all fold appearances, stratified by suite"
v8_frozen,knn10,recall,-0.08146639511201637,-0.1931096989269716,0.04402732095490695,27,2000,"task with all fold appearances, stratified by suite"
knn10,knn10,fpr,0.0,0.0,0.0,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task,knn10,fpr,-0.024946332074913022,-0.04297253583314853,-0.011749795146328873,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v82_frozen,knn10,fpr,-0.021763268931823232,-0.03974554282163667,-0.008526796306808965,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v8_frozen,knn10,fpr,-0.022281442001628543,-0.0401703258325153,-0.00923014145526438,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task,knn10,fpr,-0.0241320601080761,-0.040557431219074944,-0.0109236451535737,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v82_frozen,knn10,fpr,-0.021837293656081135,-0.03838581600257292,-0.008704602579446092,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v8_frozen,knn10,fpr,-0.021911318380339037,-0.03840063280925993,-0.008769916456299928,27,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,fpr,0.010363461396106305,-0.0054636765962208945,0.030921124772246903,27,2000,"task with all fold appearances, stratified by suite"
v82_frozen,knn10,fpr,-0.057369161299874155,-0.1213353670308414,-0.01751004839872131,27,2000,"task with all fold appearances, stratified by suite"
v8_frozen,knn10,fpr,-0.057961359093937376,-0.12208623749120427,-0.01791144683007641,27,2000,"task with all fold appearances, stratified by suite"
knn10,knn10,recall_by14,0.0,0.0,0.0,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task,knn10,recall_by14,-0.1894093686354379,-0.35857256987879615,-0.09275972485768501,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v82_frozen,knn10,recall_by14,-0.1629327902240326,-0.3187893906050166,-0.07342280564263323,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v8_frozen,knn10,recall_by14,-0.16904276985743383,-0.32792008035910475,-0.07944133791617508,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task,knn10,recall_by14,-0.15478615071283097,-0.2872356108972172,-0.07999619771863119,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v82_frozen,knn10,recall_by14,-0.13034623217922608,-0.24779010345257385,-0.06152243589743596,27,2000,"task with all fold appearances, stratified by suite"
knn12_cross_task_or_v8_frozen,knn10,recall_by14,-0.1364562118126273,-0.2583363526570048,-0.06690659300222887,27,2000,"task with all fold appearances, stratified by suite"
knn12_v8,knn10,recall_by14,0.06924643584521384,-0.032610061175442406,0.1475548567596938,27,2000,"task with all fold appearances, stratified by suite"
v82_frozen,knn10,recall_by14,-0.2668024439918534,-0.4869194374694552,-0.14989554192989862,27,2000,"task with all fold appearances, stratified by suite"
v8_frozen,knn10,recall_by14,-0.28105906313645623,-0.5101065969428801,-0.15880376344086025,27,2000,"task with all fold appearances, stratified by suite"
knn10,knn10,before_event_fraction,0.0,0.0,0.0,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task,knn10,before_event_fraction,-0.06285714285714286,-0.13727180527383367,-0.013566419945461674,27,2000,"task with all fold appearances, stratified by suite"
knn10_cross_task_or_v82_frozen,knn10,before_event_fraction,-0.05714285714285715,-0.13548660470202298,-0.0053468824667197695,27,2000,"task with all fold appearances, stratified by suite"
