sample,scope,method,recall,fpr,recall_by_q14,recall_lead4
all_test_rows,seen,knn10,0.847761629904487,0.010724816987405093,0.3960320074450509,0.8439737511166082
all_test_rows,seen,knn10_cross_task,0.7829697821157448,0.004043741434629977,0.22133942949160343,0.7453014319473947
all_test_rows,seen,knn12_cross_task,0.768910825199645,0.005031579357982927,0.25607027835288704,0.7429812394874507
all_test_rows,seen,knn12_v8,0.8444736480450766,0.01045917930764662,0.41101647949474035,0.8349137634851921
all_test_rows,unseen,knn10,0.9226630823269479,0.05988528052410238,0.4094261974409033,0.910587739369252
all_test_rows,unseen,knn10_cross_task,0.8324911161045615,0.03578823931678483,0.2563383022206552,0.7505583511570907
all_test_rows,unseen,knn12_cross_task,0.8252484754585595,0.03696217684346041,0.29434363022598314,0.7856609224886535
all_test_rows,unseen,knn12_v8,0.9069901464859448,0.07086929942481422,0.4719073954368072,0.8943043029177483
historical_coverage,seen,knn10,0.847761629904487,0.010801278647617122,0.3960320074450509,0.8439737511166082
historical_coverage,seen,knn10_cross_task,0.7829697821157448,0.004120203094842005,0.22133942949160343,0.7453014319473947
historical_coverage,seen,knn10_cross_task_or_v82_frozen,0.9148268398268398,0.009698651756005162,0.26048084363301754,0.8728868095327723
historical_coverage,seen,knn10_cross_task_or_v8_frozen,0.9040144120889462,0.008901911890367757,0.2535363991885731,0.864855819358925
historical_coverage,seen,knn12_cross_task,0.768910825199645,0.0050573691710067824,0.25607027835288704,0.7429812394874507
historical_coverage,seen,knn12_cross_task_or_v82_frozen,0.9066257816257816,0.009023045140108092,0.2952116924943012,0.8656921925555466
historical_coverage,seen,knn12_cross_task_or_v8_frozen,0.895813353887888,0.008696887279703656,0.28826724804985676,0.8576612023816993
historical_coverage,seen,knn12_v8,0.8444736480450766,0.010484969120670476,0.41101647949474035,0.8349137634851921
historical_coverage,seen,v82_frozen,0.7984074701466005,0.008254775322539232,0.0738435075391597,0.6283474720586522
historical_coverage,seen,v8_frozen,0.7424374624685184,0.007458035456901828,0.0503129117259552,0.563797618300724
historical_coverage,unseen,knn10,0.9226630823269479,0.06072560253549714,0.4094261974409033,0.910587739369252
historical_coverage,unseen,knn10_cross_task,0.8324911161045615,0.03662856132817959,0.2563383022206552,0.7505583511570907
historical_coverage,unseen,knn10_cross_task_or_v82_frozen,0.9452045775575187,0.039810410982877735,0.26514019477254774,0.9055345253874666
historical_coverage,unseen,knn10_cross_task_or_v8_frozen,0.9383146420961547,0.03929408330438972,0.26315606778842077,0.8909774204942272
historical_coverage,unseen,knn12_cross_task,0.8252484754585595,0.03717400801716617,0.29434363022598314,0.7856609224886535
historical_coverage,unseen,knn12_cross_task_or_v82_frozen,0.9448993272522684,0.039485089508440936,0.3004486363309893,0.9074485264191147
historical_coverage,unseen,knn12_cross_task_or_v8_frozen,0.9397100720630133,0.039412625740324995,0.2984645093468623,0.9043960233666116
historical_coverage,unseen,knn12_v8,0.9069901464859448,0.07111614401566142,0.4719073954368072,0.8943043029177483
historical_coverage,unseen,v82_frozen,0.8610071328453682,0.00540817462679408,0.03830924794160088,0.724610914684444
historical_coverage,unseen,v8_frozen,0.8298260963281971,0.004822286569897616,0.025773172905525846,0.6842544131094551
