window,threshold_mode,method,alpha,level,group,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,auc_peak_ratio,ap_peak_ratio,auc_peak_raw,ap_peak_raw,auc_endpoint_ratio,auc_endpoint_raw,task_macro_auc,task_macro_endpoint_auc,task_macro_ap,evaluated_tasks
full,frozen_full,knn20,0.05,all,all,8000,541,7459,430,159,111,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781,0.9815883205268282,0.8501132183621329,0.9776503418936645,0.8270276831714158,0.8357185640094376,0.8253931101853409,0.9827480844740835,0.8700516035850627,0.8349011512789705,10
full,frozen_full,c32_centroid_distance,0.05,all,all,8000,541,7459,450,292,91,7167,0.8317929759704251,0.03914733878535997,0.6064690026954178,0.977474891080482,0.8114073091395279,0.9761243163179912,0.7972187552751214,0.8464503054157553,0.8238131855251097,0.9755688302742437,0.8296651879247573,0.7622223384580026,10
full,frozen_full,c4_centroid_distance,0.05,all,all,8000,541,7459,390,70,151,7389,0.7208872458410351,0.009384636010189034,0.8478260869565217,0.9820601543521095,0.8623710887077787,0.9769626639182678,0.8074283271141492,0.854547806505508,0.8513294735806511,0.9832944026017568,0.8891117993040545,0.8585543145793645,10
full,frozen_full,c4_assigned_radius,0.05,all,all,8000,541,7459,405,82,136,7377,0.7486136783733827,0.010993430754792867,0.8316221765913757,0.9844302272013686,0.8630524004050798,0.9840362063073577,0.8588649993674708,0.8416182215086342,0.8387270002693714,0.9803449811249676,0.8677623747950612,0.8577768020109124,10
full,prefix_calibration,knn20,0.05,all,all,8000,541,7459,430,159,111,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781,0.9815883205268282,0.8501132183621329,0.9776503418936645,0.8270276831714158,0.8357185640094376,0.8253931101853409,0.9827480844740835,0.8700516035850627,0.8349011512789705,10
full,prefix_calibration,c32_centroid_distance,0.05,all,all,8000,541,7459,450,292,91,7167,0.8317929759704251,0.03914733878535997,0.6064690026954178,0.977474891080482,0.8114073091395279,0.9761243163179912,0.7972187552751214,0.8464503054157553,0.8238131855251097,0.9755688302742437,0.8296651879247573,0.7622223384580026,10
full,prefix_calibration,c4_centroid_distance,0.05,all,all,8000,541,7459,390,70,151,7389,0.7208872458410351,0.009384636010189034,0.8478260869565217,0.9820601543521095,0.8623710887077787,0.9769626639182678,0.8074283271141492,0.854547806505508,0.8513294735806511,0.9832944026017568,0.8891117993040545,0.8585543145793645,10
full,prefix_calibration,c4_assigned_radius,0.05,all,all,8000,541,7459,405,82,136,7377,0.7486136783733827,0.010993430754792867,0.8316221765913757,0.9844302272013686,0.8630524004050798,0.9840362063073577,0.8588649993674708,0.8416182215086342,0.8387270002693714,0.9803449811249676,0.8677623747950612,0.8577768020109124,10
task_common,frozen_full,knn20,0.05,all,all,8000,541,7459,220,84,321,7375,0.4066543438077634,0.01126156321222684,0.7236842105263158,0.8464550138415327,0.5457766781305826,0.8325141085500304,0.5235063658486572,0.7522731164500254,0.7362595125688948,0.8011373334411178,0.7595262884382561,0.3749567694640071,10
task_common,frozen_full,c32_centroid_distance,0.05,all,all,8000,541,7459,252,173,289,7286,0.4658040665434381,0.02319345756803861,0.5929411764705882,0.8293408773878844,0.4910554061738715,0.8351262936090059,0.45308142527080797,0.7554542775924282,0.744284900400687,0.7862836242935627,0.7406996642569957,0.36076005590126337,10
task_common,frozen_full,c4_centroid_distance,0.05,all,all,8000,541,7459,182,29,359,7430,0.3364140480591497,0.0038879206327925996,0.8625592417061612,0.8827693671801411,0.557133294821521,0.8450045708901825,0.5325429144614575,0.7905119768722126,0.7628437801323761,0.809471168255695,0.756285936542677,0.390912509490662,10
