source,run_id,suite,task,episode,init_state_id,noise_seed,length,checkpoint,failure,global_row,cohort,actual_action_steps,fold,full_last_query,full_frozen_full_first_query,full_prefix_calibration_first_query,task_common_last_query,task_common_frozen_full_first_query,task_common_prefix_calibration_first_query,fixed_q13_last_query,fixed_q13_frozen_full_first_query,fixed_q13_prefix_calibration_first_query
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,6,0,1006,46,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10406,A,452,libero_long_full_1,45,33,33,34,33,33,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,11,1,1003,47,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10411,A,468,libero_long_full_1,46,35,35,34,-1,-1,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,33,4,1001,39,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10433,A,386,libero_long_full_1,38,14,14,34,14,14,13,-1,11
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,58,7,1002,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10458,A,411,libero_long_full_1,41,33,33,34,33,33,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,62,7,1006,44,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10462,A,438,libero_long_full_1,43,33,33,34,33,33,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,63,7,1007,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10463,A,417,libero_long_full_1,41,32,32,34,32,32,13,-1,10
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,83,10,1003,48,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10483,A,477,libero_long_full_1,47,30,30,34,30,30,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,129,16,1001,43,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10529,A,425,libero_long_full_1,42,31,31,34,31,31,13,-1,-1
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,146,18,1002,42,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10546,A,413,libero_long_full_1,41,12,12,34,12,12,13,12,12
cache_new/HiMoE-VLA/libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove/right-50x8-20260903,right-50x8-20260903,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,148,18,1004,41,cdc2b21f9ef657ab31049cfd2b1e2086ceb193a1b8c16af0cd6688925491a256,False,10548,A,406,libero_long_full_1,40,12,12,34,12,12,13,12,12
