window,threshold_mode,method,alpha,level,group,episodes,failures,successes,tp,fp,fn,tn,recall,fpr,precision,auc_peak_ratio,ap_peak_ratio,auc_peak_raw,ap_peak_raw,auc_endpoint_ratio,auc_endpoint_raw
full,frozen_full,knn20,0.05,all,all,8000,541,7459,430,159,111,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781,0.9815883205268282,0.8501132183621329,0.9776503418936645,0.8270276831714158,0.8357185640094376,0.8253931101853409
full,frozen_full,c32_centroid_distance,0.05,all,all,8000,541,7459,450,292,91,7167,0.8317929759704251,0.03914733878535997,0.6064690026954178,0.977474891080482,0.8114073091395279,0.9761243163179912,0.7972187552751214,0.8464503054157553,0.8238131855251097
full,frozen_full,c4_centroid_distance,0.05,all,all,8000,541,7459,390,70,151,7389,0.7208872458410351,0.009384636010189034,0.8478260869565217,0.9820601543521095,0.8623710887077787,0.9769626639182678,0.8074283271141492,0.854547806505508,0.8513294735806511
full,frozen_full,c4_assigned_radius,0.05,all,all,8000,541,7459,405,82,136,7377,0.7486136783733827,0.010993430754792867,0.8316221765913757,0.9844302272013686,0.8630524004050798,0.9840362063073577,0.8588649993674708,0.8416182215086342,0.8387270002693714
full,prefix_calibration,knn20,0.05,all,all,8000,541,7459,430,159,111,7300,0.7948243992606284,0.021316530366000803,0.7300509337860781,0.9815883205268282,0.8501132183621329,0.9776503418936645,0.8270276831714158,0.8357185640094376,0.8253931101853409
full,prefix_calibration,c32_centroid_distance,0.05,all,all,8000,541,7459,450,292,91,7167,0.8317929759704251,0.03914733878535997,0.6064690026954178,0.977474891080482,0.8114073091395279,0.9761243163179912,0.7972187552751214,0.8464503054157553,0.8238131855251097
full,prefix_calibration,c4_centroid_distance,0.05,all,all,8000,541,7459,390,70,151,7389,0.7208872458410351,0.009384636010189034,0.8478260869565217,0.9820601543521095,0.8623710887077787,0.9769626639182678,0.8074283271141492,0.854547806505508,0.8513294735806511
full,prefix_calibration,c4_assigned_radius,0.05,all,all,8000,541,7459,405,82,136,7377,0.7486136783733827,0.010993430754792867,0.8316221765913757,0.9844302272013686,0.8630524004050798,0.9840362063073577,0.8588649993674708,0.8416182215086342,0.8387270002693714
full,frozen_full,knn20,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,0,0,790,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,0,0,790,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,1,0,789,1.0,0.0012658227848101266,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,9,0,1,790,0.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,knn20,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,0,0,790,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,0,0,790,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,10,1,0,789,1.0,0.0012658227848101266,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,800,10,790,9,0,1,790,0.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,knn20,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,5,0,790,1.0,0.006289308176100629,0.5,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,3,0,792,1.0,0.0037735849056603774,0.625,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,12,0,783,1.0,0.01509433962264151,0.29411764705882354,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,8,0,787,1.0,0.010062893081761006,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,knn20,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,5,0,790,1.0,0.006289308176100629,0.5,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c32_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,3,0,792,1.0,0.0037735849056603774,0.625,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c4_centroid_distance,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,12,0,783,1.0,0.01509433962264151,0.29411764705882354,1.0,1.0,1.0,1.0,1.0,1.0
full,prefix_calibration,c4_assigned_radius,0.05,task,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,800,5,795,5,8,0,787,1.0,0.010062893081761006,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0
full,frozen_full,knn20,0.05,task,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,800,7,793,4,3,3,790,0.5714285714285714,0.0037831021437578815,0.5714285714285714,0.9897315798955144,0.45357325725989317,0.9897315798955144,0.45357325725989317,0.894973878580436,0.894973878580436
