window,min_last_query,max_last_query,min_last_action,max_last_action,episodes,any_query_at_or_after_own_termination,any_success_terminated_globally_by_last_query
full,13,51,130,510,8000,False,True
task_common,13,34,130,340,8000,False,True
fixed_q07,7,7,70,70,8000,False,False
fixed_q08,8,8,80,80,8000,False,False
fixed_q09,9,9,90,90,8000,False,False
fixed_q10,10,10,100,100,8000,False,False
fixed_q11,11,11,110,110,8000,False,False
fixed_q12,12,12,120,120,8000,False,False
fixed_q13,13,13,130,130,8000,False,False
