fold,method,last_query,action_steps,threshold,original_threshold,units,rank,successful_episodes,exceedances
libero_long_full_0,knn20,13,130,2.9034030437469482,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,19,190,3.4395339488983154,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,23,230,3.581496238708496,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,7,70,1.5044996738433838,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,8,80,2.2940077781677246,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,9,90,2.3280489444732666,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,10,100,2.484513759613037,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,11,110,2.4892022609710693,4.315521240234375,69,67,518,2
libero_long_full_0,knn20,12,120,2.875349283218384,4.315521240234375,69,67,518,2
libero_long_full_0,c32_centroid_distance,13,130,3.4615204334259033,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,19,190,4.188284397125244,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,23,230,4.234461307525635,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,7,70,2.1094884872436523,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,8,80,2.252565860748291,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,9,90,2.77425217628479,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,10,100,2.8106839656829834,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,11,110,2.835176467895508,4.388052463531494,69,67,518,2
libero_long_full_0,c32_centroid_distance,12,120,3.060622215270996,4.388052463531494,69,67,518,2
libero_long_full_0,c4_centroid_distance,13,130,5.272502899169922,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,19,190,5.686906337738037,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,23,230,5.834896564483643,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,7,70,2.3139379024505615,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,8,80,3.2510712146759033,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,9,90,3.2650692462921143,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,10,100,4.072507858276367,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,11,110,4.599606513977051,9.82712459564209,69,67,518,2
libero_long_full_0,c4_centroid_distance,12,120,4.799233913421631,9.82712459564209,69,67,518,2
libero_long_full_0,c4_assigned_radius,13,130,1.6970078945159912,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,19,190,1.884713888168335,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,23,230,1.884713888168335,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,7,70,0.8775135278701782,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,8,80,0.9840010404586792,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,9,90,1.2508161067962646,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,10,100,1.2683194875717163,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,11,110,1.6092705726623535,2.1916897296905518,69,67,518,2
libero_long_full_0,c4_assigned_radius,12,120,1.6092705726623535,2.1916897296905518,69,67,518,2
libero_long_full_1,knn20,21,210,3.436713933944702,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,22,220,3.436713933944702,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,34,340,3.9340829849243164,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,7,70,1.433498740196228,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,8,80,1.734402060508728,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,9,90,1.8254635334014893,3.9340829849243164,70,68,547,2
libero_long_full_1,knn20,10,100,2.0233795642852783,3.9340829849243164,70,68,547,2
