design,scope,cluster_unit,layer,token_role,relative_query,metric,n_strata,n_pairs,n_tasks,n_clusters,auc,auc_lo,auc_hi,auc_abs,null_auc,null_lo,null_hi,null_abs_mean,n_strata_null,delta_abs,delta_abs_lo,delta_abs_hi,p_boot,exceeds_null_paired,exceeds_null_disjoint,q_bh,exceeds_null_bh
primary,both,task,L2,state,-1,hellinger_to_pre,155,446,10,10,0.4762365591397852,0.3550761172893499,0.6257915094339622,0.023763440860214813,0.4997423188405786,0.38333333333333325,0.6207057471264366,0.04526146838496451,115,-0.021498027524749698,-0.09694517650470366,0.11886054625199373,0.4332,False,False,0.46355159235668786,False
primary,both,task,L2,state,0,hellinger_to_pre,155,446,10,10,0.5926881720430107,0.4192982456140351,0.7066257580901786,0.09268817204301072,0.49966101449275213,0.3793103448275862,0.6174257948335817,0.04517487156033265,115,0.04751330048267807,-0.09750713709868646,0.17881737503871314,0.2313,False,False,0.337951867219917,False
primary,both,task,L2,state,1,hellinger_to_pre,155,446,10,10,0.45537634408602184,0.10081918032786885,0.7252507151938972,0.044623655913978155,0.4996920289855077,0.3829716650856033,0.618549735915493,0.045074149935970385,115,-0.00045049402199223015,-0.05582458885335747,0.37023485874511264,0.1454,False,False,0.33754128440366976,False
primary,both,task,L2,state,2,hellinger_to_pre,155,446,10,10,0.4983870967741936,0.1900965346534653,0.6901869158878505,0.0016129032258063725,0.4997495652173921,0.3815789473684211,0.6177873134328357,0.045177293394855614,115,-0.04356439016904924,-0.07029582313800939,0.2769023517191619,0.2055,False,False,0.33754128440366976,False
primary,both,task,L2,state,3,hellinger_to_pre,155,446,10,10,0.5120430107526882,0.22679411764705884,0.6980842911877395,0.01204301075268821,0.49965021739130516,0.3802083333333333,0.6153846153846154,0.0446046044445599,115,-0.03256159369187169,-0.0748715578786335,0.24181560650297337,0.2052,False,False,0.33754128440366976,False
primary,both,task,L2,state,4,hellinger_to_pre,154,445,10,10,0.5413419913419915,0.339197564102564,0.6820837671585346,0.04134199134199146,0.49981210144927535,0.3783301282051282,0.618217708988058,0.0452760969614864,115,-0.003934105619494942,-0.09829877112135163,0.1572081136476402,0.2486,False,False,0.3409371428571429,False
primary,both,task,L2,state,5,hellinger_to_pre,150,440,10,10,0.6575555555555553,0.4827586206896552,0.7487810492745809,0.15755555555555534,0.4995110619469031,0.380203125,0.6179513888888888,0.04547329851390793,113,0.1120822570416474,-0.098645550647984,0.22224792281449654,0.1517,False,False,0.33754128440366976,False
primary,both,task,L2,action,-1,hellinger_to_pre,155,446,10,10,0.5653763440860217,0.47929545731336015,0.6589784946236559,0.06537634408602166,0.4997007971014507,0.3815595158783034,0.6158591027874564,0.045159461429874655,115,0.02021688265614701,-0.09398836336336347,0.12149188808431047,0.3093,False,False,0.3634909090909091,False
primary,both,task,L2,action,0,hellinger_to_pre,155,446,10,10,0.620537634408602,0.36202230259192286,0.8424666095890412,0.12053763440860199,0.4998157246376837,0.3816867283950617,0.6142857142857143,0.045117612968226944,115,0.07542002144037505,-0.05381113343370741,0.29926084010840126,0.1424,False,False,0.33754128440366976,False
primary,both,task,L2,action,1,hellinger_to_pre,155,446,10,10,0.6909677419354842,0.4246285894571334,0.8833333333333332,0.19096774193548416,0.49976731884057773,0.3804291213768116,0.6176470588235294,0.045268753306250215,115,0.14569898862923394,-0.058316997253446724,0.35342261904761896,0.1302,False,False,0.33754128440366976,False
