detector,episodes,failure_n,success_n,tp,fp,fn,tn,failure_recall,success_fpr,precision,detected_failure_lead_median,failure_recall_ci_low,failure_recall_ci_high,success_fpr_ci_low,success_fpr_ci_high,precision_ci_low,precision_ci_high,early2_failure_recall,early4_failure_recall,early8_failure_recall,early12_failure_recall,task
legacy_back_mean_q95_k2,512,0,512,0,0,0,512,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,libero_goal/open_the_middle_drawer_of_the_cabinet
lock_layer_median_q75_k4,512,0,512,0,0,0,512,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,libero_goal/open_the_middle_drawer_of_the_cabinet
instability_L5_q80_k8,512,0,512,0,0,0,512,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,libero_goal/open_the_middle_drawer_of_the_cabinet
dual_regime_or,512,0,512,0,0,0,512,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,libero_goal/open_the_middle_drawer_of_the_cabinet
legacy_back_mean_q95_k2,512,42,470,16,0,26,470,0.38095238095238093,0.0,1.0,3.0,0.38095238095238093,0.38095238095238093,0.0,0.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.0,0.0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
lock_layer_median_q75_k4,512,42,470,41,0,1,470,0.9761904761904762,0.0,1.0,5.0,0.9761904761904762,0.9761904761904762,0.0,0.0,1.0,1.0,0.9761904761904762,0.8809523809523809,0.047619047619047616,0.0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
instability_L5_q80_k8,512,42,470,0,0,42,470,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
dual_regime_or,512,42,470,41,0,1,470,0.9761904761904762,0.0,1.0,5.0,0.9761904761904762,0.9761904761904762,0.0,0.0,1.0,1.0,0.9761904761904762,0.8809523809523809,0.047619047619047616,0.0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside
legacy_back_mean_q95_k2,512,216,296,24,0,192,296,0.1111111111111111,0.0,1.0,11.0,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,1.0,0.10648148148148148,0.10648148148148148,0.0787037037037037,0.05555555555555555,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
lock_layer_median_q75_k4,512,216,296,151,11,65,285,0.6990740740740741,0.037162162162162164,0.9320987654320988,16.0,0.6990740740740741,0.6990740740740741,0.037162162162162164,0.037162162162162164,0.9320987654320988,0.9320987654320988,0.6898148148148148,0.6620370370370371,0.6574074074074074,0.6574074074074074,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
