cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
development_main,query_hard_churn,L2,4,14800,487,0.0329054054054054,0.44025441181470704,0.48464697036830695,0.48040252023052343
development_main,query_hard_churn,L2,6,14800,487,0.0329054054054054,0.3703004161435641,0.42920088716225857,0.4660784138075189
development_main,query_hard_churn,L2,8,13666,487,0.03563588467730133,0.3673614749867291,0.4265726286423024,0.4562967542503864
development_main,query_hard_churn,L2,10,10516,487,0.04631038417649296,0.4296274889064014,0.4661196057807171,0.4793060345825328
development_main,query_hard_churn,L2,12,8342,487,0.058379285543035245,0.41101549255826536,0.4860998052075543,0.4234631552473682
development_main,query_hard_churn,L2,14,4808,487,0.10128951747088186,0.39497972510926294,0.5246814929876181,0.43728926704532595
development_main,query_hard_churn,L2,16,3554,487,0.13702870005627463,0.3012053193932362,0.37394742452101154,0.44032160476589405
development_main,query_hard_churn,L2,18,3059,487,0.15920235371036287,0.25434229308841705,0.3248844078639761,0.42517560621148104
development_main,query_hard_churn,L2,20,2776,487,0.17543227665706052,0.3474957905095614,0.5025489046787402,0.4518301904262214
development_main,query_hard_churn,L2,24,1312,361,0.27515243902439024,0.36468391633242164,0.40017732693939423,0.5009588165464341
development_main,query_hard_churn,L2,28,671,324,0.4828614008941878,0.369725513217348,0.428972921047849,0.4283897737919957
development_main,query_hard_churn,L2,32,515,222,0.43106796116504853,0.2513836361959229,0.2513836361959229,0.2756809391886332
development_main,query_hard_churn,L3,4,14800,487,0.0329054054054054,0.4099413651752668,0.5072628775939182,0.5009346352533668
development_main,query_hard_churn,L3,6,14800,487,0.0329054054054054,0.37450130415178057,0.4454463137834828,0.49231688016960795
development_main,query_hard_churn,L3,8,13666,487,0.03563588467730133,0.335656580151392,0.40409579887421737,0.46230602782071095
development_main,query_hard_churn,L3,10,10516,487,0.04631038417649296,0.4346784468777711,0.4437580906040598,0.4811617015038232
development_main,query_hard_churn,L3,12,8342,487,0.058379285543035245,0.48652031102751747,0.5147495163279308,0.44074030826716487
development_main,query_hard_churn,L3,14,4808,487,0.10128951747088186,0.4098018036170234,0.47608023538900424,0.41032676336810664
development_main,query_hard_churn,L3,16,3554,487,0.13702870005627463,0.28227558516874,0.3091091081088283,0.4361910080982966
development_main,query_hard_churn,L3,18,3059,487,0.15920235371036287,0.24077811592860723,0.28266915786583147,0.4362906047312754
development_main,query_hard_churn,L3,20,2776,487,0.17543227665706052,0.28860104974868644,0.44550009170873306,0.44368229375636553
development_main,query_hard_churn,L3,24,1312,361,0.27515243902439024,0.3254585492454364,0.4135221324994518,0.43412702036343714
development_main,query_hard_churn,L3,28,671,324,0.4828614008941878,0.33260842494752196,0.4090466547238881,0.4309998661491099
development_main,query_hard_churn,L3,32,515,222,0.43106796116504853,0.21865295329459153,0.21865295329459153,0.24915654058205558
development_main,query_hard_churn,L4,4,14800,487,0.0329054054054054,0.45390320914158677,0.5073058771695311,0.4966197856012422
development_main,query_hard_churn,L4,6,14800,487,0.0329054054054054,0.3764932182816242,0.434915780034113,0.4581205769058497
development_main,query_hard_churn,L4,8,13666,487,0.03563588467730133,0.3245447730997591,0.38196567017958916,0.43068933539412674
development_main,query_hard_churn,L4,10,10516,487,0.04631038417649296,0.49288736176382125,0.44993215267388054,0.4988194717714868
development_main,query_hard_churn,L4,12,8342,487,0.058379285543035245,0.599786426725676,0.572926386986188,0.4702107210864801
development_main,query_hard_churn,L4,14,4808,487,0.10128951747088186,0.4925082936254679,0.5259263961286276,0.43368559208888685
development_main,query_hard_churn,L4,16,3554,487,0.13702870005627463,0.3445336827284419,0.3423043741839209,0.47240063297030627
development_main,query_hard_churn,L4,18,3059,487,0.15920235371036287,0.25863468852689364,0.27919304443339443,0.4473046801410232
development_main,query_hard_churn,L4,20,2776,487,0.17543227665706052,0.30233156880106,0.4005977016994027,0.41859819141384524
development_main,query_hard_churn,L4,24,1312,361,0.27515243902439024,0.3807480680782148,0.4448451249392226,0.4707104374029769
