head,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift,mean_alarm_task_prior,lift_task_matched,distinct_alarm_chunks,tasks_firing
as_router|as_entropy|per_task,53,6,0.09397163120567376,0.0003990422984836393,0.8983050847457628,53,6,0.8983050847457628,1.0,0.20423892100192684,4.398305084745762,0.898305084745763,0.9999999999999998,1,5
as_router|as_layer_disagreement|per_task,69,50,0.12234042553191489,0.0033253524873636604,0.5798319327731093,69,50,0.5798319327731093,1.0,0.1859672412561649,3.1179251187277996,0.5798319327731094,0.9999999999999998,4,9
discrete|denoise_hard_churn|global,18,8,0.031914893617021274,0.0005320563979781857,0.6923076923076923,11,7,0.6111111111111112,0.6111111111111112,0.31603368155613126,2.1906136361757707,0.36205679328548723,1.9121521958622587,11,6
anchor|mobility|L12|low|q0.975|global,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,0.5814749464555603,1.5818589027120091,36,18
discrete|mobility|global,195,17,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36,4,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853,0.5814749464555603,1.5818589027120091,36,18
discrete|mobility_allstep|global,220,25,0.3900709219858156,0.0016626762436818302,0.8979591836734694,41,13,0.7592592592592593,0.18636363636363637,0.5280054654300148,1.70066266822098,0.5793925454735841,1.5498286795172609,34,18
anchor|expert_load_effective_rank|L3|low|q0.85|per_task,370,93,0.6560283687943262,0.006185155626496409,0.7991360691144709,97,69,0.5843373493975904,0.26216216216216215,0.5162688757758398,1.5479067335088585,0.6779400027317337,1.178771079880789,44,37
discrete|query_hard_churn|per_task,249,64,0.44148936170212766,0.004256451183825486,0.7955271565495208,81,41,0.6639344262295082,0.3253012048192771,0.5156052351151894,1.5428996883086246,0.653484430945307,1.21736206538041,42,37
discrete|set_dwell|global,191,20,0.33865248226950356,0.0013301409949454642,0.9052132701421801,18,8,0.6923076923076923,0.09424083769633508,0.616806443811564,1.467580760908401,0.6558599239722568,1.3801929909967652,39,20
discrete|query_top1_churn|per_task,224,59,0.3971631205673759,0.003923915935089119,0.7915194346289752,68,41,0.6238532110091743,0.30357142857142855,0.5409463460011718,1.4632124617905464,0.6814318356509561,1.1615533545961423,40,37
discrete|query_hard_churn_d9|per_task,234,61,0.4148936170212766,0.004056930034583666,0.7932203389830509,72,34,0.6792452830188679,0.3076923076923077,0.543408662984902,1.4597123546502784,0.6800532324451681,1.1664091884851195,39,37
anchor|mobility|L2|low|q0.7|per_task,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,0.7025130561460247,1.1768432104312287,43,33
discrete|mobility|per_task,272,57,0.48226950354609927,0.003790901835594573,0.8267477203647416,72,43,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383,0.7025130561460247,1.1768432104312287,43,33
