,action_consensus|global,action_consensus|per_task,conditional_effective_rank|global,conditional_effective_rank|per_task,conditional_energy|global,conditional_energy|per_task,conditional_query_d1|global,conditional_query_d1|per_task,expert_load_effective_rank|global,expert_load_effective_rank|per_task,flow_endpoint|global,flow_endpoint|per_task,flow_path|global,flow_path|per_task,flow_settling_log_ratio|global,flow_settling_log_ratio|per_task,mobility|global,mobility|per_task,partial_edge_std|global,partial_edge_std|per_task,partial_query_d1|global,partial_query_d1|per_task,state_action_alignment|global,state_action_alignment|per_task,denoise_hard_churn|global,denoise_hard_churn|per_task,hb_entropy_action|global,hb_entropy_action|per_task,mobility_allstep|global,mobility_allstep|per_task,mobility|global,mobility|per_task,query_hard_churn_d9|global,query_hard_churn_d9|per_task,query_hard_churn|global,query_hard_churn|per_task,query_top1_churn|global,query_top1_churn|per_task,selected_mass|global,selected_mass|per_task,set_dwell|global,set_dwell|per_task,tie_margin|global,tie_margin|per_task
denoise_hard_churn|global,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,1.0,0.125,0.14285714285714285,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.0,0.5,0.16666666666666666,0.125
denoise_hard_churn|per_task,0.0,0.625,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.25,0.0,0.125,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,1.0,0.14285714285714285,0.5,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.375,0.125,0.25,0.125,0.25,0.0,0.5,0.16666666666666666,0.125
hb_entropy_action|global,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,1.0,0.7142857142857143,0.0,1.0,0.16666666666666666,0.42857142857142855
hb_entropy_action|per_task,0.0,0.45454545454545453,0.0,0.3,0.0,0.0,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.4090909090909091,0.3333333333333333,0.5454545454545454,0.25,0.6363636363636364,0.0,0.45454545454545453,0.17647058823529413,0.22727272727272727,0.0,0.07142857142857142,0.045454545454545456,0.1,0.0,0.0,0.125,0.5,0.8571428571428571,1.0,0.0,0.09090909090909091,0.17647058823529413,0.22727272727272727,0.22727272727272727,0.5,0.3181818181818182,0.5454545454545454,0.22727272727272727,0.5454545454545454,0.36363636363636365,0.7222222222222222,0.15,1.0,0.16666666666666666,0.6666666666666666
mobility_allstep|global,0.2,0.04,0.12,0.0,0.125,0.08333333333333333,0.28,0.13636363636363635,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.7647058823529411,0.2,0.12,0.07142857142857142,0.12,0.2,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.24,0.7647058823529411,0.2,0.08,0.2,0.041666666666666664,0.2,0.13636363636363635,0.04,0.0,0.0,0.4,0.0,0.0,0.05555555555555555
mobility_allstep|per_task,0.0,0.17647058823529413,0.04,0.2,0.5,0.25,0.06451612903225806,0.4090909090909091,0.2777777777777778,0.52,0.1111111111111111,0.10256410256410256,0.0,0.16216216216216217,0.0,0.26,0.29411764705882354,0.46,0.04,0.2857142857142857,0.06,0.6,0.5,0.25,0.125,0.125,0.2857142857142857,0.09090909090909091,0.24,1.0,0.29411764705882354,0.46,0.32142857142857145,0.4,0.5416666666666666,0.4,0.5909090909090909,0.28,0.07142857142857142,0.1111111111111111,0.4,1.0,0.16666666666666666,0.1111111111111111
mobility|global,0.0,0.11764705882352941,0.11764705882352941,0.4,0.125,0.08333333333333333,0.5294117647058824,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.0,0.23529411764705882,0.0,0.17647058823529413,0.0,0.058823529411764705,1.0,0.4117647058823529,0.11764705882352941,0.07142857142857142,0.11764705882352941,0.23529411764705882,0.125,0.08333333333333333,0.0,0.0,0.0,0.17647058823529413,0.7647058823529411,0.29411764705882354,1.0,0.4117647058823529,0.35294117647058826,0.47058823529411764,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.0,0.17647058823529413,0.6470588235294118,0.0,0.0,0.23529411764705882
mobility|per_task,0.0,0.14705882352941177,0.017543859649122806,0.4,0.25,0.25,0.12903225806451613,0.5,0.16666666666666666,0.24561403508771928,0.2222222222222222,0.20512820512820512,0.0,0.21621621621621623,0.0,0.14035087719298245,0.4117647058823529,1.0,0.017543859649122806,0.35714285714285715,0.017543859649122806,0.5,0.25,0.25,0.125,0.125,0.42857142857142855,0.22727272727272727,0.2,0.46,0.4117647058823529,1.0,0.32142857142857145,0.2807017543859649,0.5833333333333334,0.2982456140350877,0.5,0.24561403508771928,0.10714285714285714,0.2222222222222222,0.4,1.0,0.16666666666666666,0.2777777777777778
query_hard_churn_d9|global,0.0,0.21428571428571427,0.0,0.5,0.0,0.25,0.21428571428571427,0.36363636363636365,0.10714285714285714,0.32142857142857145,0.1111111111111111,0.25,0.0,0.21428571428571427,0.0,0.17857142857142858,0.35294117647058826,0.32142857142857145,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.1,0.0,0.25,0.125,0.125,0.14285714285714285,0.22727272727272727,0.08,0.32142857142857145,0.35294117647058826,0.32142857142857145,1.0,0.42857142857142855,0.625,0.42857142857142855,0.3181818181818182,0.35714285714285715,0.03571428571428571,0.3333333333333333,0.4,0.5,0.16666666666666666,0.2222222222222222
query_hard_churn_d9|per_task,0.0,0.35294117647058826,0.03278688524590164,0.5,0.125,0.4166666666666667,0.22580645161290322,0.7727272727272727,0.2777777777777778,0.4426229508196721,0.3333333333333333,0.4358974358974359,0.25,0.4864864864864865,0.0,0.4262295081967213,0.47058823529411764,0.2807017543859649,0.01639344262295082,0.21428571428571427,0.03278688524590164,0.35,0.125,0.4166666666666667,0.125,0.125,0.42857142857142855,0.5,0.2,0.4,0.47058823529411764,0.2807017543859649,0.42857142857142855,1.0,0.5833333333333334,0.8524590163934426,0.6363636363636364,0.6440677966101694,0.17857142857142858,0.6111111111111112,0.7,1.0,0.16666666666666666,0.5
query_hard_churn|global,0.0,0.2916666666666667,0.0,0.5,0.125,0.16666666666666666,0.2916666666666667,0.45454545454545453,0.16666666666666666,0.375,0.1111111111111111,0.375,0.0,0.3333333333333333,0.0,0.2916666666666667,0.29411764705882354,0.5833333333333334,0.041666666666666664,0.21428571428571427,0.041666666666666664,0.2,0.125,0.16666666666666666,0.125,0.125,0.2857142857142857,0.3181818181818182,0.041666666666666664,0.5416666666666666,0.29411764705882354,0.5833333333333334,0.625,0.5833333333333334,1.0,0.625,0.4090909090909091,0.5416666666666666,0.08333333333333333,0.3888888888888889,0.3,1.0,0.16666666666666666,0.3333333333333333
query_hard_churn|per_task,0.0,0.4117647058823529,0.015625,0.5,0.25,0.4166666666666667,0.1935483870967742,0.7727272727272727,0.2222222222222222,0.375,0.3333333333333333,0.48717948717948717,0.25,0.5135135135135135,0.0,0.390625,0.4117647058823529,0.2982456140350877,0.015625,0.21428571428571427,0.03125,0.35,0.25,0.4166666666666667,0.125,0.375,0.42857142857142855,0.5454545454545454,0.2,0.4,0.4117647058823529,0.2982456140350877,0.42857142857142855,0.8524590163934426,0.625,1.0,0.6363636363636364,0.6779661016949152,0.17857142857142858,0.6111111111111112,0.6,1.0,0.16666666666666666,0.5555555555555556
query_top1_churn|global,0.0,0.2727272727272727,0.09090909090909091,0.2,0.5,0.25,0.18181818181818182,0.45454545454545453,0.22727272727272727,0.4090909090909091,0.1111111111111111,0.2727272727272727,0.0,0.2727272727272727,0.0,0.3181818181818182,0.29411764705882354,0.5,0.045454545454545456,0.07142857142857142,0.09090909090909091,0.3,0.5,0.25,0.125,0.125,0.2857142857142857,0.22727272727272727,0.13636363636363635,0.5909090909090909,0.29411764705882354,0.5,0.3181818181818182,0.6363636363636364,0.4090909090909091,0.6363636363636364,1.0,0.6818181818181818,0.09090909090909091,0.2222222222222222,0.35,1.0,0.16666666666666666,0.2222222222222222
query_top1_churn|per_task,0.0,0.38235294117647056,0.0,0.4,0.125,0.3333333333333333,0.1935483870967742,0.6363636363636364,0.16666666666666666,0.3559322033898305,0.3333333333333333,0.46153846153846156,0.25,0.4864864864864865,0.0,0.3728813559322034,0.29411764705882354,0.24561403508771928,0.0,0.14285714285714285,0.01694915254237288,0.3,0.125,0.3333333333333333,0.125,0.25,0.42857142857142855,0.5454545454545454,0.04,0.28,0.29411764705882354,0.24561403508771928,0.35714285714285715,0.6440677966101694,0.5416666666666666,0.6779661016949152,0.6818181818181818,1.0,0.14285714285714285,0.6666666666666666,0.4,1.0,0.16666666666666666,0.5
selected_mass|global,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.18181818181818182,0.14285714285714285,0.25,0.7777777777777778,0.14285714285714285,0.5,0.21428571428571427,0.0,0.14285714285714285,0.0,0.10714285714285714,0.0,0.07142857142857142,0.07142857142857142,0.1,0.0,0.0,0.25,0.125,1.0,0.36363636363636365,0.0,0.07142857142857142,0.0,0.10714285714285714,0.03571428571428571,0.17857142857142858,0.08333333333333333,0.17857142857142858,0.09090909090909091,0.14285714285714285,1.0,0.2777777777777778,0.0,1.0,0.5,0.2777777777777778
selected_mass|per_task,0.0,0.5,0.0,0.3,0.0,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.6111111111111112,0.0,0.6666666666666666,0.0,0.5,0.17647058823529413,0.2222222222222222,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.125,0.25,0.7142857142857143,0.7222222222222222,0.0,0.1111111111111111,0.17647058823529413,0.2222222222222222,0.3333333333333333,0.6111111111111112,0.3888888888888889,0.6111111111111112,0.2222222222222222,0.6666666666666666,0.2777777777777778,1.0,0.2222222222222222,0.5,0.16666666666666666,0.5555555555555556
set_dwell|global,0.0,0.15,0.15,0.5,0.25,0.16666666666666666,0.3,0.4,0.25,0.45,0.0,0.25,0.0,0.25,0.0,0.2,0.6470588235294118,0.4,0.1,0.0,0.15,0.2,0.25,0.16666666666666666,0.0,0.0,0.0,0.15,0.4,0.4,0.6470588235294118,0.4,0.4,0.7,0.3,0.6,0.35,0.4,0.0,0.2222222222222222,1.0,0.0,0.0,0.2222222222222222
set_dwell|per_task,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5,0.5
