quantity,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,dev_low_prior_tp,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
query_hard_churn,per_task,True,back_median,low,0.95,219.0,60.0,58.0,249.0,64.0,0.44148936170212766,0.004256451183825486,0.7955271565495208,81.0,41.0,0.6639344262295082,0.3253012048192771,0.5156052351151894,1.5428996883086246
query_hard_churn,global,True,L3,low,0.96,155.0,17.0,8.0,170.0,24.0,0.30141843971631205,0.0015961691939345571,0.8762886597938144,15.0,12.0,0.5555555555555556,0.08823529411764706,0.7583344825601883,1.1555437342574808
query_hard_churn_d9,per_task,True,back_median,low,0.95,213.0,47.0,50.0,234.0,61.0,0.4148936170212766,0.004056930034583666,0.7932203389830509,72.0,34.0,0.6792452830188679,0.3076923076923077,0.543408662984902,1.4597123546502784
query_hard_churn_d9,global,True,L3,low,0.96,203.0,23.0,9.0,203.0,28.0,0.3599290780141844,0.00186219739292365,0.8787878787878788,19.0,7.0,0.7307692307692307,0.09359605911330049,0.7374041906208374,1.1917316038684391
query_top1_churn,per_task,True,L15,low,0.96,199.0,50.0,59.0,224.0,59.0,0.3971631205673759,0.003923915935089119,0.7915194346289752,68.0,41.0,0.6238532110091743,0.30357142857142855,0.5409463460011718,1.4632124617905464
query_top1_churn,global,True,L15,low,0.975,176.0,11.0,9.0,201.0,22.0,0.35638297872340424,0.0014631550944400106,0.9013452914798207,19.0,10.0,0.6551724137931034,0.0945273631840796,0.6585939194242487,1.3685903633422372
denoise_hard_churn,per_task,True,front_median,low,0.96,29.0,7.0,10.0,26.0,8.0,0.04609929078014184,0.0005320563979781857,0.7647058823529411,3.0,5.0,0.375,0.11538461538461539,0.6482319301546252,1.1796794430822513
denoise_hard_churn,global,True,front_median,low,0.98,26.0,7.0,14.0,18.0,8.0,0.031914893617021274,0.0005320563979781857,0.6923076923076923,11.0,7.0,0.6111111111111112,0.6111111111111112,0.31603368155613126,2.1906136361757707
set_dwell,per_task,True,all_median,high,0.995,41.0,6.0,5.0,17.0,2.0,0.030141843971631204,0.00013301409949454643,0.8947368421052632,3.0,0.0,1.0,0.17647058823529413,0.7877909205889597,1.1357541940650315
set_dwell,global,True,L15,high,0.98,169.0,14.0,5.0,191.0,20.0,0.33865248226950356,0.0013301409949454642,0.9052132701421801,18.0,8.0,0.6923076923076923,0.09424083769633508,0.616806443811564,1.467580760908401
tie_margin,per_task,True,all_median,high,0.975,87.0,19.0,23.0,83.0,18.0,0.14716312056737588,0.0011971268954509178,0.8217821782178217,5.0,8.0,0.38461538461538464,0.060240963855421686,0.6992869308562045,1.1751716526599953
tie_margin,global,True,L4,high,0.99,18.0,1.0,3.0,16.0,6.0,0.028368794326241134,0.0003990422984836393,0.7272727272727273,2.0,5.0,0.2857142857142857,0.125,0.6228400550136315,1.1676717343697656
selected_mass,per_task,True,L3,high,0.975,80.0,26.0,33.0,82.0,18.0,0.1453900709219858,0.0011971268954509178,0.82,15.0,7.0,0.6818181818181818,0.18292682926829268,0.6325450625867802,1.2963503290131244
selected_mass,global,True,front_median,high,0.98,73.0,17.0,27.0,76.0,28.0,0.1347517730496454,0.00186219739292365,0.7307692307692307,10.0,25.0,0.2857142857142857,0.13157894736842105,0.6036664687900285,1.210551303659392
hb_entropy_action,per_task,True,front_median,low,0.975,57.0,21.0,24.0,50.0,22.0,0.08865248226950355,0.0014631550944400106,0.6944444444444444,4.0,9.0,0.3076923076923077,0.08,0.6221504998134749,1.1162000908986551
hb_entropy_action,global,True,L3,low,0.99,35.0,0.0,6.0,54.0,7.0,0.09574468085106383,0.0004655493482309125,0.8852459016393442,4.0,5.0,0.4444444444444444,0.07407407407407407,0.8241437364222979,1.0741401803067725
mobility,per_task,True,L2,low,0.7,243.0,31.0,41.0,272.0,57.0,0.48226950354609927,0.003790901835594573,0.8267477203647416,72.0,43.0,0.6260869565217392,0.2647058823529412,0.5953801599458113,1.3886047537089383
mobility,global,True,L12,low,0.975,172.0,15.0,18.0,195.0,17.0,0.34574468085106386,0.0011306198457036445,0.9198113207547169,36.0,4.0,0.9,0.18461538461538463,0.5214150585184776,1.7640674271437853
mobility_allstep,per_task,True,L12,low,0.85,284.0,33.0,33.0,312.0,50.0,0.5531914893617021,0.0033253524873636604,0.861878453038674,65.0,40.0,0.6190476190476191,0.20833333333333334,0.6281764529996439,1.3720324105162895
mobility_allstep,global,True,L14,low,0.96,188.0,23.0,20.0,220.0,25.0,0.3900709219858156,0.0016626762436818302,0.8979591836734694,41.0,13.0,0.7592592592592593,0.18636363636363637,0.5280054654300148,1.70066266822098
null_iid,per_task,False,,,,,,,,,,,,,,,,,
null_iid,global,False,,,,,,,,,,,,,,,,,
null_episode_constant,per_task,False,,,,,,,,,,,,,,,,,
null_episode_constant,global,False,,,,,,,,,,,,,,,,,
