cohort,metric,quantity,window,failures_with_controls,tasks,median_controls_per_failure,episode_weighted_mean_percentile,task_macro_mean_percentile,task_cluster_bootstrap_ci_low,task_cluster_bootstrap_ci_high,failure_raw_mean,matched_success_raw_mean
development_main,late_back_query_hard_churn,query_hard_churn,phase,377,32,6.0,0.01603511431097638,0.033769962850697256,0.00419985954462344,0.08384681539135601,0.6580416957010324,0.8710547169804668
development_main,late_back_query_soft_change,mobility_allstep,phase,377,32,6.0,0.14654540861437412,0.24876648395967435,0.1460645014681342,0.3654800924617872,0.03183347232817655,0.045217505180566726
development_main,late_front_query_hard_churn,query_hard_churn,phase,377,32,6.0,0.03529746115953013,0.0627094230244381,0.024865598941774744,0.11616691581668939,0.775452539364286,0.8386857515276186
development_main,late_front_query_soft_change,mobility_allstep,phase,377,32,6.0,0.26744347606416574,0.3507452538402614,0.2436749002870639,0.46792787001213015,0.03680434406534905,0.039656599548513326
development_main,late_back_query_hard_churn_d9,query_hard_churn_d9,phase,377,32,6.0,0.03305545029682961,0.05479106828924485,0.013637528238061124,0.11610825753356717,0.5888494712446349,0.8674283993215856
development_main,late_back_query_soft_change_d9,mobility,phase,377,32,6.0,0.0957938613111027,0.19302868868151185,0.09744688558275157,0.309788973457901,0.0377341289102873,0.06332641820514004
development_main,late_back_denoise_hard_churn,denoise_hard_churn,phase,377,32,6.0,0.5731211317418213,0.540588722072091,0.4582295024060004,0.6238654600587077,0.23980771036774157,0.23454830855107553
development_main,late_back_tie_margin,tie_margin,phase,377,32,6.0,0.7298661109005937,0.8446953069124221,0.755382576539383,0.9230360180737807,0.0005970131896129891,0.0005215464398529977
development_main,late_back_selected_mass,selected_mass,phase,377,32,6.0,0.7170140204622962,0.8480076523958566,0.7501098803468962,0.9320552248677249,0.14958919624276756,0.14687190306913447
development_main,late_back_hb_entropy,hb_entropy_action,phase,377,32,6.0,0.2680560818491853,0.1566048170940022,0.0753743143762164,0.2535781437437153,3.457579983956618,3.4590888774687585
development_main,abs_back_query_hard_churn,query_hard_churn,absolute,254,25,4.5,0.25882077240344953,0.15376545516485154,0.08353553476946332,0.2326501052611968,0.8220393061637878,0.8695728182792664
development_main,abs_back_query_soft_change,mobility_allstep,absolute,254,25,4.5,0.519731908511436,0.45315846497939055,0.34288816245234754,0.5668849687107735,0.039475470781326294,0.0413341149687767
external_8b,late_back_query_hard_churn,query_hard_churn,phase,459,36,5.0,0.025459072517896045,0.027555986782177258,0.007281561306858924,0.05510183186522468,0.6761822461562479,0.8709175717516698
external_8b,late_back_query_soft_change,mobility_allstep,phase,459,36,5.0,0.16636061832140264,0.2365467112628843,0.14227096965346456,0.3357400821932615,0.033224864974455634,0.04709816052142088
external_8b,late_front_query_hard_churn,query_hard_churn,phase,459,36,5.0,0.05664488017429194,0.07867402533730444,0.029825809693453907,0.13845982568337856,0.7839295022627887,0.8386861929775521
external_8b,late_front_query_soft_change,mobility_allstep,phase,459,36,5.0,0.3524224504616661,0.3551305311600822,0.25807031532242697,0.45706499002096546,0.03791589812174732,0.04094499253860399
external_8b,late_back_query_hard_churn_d9,query_hard_churn_d9,phase,459,36,5.0,0.047624234879136834,0.05372550179097798,0.024225189493046636,0.08744377756282516,0.6125531244641556,0.8673158728971733
external_8b,late_back_query_soft_change_d9,mobility,phase,459,36,5.0,0.12459280008299616,0.18579684196626706,0.1008004721228625,0.2843553544944913,0.04004490151311512,0.06554925073375249
external_8b,late_back_denoise_hard_churn,denoise_hard_churn,phase,459,36,5.0,0.5833644568938686,0.5722130476350029,0.4888277277901901,0.6531897518009174,0.24098406449642057,0.233861585497761
external_8b,late_back_tie_margin,tie_margin,phase,459,36,5.0,0.7252775184147733,0.772439124817381,0.6621805006296928,0.8712377371438315,0.0005936826349612456,0.0005455545680209064
external_8b,late_back_selected_mass,selected_mass,phase,459,36,5.0,0.729240585122938,0.7722499731759452,0.6599282225562436,0.8699078290598015,0.14943731555102438,0.14778970154589496
external_8b,late_back_hb_entropy,hb_entropy_action,phase,459,36,5.0,0.2720717916796348,0.23302591668752978,0.13459569027852028,0.337207622442036,3.4577146719224054,3.4585903368277826
external_8b,abs_back_query_hard_churn,query_hard_churn,absolute,317,26,4.0,0.30107405738320564,0.18178396934480137,0.11414745465157551,0.2541524937320659,0.823026180267334,0.8675218820571899
external_8b,abs_back_query_soft_change,mobility_allstep,absolute,317,26,4.0,0.4658630013519604,0.39792452924713523,0.3005711250908955,0.4939562914355399,0.03872424736618996,0.04270101711153984
