quantity,mode,feasible,representation,direction,quantile,dev_tp,dev_fp,distinct_alarm_chunks,suites_firing,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
as_entropy,per_task,True,A0,low,0.5,45.0,5.0,1.0,libero_goal,53.0,6.0,0.09397163120567376,0.0003990422984836393,0.8983050847457628,53.0,6.0,0.8983050847457628,1.0,0.20423892100192684,4.398305084745762
as_entropy,global,False,,,,,,,,,,,,,,,,,,
as_top1,per_task,False,,,,,,,,,,,,,,,,,,
as_top1,global,False,,,,,,,,,,,,,,,,,,
as_margin,per_task,False,,,,,,,,,,,,,,,,,,
as_margin,global,False,,,,,,,,,,,,,,,,,,
as_switch,per_task,False,,,,,,,,,,,,,,,,,,
as_switch,global,False,,,,,,,,,,,,,,,,,,
as_selected_prob,per_task,False,,,,,,,,,,,,,,,,,,
as_selected_prob,global,False,,,,,,,,,,,,,,,,,,
as_layer_disagreement,per_task,True,A0,high,0.5,59.0,35.0,4.0,"libero_goal,libero_spatial",69.0,50.0,0.12234042553191489,0.0033253524873636604,0.5798319327731093,69.0,50.0,0.5798319327731093,1.0,0.1859672412561649,3.1179251187277996
as_layer_disagreement,global,False,,,,,,,,,,,,,,,,,,
