quantity,representation,direction,quantile,mode,distinct_alarm_chunks,tp,fp,risk_recall,timely_fpr,precision,low_prior_tp,low_prior_fp,low_prior_precision,low_prior_share,mean_alarm_prior,lift
as_entropy,A0,low,0.5,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.5,global,1,102,3898,0.20944558521560575,0.2723398309229372,0.0255,102,3898,0.0255,1.0,0.02550000000000001,0.9999999999999996
as_entropy,A0,low,0.6,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.6,global,1,102,3898,0.20944558521560575,0.2723398309229372,0.0255,102,3898,0.0255,1.0,0.02550000000000001,0.9999999999999996
as_entropy,A0,low,0.7,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.7,global,1,102,3898,0.20944558521560575,0.2723398309229372,0.0255,102,3898,0.0255,1.0,0.02550000000000001,0.9999999999999996
as_entropy,A0,low,0.75,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.75,global,1,102,401,0.20944558521560575,0.028016488506951723,0.20278330019880716,102,401,0.20278330019880716,1.0,0.20278330019880716,1.0
as_entropy,A0,low,0.8,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.8,global,1,102,401,0.20944558521560575,0.028016488506951723,0.20278330019880716,102,401,0.20278330019880716,1.0,0.20278330019880716,1.0
as_entropy,A0,low,0.85,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.85,global,1,102,401,0.20944558521560575,0.028016488506951723,0.20278330019880716,102,401,0.20278330019880716,1.0,0.20278330019880716,1.0
as_entropy,A0,low,0.9,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.9,global,1,102,401,0.20944558521560575,0.028016488506951723,0.20278330019880716,102,401,0.20278330019880716,1.0,0.20278330019880716,1.0
as_entropy,A0,low,0.925,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.925,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.95,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.95,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.96,per_task,1,45,5,0.09240246406570841,0.0003493327744008943,0.9,45,5,0.9,1.0,0.20278330019880714,4.438235294117647
as_entropy,A0,low,0.96,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.975,per_task,1,22,4,0.045174537987679675,0.00027946621952071543,0.8461538461538461,22,4,0.8461538461538461,1.0,0.20278330019880716,4.172699849170437
as_entropy,A0,low,0.975,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.98,per_task,1,15,1,0.030800821355236138,6.986655488017886e-05,0.9375,15,1,0.9375,1.0,0.20278330019880716,4.623161764705882
as_entropy,A0,low,0.98,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.99,per_task,1,6,0,0.012320328542094456,0.0,1.0,6,0,1.0,1.0,0.20278330019880716,4.931372549019608
as_entropy,A0,low,0.99,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,low,0.995,per_task,1,2,0,0.004106776180698152,0.0,1.0,2,0,1.0,1.0,0.20278330019880716,4.931372549019608
as_entropy,A0,low,0.995,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,high,0.5,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.791975466394071,0.9643433365601807
as_entropy,A0,high,0.5,global,2,163,3892,0.3347022587268994,0.2719206315936561,0.04019728729963008,126,3874,0.0315,0.7730061349693251,0.040197287299630076,1.0000000000000002
as_entropy,A0,high,0.6,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.791975466394071,0.9643433365601807
as_entropy,A0,high,0.6,global,2,163,3892,0.3347022587268994,0.2719206315936561,0.04019728729963008,126,3874,0.0315,0.7730061349693251,0.040197287299630076,1.0000000000000002
as_entropy,A0,high,0.7,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.791975466394071,0.9643433365601807
as_entropy,A0,high,0.7,global,2,163,3892,0.3347022587268994,0.2719206315936561,0.04019728729963008,126,3874,0.0315,0.7730061349693251,0.040197287299630076,1.0000000000000002
as_entropy,A0,high,0.75,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.791975466394071,0.9643433365601807
as_entropy,A0,high,0.75,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,high,0.8,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.8050698486473318,0.9486583866225815
as_entropy,A0,high,0.8,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,high,0.85,per_task,2,139,43,0.28542094455852157,0.0030042618598476907,0.7637362637362637,0,0,0.0,0.0,0.8050698486473318,0.9486583866225815
as_entropy,A0,high,0.85,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,high,0.9,per_task,1,87,39,0.17864476386036962,0.0027247956403269754,0.6904761904761905,0,0,0.0,0.0,0.7392026578073088,0.9340823970037456
as_entropy,A0,high,0.9,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
as_entropy,A0,high,0.925,per_task,2,87,39,0.17864476386036962,0.0027247956403269754,0.6904761904761905,0,0,0.0,0.0,0.7423364805063487,0.9301391061977928
as_entropy,A0,high,0.925,global,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,
