suite,method,failure,episodes,bin,count,fraction
all,v8,True,564,0-25%,18,0.031914893617021274
all,v8,True,564,25-50%,31,0.0549645390070922
all,v8,True,564,50-75%,225,0.39893617021276595
all,v8,True,564,75-100%,186,0.32978723404255317
all,v8,True,564,no_alarm,104,0.18439716312056736
all,v8,False,15036,0-25%,1,6.650704974727321e-05
all,v8,False,15036,25-50%,8,0.0005320563979781857
all,v8,False,15036,50-75%,36,0.0023942537909018356
all,v8,False,15036,75-100%,45,0.0029928172386272946
all,v8,False,15036,no_alarm,14946,0.9940143655227454
all,v81,True,564,0-25%,18,0.031914893617021274
all,v81,True,564,25-50%,37,0.06560283687943262
all,v81,True,564,50-75%,249,0.44148936170212766
all,v81,True,564,75-100%,191,0.33865248226950356
all,v81,True,564,no_alarm,69,0.12234042553191489
all,v81,False,15036,0-25%,1,6.650704974727321e-05
all,v81,False,15036,25-50%,8,0.0005320563979781857
all,v81,False,15036,50-75%,48,0.0031923383878691143
all,v81,False,15036,75-100%,48,0.0031923383878691143
all,v81,False,15036,no_alarm,14931,0.9930167597765364
all,v82,True,564,0-25%,18,0.031914893617021274
all,v82,True,564,25-50%,36,0.06382978723404255
all,v82,True,564,50-75%,236,0.41843971631205673
all,v82,True,564,75-100%,185,0.3280141843971631
all,v82,True,564,no_alarm,89,0.15780141843971632
all,v82,False,15036,0-25%,1,6.650704974727321e-05
all,v82,False,15036,25-50%,8,0.0005320563979781857
all,v82,False,15036,50-75%,44,0.002926310188880021
all,v82,False,15036,75-100%,45,0.0029928172386272946
all,v82,False,15036,no_alarm,14938,0.9934823091247672
all,v83,True,564,0-25%,18,0.031914893617021274
all,v83,True,564,25-50%,40,0.07092198581560284
all,v83,True,564,50-75%,234,0.4148936170212766
all,v83,True,564,75-100%,186,0.32978723404255317
all,v83,True,564,no_alarm,86,0.1524822695035461
all,v83,False,15036,0-25%,1,6.650704974727321e-05
all,v83,False,15036,25-50%,10,0.0006650704974727321
all,v83,False,15036,50-75%,40,0.0026602819898909284
all,v83,False,15036,75-100%,44,0.002926310188880021
all,v83,False,15036,no_alarm,14941,0.993681830274009
all,knn20,True,564,0-25%,15,0.026595744680851064
all,knn20,True,564,25-50%,79,0.1400709219858156
all,knn20,True,564,50-75%,313,0.5549645390070922
all,knn20,True,564,75-100%,92,0.16312056737588654
all,knn20,True,564,no_alarm,65,0.11524822695035461
all,knn20,False,15036,0-25%,1,6.650704974727321e-05
all,knn20,False,15036,25-50%,27,0.0017956903431763766
all,knn20,False,15036,50-75%,565,0.03757648310720937
all,knn20,False,15036,75-100%,810,0.0538707102952913
all,knn20,False,15036,no_alarm,13633,0.9066906092045757
all,c4_a05,True,564,0-25%,17,0.030141843971631204
all,c4_a05,True,564,25-50%,64,0.11347517730496454
all,c4_a05,True,564,50-75%,296,0.524822695035461
all,c4_a05,True,564,75-100%,108,0.19148936170212766
all,c4_a05,True,564,no_alarm,79,0.1400709219858156
all,c4_a05,False,15036,0-25%,0,0.0
all,c4_a05,False,15036,25-50%,26,0.0017291832934291035
all,c4_a05,False,15036,50-75%,239,0.015895184889598298
all,c4_a05,False,15036,75-100%,367,0.02440808725724927
all,c4_a05,False,15036,no_alarm,14404,0.9579675445597233
all,c4_a02,True,564,0-25%,4,0.0070921985815602835
all,c4_a02,True,564,25-50%,36,0.06382978723404255
all,c4_a02,True,564,50-75%,220,0.3900709219858156
all,c4_a02,True,564,75-100%,109,0.19326241134751773
all,c4_a02,True,564,no_alarm,195,0.34574468085106386
all,c4_a02,False,15036,0-25%,0,0.0
all,c4_a02,False,15036,25-50%,5,0.00033253524873636604
all,c4_a02,False,15036,50-75%,55,0.0036578877361000267
all,c4_a02,False,15036,75-100%,163,0.010840649108805533
all,c4_a02,False,15036,no_alarm,14813,0.9851689279063581
libero_goal,v8,True,106,0-25%,0,0.0
libero_goal,v8,True,106,25-50%,12,0.11320754716981132
libero_goal,v8,True,106,50-75%,32,0.3018867924528302
libero_goal,v8,True,106,75-100%,39,0.36792452830188677
libero_goal,v8,True,106,no_alarm,23,0.2169811320754717
libero_goal,v8,False,3894,0-25%,0,0.0
libero_goal,v8,False,3894,25-50%,1,0.00025680534155110427
libero_goal,v8,False,3894,50-75%,4,0.001027221366204417
libero_goal,v8,False,3894,75-100%,4,0.001027221366204417
libero_goal,v8,False,3894,no_alarm,3885,0.99768875192604
libero_goal,v81,True,106,0-25%,0,0.0
libero_goal,v81,True,106,25-50%,14,0.1320754716981132
libero_goal,v81,True,106,50-75%,36,0.33962264150943394
libero_goal,v81,True,106,75-100%,40,0.37735849056603776
libero_goal,v81,True,106,no_alarm,16,0.1509433962264151
libero_goal,v81,False,3894,0-25%,0,0.0
libero_goal,v81,False,3894,25-50%,1,0.00025680534155110427
libero_goal,v81,False,3894,50-75%,8,0.002054442732408834
libero_goal,v81,False,3894,75-100%,3,0.0007704160246533128
libero_goal,v81,False,3894,no_alarm,3882,0.9969183359013868
libero_goal,v82,True,106,0-25%,0,0.0
libero_goal,v82,True,106,25-50%,14,0.1320754716981132
libero_goal,v82,True,106,50-75%,33,0.3113207547169811
libero_goal,v82,True,106,75-100%,40,0.37735849056603776
libero_goal,v82,True,106,no_alarm,19,0.1792452830188679
libero_goal,v82,False,3894,0-25%,0,0.0
libero_goal,v82,False,3894,25-50%,1,0.00025680534155110427
libero_goal,v82,False,3894,50-75%,6,0.0015408320493066256
libero_goal,v82,False,3894,75-100%,3,0.0007704160246533128
libero_goal,v82,False,3894,no_alarm,3884,0.997431946584489
libero_goal,v83,True,106,0-25%,0,0.0
libero_goal,v83,True,106,25-50%,21,0.19811320754716982
libero_goal,v83,True,106,50-75%,30,0.2830188679245283
libero_goal,v83,True,106,75-100%,41,0.3867924528301887
libero_goal,v83,True,106,no_alarm,14,0.1320754716981132
libero_goal,v83,False,3894,0-25%,0,0.0
libero_goal,v83,False,3894,25-50%,3,0.0007704160246533128
libero_goal,v83,False,3894,50-75%,3,0.0007704160246533128
libero_goal,v83,False,3894,75-100%,2,0.0005136106831022085
libero_goal,v83,False,3894,no_alarm,3886,0.9979455572675912
libero_goal,knn20,True,106,0-25%,0,0.0
libero_goal,knn20,True,106,25-50%,43,0.4056603773584906
libero_goal,knn20,True,106,50-75%,38,0.3584905660377358
libero_goal,knn20,True,106,75-100%,23,0.2169811320754717
libero_goal,knn20,True,106,no_alarm,2,0.018867924528301886
libero_goal,knn20,False,3894,0-25%,0,0.0
libero_goal,knn20,False,3894,25-50%,17,0.004365690806368772
libero_goal,knn20,False,3894,50-75%,475,0.12198253723677452
libero_goal,knn20,False,3894,75-100%,482,0.12378017462763226
libero_goal,knn20,False,3894,no_alarm,2920,0.7498715973292245
libero_goal,c4_a05,True,106,0-25%,0,0.0
libero_goal,c4_a05,True,106,25-50%,37,0.3490566037735849
libero_goal,c4_a05,True,106,50-75%,39,0.36792452830188677
libero_goal,c4_a05,True,106,75-100%,23,0.2169811320754717
libero_goal,c4_a05,True,106,no_alarm,7,0.0660377358490566
libero_goal,c4_a05,False,3894,0-25%,0,0.0
libero_goal,c4_a05,False,3894,25-50%,10,0.0025680534155110425
libero_goal,c4_a05,False,3894,50-75%,143,0.03672316384180791
libero_goal,c4_a05,False,3894,75-100%,242,0.062146892655367235
libero_goal,c4_a05,False,3894,no_alarm,3499,0.8985618900873138
libero_goal,c4_a02,True,106,0-25%,0,0.0
libero_goal,c4_a02,True,106,25-50%,20,0.18867924528301888
libero_goal,c4_a02,True,106,50-75%,25,0.2358490566037736
libero_goal,c4_a02,True,106,75-100%,22,0.20754716981132076
libero_goal,c4_a02,True,106,no_alarm,39,0.36792452830188677
libero_goal,c4_a02,False,3894,0-25%,0,0.0
libero_goal,c4_a02,False,3894,25-50%,2,0.0005136106831022085
libero_goal,c4_a02,False,3894,50-75%,16,0.004108885464817668
libero_goal,c4_a02,False,3894,75-100%,115,0.02953261427837699
libero_goal,c4_a02,False,3894,no_alarm,3761,0.9658448895737032
libero_long,v8,True,274,0-25%,18,0.06569343065693431
libero_long,v8,True,274,25-50%,18,0.06569343065693431
libero_long,v8,True,274,50-75%,158,0.5766423357664233
libero_long,v8,True,274,75-100%,42,0.15328467153284672
libero_long,v8,True,274,no_alarm,38,0.1386861313868613
libero_long,v8,False,3726,0-25%,1,0.00026838432635534085
libero_long,v8,False,3726,25-50%,7,0.001878690284487386
libero_long,v8,False,3726,50-75%,31,0.008319914117015567
