task,success_count,success_end_min,success_end_median,success_end_max,success_end_p95
libero_goal/open_the_middle_drawer_of_the_cabinet,400,110,123.0,154,133.0
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,349,165,181.0,293,194.59999999999997
libero_goal/push_the_plate_to_the_front_of_the_stove,399,112,129.0,223,205.0
libero_goal/put_the_bowl_on_the_plate,382,65,75.0,246,79.0
libero_goal/put_the_bowl_on_the_stove,391,79,87.0,98,91.0
libero_goal/put_the_bowl_on_top_of_the_cabinet,384,78,84.0,92,91.0
libero_goal/put_the_cream_cheese_in_the_bowl,391,77,89.0,210,98.0
libero_goal/put_the_wine_bottle_on_the_rack,399,114,129.0,248,150.0
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,399,81,89.0,103,98.0
libero_goal/turn_on_the_stove,400,66,73.0,87,84.0
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,396,216,243.0,297,266.25
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,399,198,215.0,346,247.19999999999993
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,399,223,248.0,451,311.09999999999997
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,249,345,387.0,506,431.6
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,370,212,246.0,458,276.0
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,390,231,259.0,461,285.0
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,396,221,242.0,471,275.5
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,380,198,224.0,408,243.0
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,353,196,220.0,386,283.79999999999995
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,394,141,175.0,446,241.34999999999997
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,397,123,139.0,275,156.2
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,390,111,127.0,233,170.0
libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,132,149.0,163,156.04999999999995
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,393,112,125.0,222,143.79999999999984
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,399,123,139.0,154,148.0
libero_object/pick_up_the_milk_and_place_it_in_the_basket,393,117,128.0,201,168.0
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,395,108,121.0,223,134.0
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,396,103,119.0,210,136.5
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,393,114,128.0,258,172.0
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,399,66,78.0,211,90.0
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,397,85,97.0,110,104.0
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,386,110,127.0,154,138.0
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,397,90,105.0,124,115.0
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,376,85,95.0,213,119.25
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,392,94,110.0,143,118.0
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,387,75,84.0,192,90.0
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,388,81,91.0,146,108.64999999999998
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,359,95,118.0,190,132.0
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,379,106,117.0,170,128.0
