suite,method,baseline,failure,episodes,both,only_v82,only_other,neither,other_earlier,same,other_later,other_minus_v82_q_p25,other_minus_v82_q_median,other_minus_v82_q_p75
all,v8,v82,True,564,460,15,0,89,0,422,38,0.0,0.0,0.0
all,v8,v82,False,15036,90,8,0,14938,0,84,6,0.0,0.0,0.0
all,v81,v82,True,564,475,0,20,69,45,430,0,0.0,0.0,0.0
all,v81,v82,False,15036,98,0,7,14931,7,91,0,0.0,0.0,0.0
all,v82,v82,True,564,475,0,0,89,0,475,0,0.0,0.0,0.0
all,v82,v82,False,15036,98,0,0,14938,0,98,0,0.0,0.0,0.0
all,v83,v82,True,564,473,2,5,84,16,447,10,0.0,0.0,0.0
all,v83,v82,False,15036,93,5,2,14936,3,88,2,0.0,0.0,0.0
all,knn20,v82,True,564,433,42,66,23,262,69,102,-5.0,-1.0,0.0
all,knn20,v82,False,15036,46,52,1357,13581,29,3,14,-2.75,-1.0,1.0
all,c4_a05,v82,True,564,425,50,60,29,182,44,199,-3.0,0.0,2.0
all,c4_a05,v82,False,15036,38,60,594,14344,14,3,21,-2.0,1.0,1.75
all,c4_a02,v82,True,564,334,141,35,54,127,29,178,-1.0,1.0,3.0
all,c4_a02,v82,False,15036,20,78,203,14735,6,3,11,-2.25,1.5,2.0
libero_goal,v8,v82,True,106,83,4,0,19,0,69,14,0.0,0.0,0.0
libero_goal,v8,v82,False,3894,9,1,0,3884,0,7,2,0.0,0.0,0.0
libero_goal,v81,v82,True,106,87,0,3,16,10,77,0,0.0,0.0,0.0
libero_goal,v81,v82,False,3894,10,0,2,3882,1,9,0,0.0,0.0,0.0
libero_goal,v82,v82,True,106,87,0,0,19,0,87,0,0.0,0.0,0.0
libero_goal,v82,v82,False,3894,10,0,0,3884,0,10,0,0.0,0.0,0.0
libero_goal,v83,v82,True,106,87,0,5,14,16,68,3,0.0,0.0,0.0
libero_goal,v83,v82,False,3894,6,4,2,3882,3,2,1,-2.75,-1.0,0.0
libero_goal,knn20,v82,True,106,87,0,17,2,69,15,3,-7.0,-2.0,-1.0
libero_goal,knn20,v82,False,3894,7,3,967,2917,6,0,1,-4.5,-2.0,-1.5
libero_goal,c4_a05,v82,True,106,85,2,14,5,49,25,11,-5.0,-1.0,0.0
libero_goal,c4_a05,v82,False,3894,6,4,389,3495,5,0,1,-5.5,-3.0,-1.25
libero_goal,c4_a02,v82,True,106,64,23,3,16,23,16,25,-1.0,0.0,1.0
libero_goal,c4_a02,v82,False,3894,3,7,130,3754,3,0,0,-6.0,-5.0,-4.5
libero_long,v8,v82,True,274,236,3,0,35,0,232,4,0.0,0.0,0.0
libero_long,v8,v82,False,3726,71,6,0,3649,0,67,4,0.0,0.0,0.0
libero_long,v81,v82,True,274,239,0,3,32,4,235,0,0.0,0.0,0.0
libero_long,v81,v82,False,3726,77,0,5,3644,6,71,0,0.0,0.0,0.0
libero_long,v82,v82,True,274,239,0,0,35,0,239,0,0.0,0.0,0.0
libero_long,v82,v82,False,3726,77,0,0,3649,0,77,0,0.0,0.0,0.0
libero_long,v83,v82,True,274,238,1,0,35,0,235,3,0.0,0.0,0.0
libero_long,v83,v82,False,3726,76,1,0,3649,0,75,1,0.0,0.0,0.0
libero_long,knn20,v82,True,274,199,40,17,18,66,47,86,-1.0,0.0,2.0
libero_long,knn20,v82,False,3726,31,46,53,3596,17,2,12,-2.0,-1.0,1.0
libero_long,c4_a05,v82,True,274,193,46,13,22,7,11,175,1.0,2.0,2.0
libero_long,c4_a05,v82,False,3726,24,53,18,3631,4,1,19,1.0,1.0,2.0
libero_long,c4_a02,v82,True,274,136,103,2,33,0,0,136,2.0,3.0,4.0
libero_long,c4_a02,v82,False,3726,10,67,0,3649,0,0,10,2.0,2.0,2.75
libero_object,v8,v82,True,44,23,7,0,14,0,19,4,0.0,0.0,0.0
libero_object,v8,v82,False,3556,7,0,0,3549,0,7,0,0.0,0.0,0.0
libero_object,v81,v82,True,44,30,0,4,10,6,24,0,0.0,0.0,0.0
libero_object,v81,v82,False,3556,7,0,0,3549,0,7,0,0.0,0.0,0.0
