suite,method,failure,episodes,alarms,no_alarm,query_p25,query_median,query_p75,position_p25,position_median,position_p75,remaining_actions_p25,remaining_actions_median,remaining_actions_p75,after_last_success,after_median_success,event_episodes,event_before,event_same,event_after,event_missed,event_delay_q_p25,event_delay_q_median,event_delay_q_p75
all,v8,True,564,460,104,19.0,24.5,32.0,0.5961538461538461,0.6785714285714286,0.8181818181818182,50.0,120.0,200.0,123,336,216,5,1,170,40,7.0,9.5,13.25
all,v8,False,15036,90,14946,18.25,22.0,26.75,0.652111409067359,0.748213825359997,0.8725911185588605,28.5,76.0,127.5,0,54,0,0,0,0,0,,,
all,v81,True,564,495,69,17.0,24.0,32.0,0.5909090909090909,0.6730769230769231,0.8076923076923077,50.0,120.0,200.0,122,367,216,5,1,182,28,6.0,9.0,13.0
all,v81,False,15036,105,14931,18.0,21.0,26.0,0.6349206349206349,0.7207207207207207,0.8636363636363636,28.0,86.0,123.0,0,58,0,0,0,0,0,,,
all,v82,True,564,475,89,18.0,24.0,32.0,0.5961538461538461,0.6730769230769231,0.8181818181818182,50.0,130.0,200.0,120,349,216,5,1,175,35,7.0,9.0,13.0
all,v82,False,15036,98,14938,18.0,21.0,26.0,0.6317590888173032,0.719261412575366,0.8547175106011474,30.25,90.0,127.5,0,55,0,0,0,0,0,,,
all,v83,True,564,478,86,18.0,24.0,32.0,0.5769230769230769,0.6730769230769231,0.8181818181818182,50.0,130.0,200.0,119,356,216,6,1,177,32,7.0,10.0,13.0
all,v83,False,15036,95,14941,19.0,21.0,26.0,0.6110645169924785,0.7209302325581395,0.8582535885167464,29.0,92.0,122.5,0,52,0,0,0,0,0,,,
all,knn20,True,564,499,65,13.0,18.0,32.0,0.5,0.5961538461538461,0.6818181818181818,90.0,130.0,190.0,67,322,216,23,6,162,25,1.0,5.0,9.0
all,knn20,False,15036,1403,13633,9.0,10.0,11.0,0.6818181818181818,0.7751937984496124,0.8943089430894309,13.0,29.0,43.0,0,168,0,0,0,0,0,,,
all,c4_a05,True,564,485,79,14.0,18.0,33.0,0.5454545454545454,0.6346153846153846,0.7142857142857143,80.0,130.0,180.0,73,329,216,10,10,166,30,2.25,5.0,9.0
all,c4_a05,False,15036,632,14404,10.0,10.0,12.0,0.6923076923076923,0.7746478873239436,0.873015873015873,17.0,30.0,43.0,0,116,0,0,0,0,0,,,
