source,cohort,corpus,suite,task,scene,intervention,horizon,outcome,count,total,posterior_mean,ci95_low,ci95_high,posterior,note
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,0,continue,episode_terminal,success,32,32,0.9558823529411765,0.8669763271821643,0.9967106703773839,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,0,continue,episode_terminal,loop,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,0,continue,episode_terminal,static,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,0,continue,episode_terminal,other_failure,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,3,continue,episode_terminal,success,32,32,0.9558823529411765,0.8669763271821643,0.9967106703773839,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,3,continue,episode_terminal,loop,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,3,continue,episode_terminal,static,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,3,continue,episode_terminal,other_failure,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,7,continue,episode_terminal,success,32,32,0.9558823529411765,0.8669763271821643,0.9967106703773839,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
q0_committor,main16x32,main16x32,libero_goal,open_the_middle_drawer_of_the_cabinet,7,continue,episode_terminal,loop,0,32,0.014705882352941176,1.4767430104586657e-05,0.07275870531262561,Dirichlet(count + 0.5),same physical q0 snapshot; routing averaged over K noise draws
