fold,suite,seed,reference_cap,method,calibration,alpha,scope,episodes,failures,successes,tp,fp,recall,fpr,precision,balanced_accuracy,t_det,median_alarm_query
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.01,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.01,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.03,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.03,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.05,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.1,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.1,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.15,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.15,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.2,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,episode,0.2,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.01,seen,560,12,548,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.01,unseen,1200,78,1122,0,0,0.0,0.0,,0.5,1.0,
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.03,seen,560,12,548,5,3,0.4166666666666667,0.005474452554744526,0.625,0.7055961070559611,0.7694444444444445,11.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.03,unseen,1200,78,1122,38,15,0.48717948717948717,0.013368983957219251,0.7169811320754716,0.736905251611134,0.8636752136752136,22.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.05,unseen,1200,78,1122,68,126,0.8717948717948718,0.11229946524064172,0.35051546391752575,0.879747703277115,0.6799145299145299,20.0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,task_init,0.1,seen,560,12,548,11,6,0.9166666666666666,0.010948905109489052,0.6470588235294118,0.9528588807785887,0.5055555555555555,12.0
