fold,suite,seed,reference_cap,method,view,scope,episodes,failures,auc,ap,task_macro_auc,within_init_macro_auc,scorable_fraction,mixed_tasks
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,full,seen,560,12,0.9545316301703163,0.7401848151848153,0.9791666666666666,0.9880952380952381,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,full,unseen,1200,78,0.9081996434937611,0.6548474691438276,0.8772780349564013,0.8957605820105821,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,common_horizon,seen,560,12,0.49635036496350365,0.02142857142857143,0.4978354978354978,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,common_horizon,unseen,1200,78,0.5104438045614517,0.07234996749889264,0.4794275467851011,0.47566798941798943,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q0,unseen,1200,78,0.5,0.065,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q4,seen,560,12,0.4972627737226277,0.02142857142857143,0.4978354978354978,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q4,unseen,1200,78,0.49955436720142604,0.065,0.4995224450811843,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q9,seen,316,12,0.5800438596491229,0.12886779184247538,0.5763888888888888,0.5357142857142857,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q9,unseen,469,78,0.5318381533215293,0.21381879590834818,0.5679176276003447,0.49682539682539684,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q14,seen,43,12,0.8333333333333334,0.7596899224806202,0.5,0.5,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q14,unseen,428,78,0.5107509157509158,0.22879405780141937,0.3665140363690844,0.21588293650793652,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q19,seen,23,12,0.875,0.8804347826086958,0.5,0.5,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q19,unseen,127,78,0.652668759811617,0.7332231957688754,0.47467320261437906,0.3020833333333333,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__current,q29,unseen,79,78,0.7564102564102564,0.9965991934758762,0.7843137254901961,0.75,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,full,seen,560,12,0.9555961070559611,0.7963055463055464,0.9791666666666666,0.9880952380952381,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,full,unseen,1200,78,0.913421545774487,0.7343047312926344,0.8819103977434812,0.8994642857142857,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,common_horizon,seen,560,12,0.49635036496350365,0.02142857142857143,0.4978354978354978,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,common_horizon,unseen,1200,78,0.5106837606837606,0.07273040786573091,0.47974591673097816,0.47566798941798943,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q0,seen,560,12,0.5,0.02142857142857143,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q0,unseen,1200,78,0.5,0.065,0.5,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q4,seen,560,12,0.4972627737226277,0.02142857142857143,0.4978354978354978,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q4,unseen,1200,78,0.49955436720142604,0.065,0.4995224450811843,0.5,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q9,seen,316,12,0.5800438596491229,0.12886779184247538,0.5763888888888888,0.5357142857142857,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q9,unseen,469,78,0.5318381533215293,0.21381879590834818,0.5679176276003447,0.49682539682539684,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q14,seen,43,12,0.8333333333333334,0.7596899224806202,0.5,0.5,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q14,unseen,428,78,0.5106043956043956,0.23164629815365972,0.3387362585913066,0.21588293650793652,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q19,seen,23,12,0.875,0.8804347826086958,0.5,0.5,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q19,unseen,127,78,0.6513605442176871,0.7284444540087622,0.474468954248366,0.3020833333333333,1.0,2
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q29,seen,12,12,,1.0,,,1.0,0
libero_goal_20260907,libero_goal,20260907,4096,stats_positive__cumsum,q29,unseen,79,78,0.7692307692307693,0.9968093658171961,0.803921568627451,0.75,1.0,1
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,full,seen,560,12,0.9972627737226277,0.8870357651607652,1.0,1.0,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,full,unseen,1200,78,0.949917729329494,0.716419076412564,0.9448330647254329,0.9335714285714286,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,common_horizon,seen,560,12,0.7580596107055961,0.06742188043291536,0.6743233837774977,0.3825396825396825,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,common_horizon,unseen,1200,78,0.5724781754193519,0.08295078463473096,0.4408139157514907,0.4207539682539682,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q0,seen,560,12,0.36891727493917276,0.017680197681523496,0.49718696534361095,0.5761904761904763,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q0,unseen,1200,78,0.44716394716394714,0.07348453086037612,0.4061969307487696,0.425506424792139,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q4,seen,560,12,0.48251216545012166,0.04010219063940801,0.5648970110995428,0.6920634920634919,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q4,unseen,1200,78,0.5049019607843137,0.08526348203756381,0.510744334490197,0.5144614512471656,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q9,seen,316,12,0.8804824561403509,0.39062729565876014,0.71994256915143,0.07142857142857142,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q9,unseen,469,78,0.5806938159879337,0.25157940809977486,0.5043543294582337,0.4832010582010582,1.0,3
libero_goal_20260907,libero_goal,20260907,4096,stats_ratio__current,q14,seen,43,12,0.9166666666666666,0.8892307692307694,0.8235294117647058,0.7142857142857143,1.0,1
