arm,parents,failed_parents,successful_parents,rescues,harms,paired_wins,paired_losses,candidate_pools,changed_chunks,selected_below_target,pool_below_target,full_policy_model_queries,query_overhead_percent
native,16,12,4,0,0,0,0,0,0,0,0,788,0.0
iid_random,16,12,4,0,1,0,0,148,135,41,31,3013,282.3604060913706
iid_v8,16,12,4,0,1,0,0,129,119,42,35,2724,245.68527918781723
guided_random,16,12,4,0,1,0,0,143,130,32,28,2942,273.3502538071066
guided_v8,16,12,4,0,1,0,0,128,118,39,32,2717,244.7969543147208
