mode,alarm_fraction,bytes_per_query,disk_max_main,time_max_main,joint_max_main
compressed_planning,0.0,49152,19598,12020,12020
compressed_planning,0.1,49152,12396,7627,7627
compressed_planning,0.3,49152,7145,4406,4406
compressed_planning,0.6,49152,4369,2697,2697
compressed_planning,1.0,49152,2878,1778,1778
uncompressed_planning,0.0,81920,11821,12020,11821
uncompressed_planning,0.1,81920,7554,7627,7554
uncompressed_planning,0.3,81920,4387,4406,4387
uncompressed_planning,0.6,81920,2693,2697,2693
uncompressed_planning,1.0,81920,1778,1778,1778
