feature,development_auc_raw,development_selected_sign,development_separation,external_auc_frozen_direction,external_ap_frozen_direction,external_late_prevalence,within_task_auc_weighted,within_task_auc_macro,within_task_tasks
mobility_burst_count_norm,0.28160511363636365,-1,0.21839488636363635,0.6747896721787061,0.12220976479627896,0.06585365853658537,0.5963541666666666,0.652412796394278,9
layer_back_ratio_w4,0.29005681818181817,-1,0.20994318181818183,0.6223769461367372,0.087426407448805,0.06585365853658537,0.5494791666666666,0.5926905741720556,9
layer_back_ratio_w8,0.2924715909090909,-1,0.20752840909090908,0.6725655159075523,0.12027095888573519,0.06585365853658537,0.6236979166666667,0.6188761512835588,9
lag_recurrence_now,0.69609375,1,0.19609374999999996,0.5967991490184701,0.08536349843370783,0.06585365853658537,0.4641927083333333,0.5858698314716833,9
route_mobility_now,0.30454545454545456,-1,0.19545454545454544,0.6243109950681752,0.09312972663740617,0.06585365853658537,0.5208333333333334,0.6016534391534392,9
layer_back_ratio_now,0.30767045454545455,-1,0.19232954545454545,0.6410405183251137,0.14360178712202246,0.06585365853658537,0.51171875,0.5873211836174799,9
route_mobility_w4,0.3125,-1,0.1875,0.6241659413983174,0.10593728766851401,0.06585365853658537,0.5546875000000001,0.5825617283950617,9
mobility_recent_highness,0.31448863636363633,-1,0.18551136363636367,0.6896334977274926,0.12576049560355712,0.06585365853658537,0.5794270833333335,0.6009969625710367,9
late_flow_volatility_now,0.3146306818181818,-1,0.18536931818181818,0.6343196982883667,0.10516869649196242,0.06585365853658537,0.6041666666666666,0.7391632373113856,9
late_flow_volatility_last8_slope,0.3146306818181819,-1,0.18536931818181812,0.5946233439706025,0.10685220656318817,0.06585365853658537,0.59765625,0.6782235939643347,9
lag_recurrence_prefix_mean,0.6830965909090908,1,0.1830965909090908,0.6526931631370274,0.12345925511861217,0.06585365853658537,0.6334635416666666,0.5281635802469136,9
lag_recurrence_w4,0.6826704545454545,1,0.1826704545454545,0.5926409438158785,0.1014336090808594,0.06585365853658537,0.4609375,0.5604399372917892,9
route_activity_w4,0.3196022727272727,-1,0.1803977272727273,0.6104341939851079,0.10414999514604031,0.06585365853658537,0.4934895833333333,0.5578360768175583,9
instability_head_now,0.32230113636363633,-1,0.17769886363636367,0.6605260613093511,0.11021841108281012,0.06585365853658537,0.6412760416666666,0.6736747991377621,9
response_history_score,0.33125,-1,0.16875,0.6637655932695097,0.18723597957285767,0.06585365853658537,0.6588541666666667,0.5697824808935921,9
route_activity_now,0.3324573863636363,-1,0.1675426136363637,0.6343680495116526,0.09873105869892114,0.06585365853658537,0.5221354166666666,0.5869672251616697,9
route_activity_w8,0.3377840909090909,-1,0.1622159090909091,0.6481481481481481,0.16949697594591334,0.06585365853658537,0.6302083333333334,0.5329561042524005,9
lag_recurrence_w8,0.6620738636363637,1,0.16207386363636367,0.636060342326661,0.137418151667319,0.06585365853658537,0.5774739583333334,0.5377314814814815,9
route_activity_prefix_mean,0.33877840909090906,-1,0.16122159090909094,0.6348515617445121,0.1817950984720172,0.06585365853658537,0.5716145833333334,0.626214971585342,9
layer_median_ratio_w4,0.3387784090909091,-1,0.16122159090909088,0.614060535731554,0.12414989455603354,0.06585365853658537,0.5559895833333334,0.5378968253968254,9
front_feedback_split_w4,0.33927556818181814,-1,0.16072443181818186,0.5879508751571415,0.0903416491131006,0.06585365853658537,0.501953125,0.5088305898491083,9
route_mobility_prefix_mean,0.3407670454545455,-1,0.1592329545454545,0.6176385262547143,0.12438593344357712,0.06585365853658537,0.6276041666666666,0.4372060552616108,9
layer_median_ratio_now,0.34133522727272725,-1,0.15866477272727275,0.6357218837636592,0.17856673742618867,0.06585365853658537,0.53515625,0.6194566921418773,9
route_mobility_w8,0.34147727272727274,-1,0.15852272727272726,0.6332076201527899,0.12481682062051784,0.06585365853658537,0.5937500000000001,0.4985768175582991,9
instability_head_prefix_mean,0.34517045454545453,-1,0.15482954545454547,0.6306933565419206,0.22489198470394106,0.06585365853658537,0.5416666666666667,0.5321159122085048,9
front_feedback_split_w8,0.3463068181818182,-1,0.1536931818181818,0.6637655932695097,0.13129446857587257,0.06585365853658537,0.6458333333333334,0.5576376641191456,9
late_flow_volatility_w4,0.3464488636363637,-1,0.15355113636363632,0.6460206943235663,0.1100280429170831,0.06585365853658537,0.6354166666666666,0.8123628257887517,9
instability_head_w4,0.3470170454545455,-1,0.15298295454545452,0.6464558553331399,0.1268494355025463,0.06585365853658537,0.5598958333333334,0.7051587301587302,9
route_acceleration_last8_slope,0.3477272727272727,-1,0.15227272727272728,0.5676433613770429,0.1009179059082955,0.06585365853658537,0.6106770833333334,0.6931241426611797,9
lock_head_prefix_mean,0.6484375,1,0.1484375,0.6181220384875737,0.16745036089782755,0.06585365853658537,0.5533854166666667,0.563749265138154,9
