context,population,feature,predeclared_sign,development_n,development_positive_n,development_auc,development_ap,external_n,external_positive_n,external_auc,external_ap,external_prevalence
alarm,risk_only_late_vs_persistent,route_activity_now,1,372,20,0.3324573863636363,0.04124442277864096,410,27,0.3656319504883474,0.050413139128380996,0.06585365853658537
alarm,risk_only_late_vs_persistent,route_activity_w4,1,372,20,0.3196022727272727,0.04340476661141732,410,27,0.3895658060148922,0.05716289379237527,0.06585365853658537
alarm,risk_only_late_vs_persistent,route_activity_prefix_mean,1,372,20,0.33877840909090906,0.06552171232640142,410,27,0.3651484382554878,0.05099274805860446,0.06585365853658537
alarm,risk_only_late_vs_persistent,response_history_score,1,372,20,0.33125,0.04088332687764336,410,27,0.33623440673049027,0.04810422454739814,0.06585365853658537
alarm,risk_only_late_vs_persistent,route_mobility_w4,1,372,20,0.3125,0.04775967947551642,410,27,0.3758340586016826,0.05313364449311693,0.06585365853658537
alarm,risk_only_late_vs_persistent,route_mobility_prefix_mean,1,372,20,0.3407670454545455,0.052997938363907,410,27,0.38236147374528573,0.0533970495846158,0.06585365853658537
alarm,risk_only_late_vs_persistent,route_mobility_prefix_std,1,372,20,0.4806818181818182,0.059486674520902866,410,27,0.4281984334203655,0.05661558897002478,0.06585365853658537
alarm,risk_only_late_vs_persistent,mobility_high_fraction,1,372,20,0.3708096590909091,0.0529568401647154,410,27,0.3464848660671115,0.05109037619511492,0.06585365853658537
alarm,risk_only_late_vs_persistent,mobility_center_cross_rate,1,372,20,0.4358664772727273,0.04949878460778133,410,27,0.457160816168649,0.10150912105976614,0.06585365853658537
alarm,risk_only_late_vs_persistent,mobility_burst_count_norm,1,372,20,0.28160511363636365,0.08664816627241335,410,27,0.3252103278212939,0.05052862436018701,0.06585365853658537
alarm,risk_only_late_vs_persistent,mobility_recent_highness,1,372,20,0.31448863636363633,0.04103822233459244,410,27,0.31036650227250745,0.046171812846340685,0.06585365853658537
alarm,risk_only_late_vs_persistent,mobility_settlement_drop,1,372,20,0.6467048710601719,0.1024722441461912,410,27,0.5288449957846562,0.06445759316639349,0.06585365853658537
alarm,risk_only_late_vs_persistent,lock_head_w4,-1,372,20,0.3769886363636364,0.05184277229700572,410,27,0.40547335847596944,0.055792980674970745,0.06585365853658537
alarm,risk_only_late_vs_persistent,instability_head_w4,-1,372,20,0.6529829545454545,0.12970599644064282,410,27,0.6464558553331399,0.1268494355025463,0.06585365853658537
alarm,risk_only_late_vs_persistent,front_minus_back_w4,1,372,20,0.6276988636363636,0.08184260020874017,410,27,0.5697708152016245,0.086304915945663,0.06585365853658537
alarm,risk_only_late_vs_persistent,front_lead_asymmetry,1,372,20,0.5173295454545455,0.0706953015913291,410,27,0.5131998839570642,0.07367363769328453,0.06585365853658537
alarm,risk_only_late_vs_persistent,layer_dynamics_effrank,1,372,20,0.4353693181818182,0.059662714012803125,410,27,0.33865196789478774,0.048297179451106176,0.06585365853658537
alarm,risk_only_late_vs_persistent,layer_mean_abs_corr,1,372,20,0.5461647727272727,0.13610070120041262,410,27,0.6325307030267866,0.1290052985975409,0.06585365853658537
alarm,risk_only_late_vs_persistent,layer_profile_dispersion_w4,1,372,20,0.5473011363636364,0.07801653600202951,410,27,0.4760661444734552,0.06290108319727333,0.06585365853658537
alarm,all_alarms_continue_vs_intervene,route_activity_now,1,439,87,0.4271486415882967,0.185842526621675,491,108,0.36847258485639683,0.17325812728070605,0.219959266802444
alarm,all_alarms_continue_vs_intervene,route_activity_w4,1,439,87,0.3569422675026123,0.16618511390981047,491,108,0.3235784740353931,0.1636242204248231,0.219959266802444
alarm,all_alarms_continue_vs_intervene,route_activity_prefix_mean,1,439,87,0.2792907523510972,0.17709831672692067,491,108,0.27695580698191663,0.1525771689104636,0.219959266802444
alarm,all_alarms_continue_vs_intervene,response_history_score,1,439,87,0.2969566353187043,0.1412818319691441,491,108,0.32301034716178323,0.1634734335781158,0.219959266802444
alarm,all_alarms_continue_vs_intervene,route_mobility_w4,1,439,87,0.3418887147335423,0.1578506006960182,491,108,0.3172807272023982,0.16038231828136643,0.219959266802444
alarm,all_alarms_continue_vs_intervene,route_mobility_prefix_mean,1,439,87,0.2711598746081505,0.15014560837261612,491,108,0.2867469296973213,0.15507541764006819,0.219959266802444
alarm,all_alarms_continue_vs_intervene,route_mobility_prefix_std,1,439,87,0.47103578892371994,0.1968000534281758,491,108,0.4840440963156369,0.2162653395159842,0.219959266802444
alarm,all_alarms_continue_vs_intervene,mobility_high_fraction,1,439,87,0.3174960815047022,0.16126265133060844,491,108,0.3421332559713761,0.16842712905401847,0.219959266802444
alarm,all_alarms_continue_vs_intervene,mobility_center_cross_rate,1,439,87,0.3617424242424243,0.15415030466651053,491,108,0.3937481868291269,0.19423700449454068,0.219959266802444
alarm,all_alarms_continue_vs_intervene,mobility_burst_count_norm,1,439,87,0.2749314263322884,0.1461820101019075,491,108,0.33932888502079106,0.17091689137104632,0.219959266802444
alarm,all_alarms_continue_vs_intervene,mobility_recent_highness,1,439,87,0.3485175026123303,0.16363513560388443,491,108,0.3563001643941592,0.1795399370730998,0.219959266802444
alarm,all_alarms_continue_vs_intervene,mobility_settlement_drop,1,439,87,0.5546266644193494,0.2220424827782774,491,108,0.5323414341605506,0.2284978068976682,0.219959266802444
alarm,all_alarms_continue_vs_intervene,lock_head_w4,-1,439,87,0.4608477011494253,0.18347202798615697,491,108,0.4275215162943623,0.18449287626402772,0.219959266802444
alarm,all_alarms_continue_vs_intervene,instability_head_w4,-1,439,87,0.5028082549634274,0.23563108613583317,491,108,0.5096702446571898,0.24481827881249002,0.219959266802444
alarm,all_alarms_continue_vs_intervene,front_minus_back_w4,1,439,87,0.5028735632183907,0.19292230935481403,491,108,0.49966154143699837,0.2044054063688793,0.219959266802444
alarm,all_alarms_continue_vs_intervene,front_lead_asymmetry,1,439,87,0.7323667711598745,0.3707196883160668,491,108,0.6627502175805047,0.3257038642955432,0.219959266802444
alarm,all_alarms_continue_vs_intervene,layer_dynamics_effrank,1,439,87,0.47743599791013586,0.22327590812830508,491,108,0.4385455952035586,0.1960255938929919,0.219959266802444
alarm,all_alarms_continue_vs_intervene,layer_mean_abs_corr,1,439,87,0.5178944618599791,0.24626838329703055,491,108,0.549463301421526,0.2594582444946493,0.219959266802444
alarm,all_alarms_continue_vs_intervene,layer_profile_dispersion_w4,1,439,87,0.47377873563218387,0.19227760490333107,491,108,0.38482738613286915,0.1740254598438861,0.219959266802444
terminal,risk_only_late_vs_persistent,route_activity_now,1,487,30,0.662545587162655,0.14380452382165104,564,41,0.6041598656904351,0.09377475003465371,0.0726950354609929
terminal,risk_only_late_vs_persistent,route_activity_w4,1,487,30,0.62454412837345,0.09860326444767745,564,41,0.612507578230658,0.0965139761938549,0.0726950354609929
terminal,risk_only_late_vs_persistent,route_activity_prefix_mean,1,487,30,0.42647702407002186,0.08661642943237316,564,41,0.4649535979107401,0.07135884471307292,0.0726950354609929
terminal,risk_only_late_vs_persistent,response_history_score,1,487,30,0.42385120350109406,0.05059931859815009,564,41,0.46840460756424007,0.07242635954398968,0.0726950354609929
terminal,risk_only_late_vs_persistent,route_mobility_w4,1,487,30,0.6094456601021152,0.09228115629060551,564,41,0.6120179079419857,0.09413366665439363,0.0726950354609929
terminal,risk_only_late_vs_persistent,route_mobility_prefix_mean,1,487,30,0.4236323851203501,0.06163732295294929,564,41,0.4538544047008347,0.06603913386242677,0.0726950354609929
terminal,risk_only_late_vs_persistent,route_mobility_prefix_std,1,487,30,0.5618526622902991,0.07977455267977145,564,41,0.5184442475399897,0.07708370293602235,0.0726950354609929
terminal,risk_only_late_vs_persistent,mobility_high_fraction,1,487,30,0.43818380743982493,0.05666417071225807,564,41,0.4610129179685678,0.06698772212000678,0.0726950354609929
terminal,risk_only_late_vs_persistent,mobility_center_cross_rate,1,487,30,0.3606856309263311,0.047315141592849934,564,41,0.4294641607983958,0.06196474146242024,0.0726950354609929
terminal,risk_only_late_vs_persistent,mobility_burst_count_norm,1,487,30,0.3616338439095551,0.05801559377041532,564,41,0.4093410436972439,0.06317705448214898,0.0726950354609929
terminal,risk_only_late_vs_persistent,mobility_recent_highness,1,487,30,0.587964989059081,0.09550003128882475,564,41,0.6144662593853472,0.10859500481617812,0.0726950354609929
terminal,risk_only_late_vs_persistent,mobility_settlement_drop,1,487,30,0.43781911013858504,0.05569935255353429,564,41,0.437973086627418,0.071014306964899,0.0726950354609929
terminal,risk_only_late_vs_persistent,lock_head_w4,-1,487,30,0.6291757840991976,0.10192755894812482,564,41,0.6141864477918203,0.10158819303708466,0.0726950354609929
terminal,risk_only_late_vs_persistent,instability_head_w4,-1,487,30,0.537527352297593,0.07833279815675383,564,41,0.5497131931166348,0.08989874988949331,0.0726950354609929
terminal,risk_only_late_vs_persistent,front_minus_back_w4,1,487,30,0.33209336250911736,0.04401136472771677,564,41,0.3152077601081938,0.05100769025189593,0.0726950354609929
terminal,risk_only_late_vs_persistent,front_lead_asymmetry,1,487,30,0.6223194748358862,0.14504202693519191,564,41,0.6358718462901647,0.11679397147835784,0.0726950354609929
terminal,risk_only_late_vs_persistent,layer_dynamics_effrank,1,487,30,0.5185995623632385,0.07098896545492528,564,41,0.4371589796203889,0.06659709176702401,0.0726950354609929
terminal,risk_only_late_vs_persistent,layer_mean_abs_corr,1,487,30,0.4816192560175055,0.1759096142886139,564,41,0.5551928368232056,0.14468574243336557,0.0726950354609929
terminal,risk_only_late_vs_persistent,layer_profile_dispersion_w4,1,487,30,0.5567469000729395,0.07998216925176546,564,41,0.5574313295714219,0.09386100977880471,0.0726950354609929
